iteration,log_likelihood
1,-7748.608822228308
2,-7429.862287659199
3,-7379.148047052279
4,-7360.441565181803
5,-7350.543578259309
6,-7344.291846749724
7,-7339.861803365772
8,-7336.498064689133
9,-7333.889687904208
10,-7331.874931369312
11,-7330.326405929294
12,-7329.130935451381
13,-7328.194141903503
14,-7327.444472641705
15,-7326.831505973392
16,-7326.320885818492
17,-7325.889197561997
18,-7325.520161810173
19,-7325.202135817691
20,-7324.926521697423
21,-7324.68673196306
22,-7324.477503762393
23,-7324.294459417376
24,-7324.1338548725535
25,-7323.992458007642
26,-7323.867494069039
27,-7323.756608918919
28,-7323.657826364317
29,-7323.569496827511
30,-7323.490243617605
31,-7323.418913188057
32,-7323.3545327507945
33,-7323.296275905982
34,-7323.243435465111
35,-7323.195402145896
36,-7323.151647839488
37,-7323.111712367267
38,-7323.075192890224
39,-7323.041735344877
40,-7323.01102744224
41,-7322.982792885295
42,-7322.956786545358
43,-7322.932790399163
44,-7322.9106100750205
45,-7322.890071894895
46,-7322.871020333211
47,-7322.853315839567
48,-7322.836832985469
49,-7322.821458892634
50,-7322.807091891224
51,-7322.793640354336
52,-7322.7810216661655
53,-7322.769161298877
54,-7322.757991986829
55,-7322.747452992127
56,-7322.73748945504
57,-7322.728051820641
58,-7322.7190953318795
59,-7322.710579579217
60,-7322.70246809798
61,-7322.694728005654
62,-7322.687329672525
63,-7322.68024642012
64,-7322.673454242752
65,-7322.666931548387
66,-7322.660658915804
67,-7322.654618865755
68,-7322.648795644611
69,-7322.643175019573
70,-7322.637744085144
71,-7322.63249108108
72,-7322.6274052223725
73,-7322.622476542065
74,-7322.617695747962
75,-7322.613054094039
76,-7322.608543267584
77,-7322.604155292652
78,-7322.599882450373
79,-7322.595717216409
80,-7322.591652215585
81,-7322.587680193656
82,-7322.583794006137
83,-7322.579986623975
84,-7322.576251156059
85,-7322.572580888514
86,-7322.568969340791
87,-7322.565410338417
88,-7322.561898101996
89,-7322.558427351419
90,-7322.55499342311
91,-7322.551592396869
92,-7322.548221226658
93,-7322.5448778677055
94,-7322.5415613896785
95,-7322.538272063792
96,-7322.535011410317
97,-7322.531782193303
98,-7322.528588351185
99,-7322.525434856711
100,-7322.5223275060835
101,-7322.519272645355
102,-7322.516276850967
103,-7322.513346588334
104,-7322.51048787722
105,-7322.507705992954
106,-7322.505005228879
107,-7322.5023887376055
108,-7322.49985845878
109,-7322.497415130656
110,-7322.495058373842
111,-7322.492786829469
112,-7322.490598331294
113,-7322.488490091813
114,-7322.486458885269
115,-7322.484501214843
116,-7322.482613455963
117,-7322.480791972028
118,-7322.479033202355
119,-7322.477333724435
120,-7322.47569029421
121,-7322.474099868471
122,-7322.472559613587
123,-7322.471066904384
124,-7322.4696193162745
125,-7322.468214613305
126,-7322.466850733922
127,-7322.465525775933
128,-7322.464237981581
129,-7322.462985723296
130,-7322.461767490493
131,-7322.4605818776145
132,-7322.459427573358
133,-7322.458303351157
134,-7322.457208060793
135,-7322.456140620997
136,-7322.455100012971
137,-7322.454085274741
138,-7322.453095496156
139,-7322.452129814524
140,-7322.451187410755
141,-7322.450267505951
142,-7322.4493693583845
143,-7322.448492260793
144,-7322.447635537964
145,-7322.44679854459
146,-7322.445980663297
147,-7322.445181302902
148,-7322.444399896793
149,-7322.4436359014835
150,-7322.442888795267
151,-7322.442158077022
152,-7322.441443265059
153,-7322.440743896117
154,-7322.440059524395
155,-7322.4393897206555
156,-7322.438734071433
157,-7322.438092178245
158,-7322.437463656897
159,-7322.436848136802
160,-7322.436245260367
161,-7322.435654682415
162,-7322.4350760696225
163,-7322.4345091000105
164,-7322.433953462465
165,-7322.433408856267
166,-7322.432874990666
167,-7322.43235158447
168,-7322.431838365655
169,-7322.431335071006
170,-7322.43084144576
171,-7322.430357243282
172,-7322.429882224742
173,-7322.429416158822
174,-7322.428958821442
175,-7322.428509995468
176,-7322.42806947047
177,-7322.4276370424695
178,-7322.427212513701
179,-7322.4267956923995
180,-7322.426386392571
181,-7322.425984433805
182,-7322.425589641056
183,-7322.425201844478
184,-7322.42482087923
185,-7322.424446585313
186,-7322.424078807391
187,-7322.423717394652
188,-7322.423362200642
189,-7322.423013083122
190,-7322.422669903928
191,-7322.422332528839
192,-7322.4220008274515
193,-7322.42167467304
194,-7322.421353942451
195,-7322.421038515987
196,-7322.420728277294
197,-7322.420423113244
198,-7322.420122913852
199,-7322.41982757217
200,-7322.41953698418
201,-7322.419251048714
202,-7322.418969667368
203,-7322.418692744405
204,-7322.418420186686
205,-7322.418151903574
206,-7322.417887806872
207,-7322.417627810744
208,-7322.417371831641
209,-7322.417119788232
210,-7322.4168716013455
211,-7322.416627193884
212,-7322.416386490786
213,-7322.416149418955
214,-7322.415915907185
215,-7322.415685886137
216,-7322.415459288257
217,-7322.415236047729
218,-7322.415016100434
219,-7322.41479938388
220,-7322.414585837173
221,-7322.414375400962
222,-7322.414168017392
223,-7322.4139636300615
224,-7322.413762183975
225,-7322.41356362551
226,-7322.41336790237
227,-7322.413174963551
228,-7322.41298475929
229,-7322.412797241052
230,-7322.412612361469
231,-7322.412430074313
232,-7322.412250334477
233,-7322.4120730979175
234,-7322.411898321639
235,-7322.411725963657
236,-7322.411555982975
237,-7322.411388339547
238,-7322.411222994241
239,-7322.411059908836
240,-7322.410899045971
241,-7322.41074036913
242,-7322.410583842618
243,-7322.410429431529
244,-7322.410277101732
245,-7322.410126819827
246,-7322.409978553162
247,-7322.409832269755
248,-7322.409687938333
249,-7322.409545528261
250,-7322.40940500955
251,-7322.409266352833
252,-7322.409129529344
253,-7322.408994510888
254,-7322.408861269851
255,-7322.408729779154
256,-7322.408600012252
257,-7322.408471943117
258,-7322.4083455462105
259,-7322.408220796497
260,-7322.408097669385
261,-7322.407976140762
262,-7322.407856186939
263,-7322.40773778467
264,-7322.407620911112
265,-7322.407505543833
266,-7322.407391660797
267,-7322.407279240334
268,-7322.407168261155
269,-7322.4070587023325
270,-7322.406950543282
271,-7322.406843763756
272,-7322.406738343842
273,-7322.40663426395
274,-7322.406531504798
275,-7322.406430047416
276,-7322.40632987312
277,-7322.406230963515
278,-7322.406133300501
279,-7322.406036866238
280,-7322.405941643163
281,-7322.40584761397
282,-7322.405754761612
283,-7322.405663069288
284,-7322.405572520444
285,-7322.405483098766
286,-7322.40539478817
287,-7322.405307572808
288,-7322.405221437043
289,-7322.405136365479
290,-7322.405052342916
291,-7322.404969354374
292,-7322.404887385083
293,-7322.404806420478
294,-7322.404726446192
295,-7322.404647448053
296,-7322.404569412091
297,-7322.404492324522
298,-7322.404416171755
299,-7322.404340940381
300,-7322.404266617179
