iteration,log_likelihood
1,-3903.889044572445
2,-3305.5536293091395
3,-3250.9150160889703
4,-3218.8907178397803
5,-3199.1187157314816
6,-3186.7862958866485
7,-3178.036701252515
8,-3170.8697262155306
9,-3164.2977965934238
10,-3157.6409917666774
11,-3150.1508844581886
12,-3140.848575802683
13,-3128.7934172875975
14,-3114.1861217002966
15,-3099.1992354642707
16,-3086.056504186631
17,-3075.515640174458
18,-3067.314378128524
19,-3061.632338377665
20,-3058.196631740514
21,-3056.256596921903
22,-3055.1684003236833
23,-3054.532766676406
24,-3054.135815767567
25,-3053.8694032241224
26,-3053.6788706278026
27,-3053.5355543984056
28,-3053.423503561339
29,-3053.3332120570685
30,-3053.258629978648
31,-3053.1956898477606
32,-3053.141541704263
33,-3053.0941299469523
34,-3053.0519426291453
35,-3053.013853030574
36,-3052.979013993689
37,-3052.946784503089
38,-3052.9166771637865
39,-3052.8883198783
40,-3052.8614275111113
41,-3052.8357807495295
42,-3052.8112102353634
43,-3052.787584598681
44,-3052.764801402061
45,-3052.742780266914
46,-3052.721457642489
47,-3052.7007828160877
48,-3052.6807148644198
49,-3052.661220321337
50,-3052.642271392861
51,-3052.6238445922277
52,-3052.605919698246
53,-3052.588478963356
54,-3052.5715065147156
55,-3052.554987904607
56,-3052.538909775896
57,-3052.523259615773
58,-3052.5080255766384
59,-3052.4931963475387
60,-3052.4787610631092
61,-3052.4647092399086
62,-3052.4510307323003
63,-3052.4377157020126
64,-3052.4247545969015
65,-3052.4121381358573
66,-3052.3998572974338
67,-3052.3879033106987
68,-3052.3762676474003
69,-3052.364942014643
70,-3052.353918347825
71,-3052.343188803674
72,-3052.3327457532046
73,-3052.3225817747934
74,-3052.312689647174
75,-3052.303062342685
76,-3052.293693020546
77,-3052.2845750204847
78,-3052.2757018565235
79,-3052.2670672110903
80,-3052.258664929405
81,-3052.250489014199
82,-3052.242533620678
83,-3052.2347930518363
84,-3052.227261753975
85,-3052.2199343124985
86,-3052.212805447991
87,-3052.2058700123894
88,-3052.1991229854916
89,-3052.1925594715294
90,-3052.186174695954
91,-3052.179964002352
92,-3052.1739228494916
93,-3052.1680468084764
94,-3052.1623315600127
95,-3052.15677289178
96,-3052.151366695836
97,-3052.1461089661757
98,-3052.140995796328
99,-3052.1360233769906
100,-3052.131187993778
101,-3052.1264860249826
102,-3052.1219139394225
103,-3052.11746829434
104,-3052.113145733297
105,-3052.1089429842277
106,-3052.1048568573888
107,-3052.100884243499
108,-3052.0970221118114
109,-3052.093267508281
110,-3052.089617553781
111,-3052.0860694422895
112,-3052.082620439215
113,-3052.0792678796765
114,-3052.0760091668317
115,-3052.0728417703094
116,-3052.06976322457
117,-3052.066771127398
118,-3052.0638631383404
119,-3052.061036977286
120,-3052.058290422938
121,-3052.055621311446
122,-3052.053027535003
123,-3052.050507040498
124,-3052.04805782815
125,-3052.045677950244
126,-3052.0433655098514
127,-3052.0411186595798
128,-3052.0389356003807
129,-3052.0368145803172
130,-3052.0347538934625
131,-3052.032751878698
132,-3052.030806918678
133,-3052.0289174386853
134,-3052.027081905601
135,-3052.0252988268717
136,-3052.0235667494753
137,-3052.021884258969
138,-3052.0202499784778
139,-3052.018662567803
140,-3052.017120722454
141,-3052.0156231727956
142,-3052.0141686831257
143,-3052.012756050842
144,-3052.011384105588
145,-3052.010051708459
146,-3052.008757751185
147,-3052.00750115535
148,-3052.0062808716257
149,-3052.005095879065
150,-3052.00394518431
151,-3052.0028278209465
152,-3052.00174284877
153,-3052.0006893531354
154,-3051.9996664442824
155,-3051.998673256711
156,-3051.9977089485174
157,-3051.9967727008257
158,-3051.995863717155
159,-3051.9949812228647
160,-3051.994124464551
161,-3051.993292709527
162,-3051.992485245267
163,-3051.991701378848
164,-3051.9909404365067
165,-3051.990201763054
166,-3051.989484721442
167,-3051.9887886922493
168,-3051.9881130732474
169,-3051.9874572789254
170,-3051.9868207400496
171,-3051.9862029032233
172,-3051.985603230477
173,-3051.985021198867
174,-3051.984456300034
175,-3051.983908039864
176,-3051.9833759380567
177,-3051.982859527804
178,-3051.982358355383
179,-3051.9818719798304
180,-3051.9813999725975
181,-3051.98094191719
182,-3051.9804974088706
183,-3051.9800660543397
184,-3051.9796474714003
185,-3051.9792412886677
186,-3051.9788471452857
187,-3051.9784646906337
188,-3051.978093584041
189,-3051.977733494518
190,-3051.9773841004935
191,-3051.9770450895453
192,-3051.9767161581767
193,-3051.976397011531
194,-3051.976087363193
195,-3051.9757869349246
196,-3051.9754954564546
197,-3051.9752126652656
198,-3051.974938306353
199,-3051.974672132041
200,-3051.97441390177
201,-3051.974163381902
202,-3051.9739203455124
203,-3051.9736845722314
204,-3051.973455848044
205,-3051.9732339650914
206,-3051.973018721545
207,-3051.9728099214067
208,-3051.9726073743345
209,-3051.972410895523
210,-3051.9722203055044
211,-3051.972035430041
212,-3051.9718560999313
213,-3051.971682150909
214,-3051.9715134234702
215,-3051.9713497627663
216,-3051.971191018457
217,-3051.971037044582
218,-3051.9708876994505
219,-3051.9707428454863
220,-3051.9706023491635
221,-3051.9704660808275
222,-3051.9703339146536
223,-3051.9702057284753
224,-3051.9700814037133
225,-3051.9699608252754
226,-3051.969843881435
227,-3051.9697304637525
228,-3051.9696204669763
229,-3051.969513788942
230,-3051.969410330508
231,-3051.9693099954375
232,-3051.9692126903237
233,-3051.969118324532
234,-3051.969026810095
235,-3051.9689380616423
236,-3051.9688519963183
237,-3051.9687685337226
238,-3051.968687595838
239,-3051.968609106946
240,-3051.968532993574
241,-3051.968459184421
242,-3051.9683876103095
243,-3051.9683182041126
244,-3051.968250900681
245,-3051.96818563682
246,-3051.9681223512034
247,-3051.9680609843163
248,-3051.9680014784367
249,-3051.9679437775435
250,-3051.967887827289
251,-3051.9678335749386
252,-3051.9677809693358
253,-3051.9677299608506
254,-3051.9676805013246
255,-3051.967632544044
256,-3051.967586043694
257,-3051.9675409562924
258,-3051.967497239193
259,-3051.9674548510234
260,-3051.9674137516317
261,-3051.9673739020845
262,-3051.9673352646055
263,-3051.967297802549
264,-3051.96726148038
265,-3051.9672262636104
266,-3051.9671921187896
267,-3051.967159013492
268,-3051.967126916226
269,-3051.967095796489
270,-3051.967065624656
271,-3051.9670363720197
272,-3051.9670080107244
273,-3051.9669805137437
274,-3051.9669538548883
275,-3051.9669280087264
276,-3051.9669029506153
277,-3051.966878656649
278,-3051.966855103621
279,-3051.9668322690623
280,-3051.9668101311436
281,-3051.966788668717
282,-3051.9667678612686
283,-3051.9667476889013
284,-3051.966728132308
285,-3051.9667091727765
286,-3051.966690792162
287,-3051.9666729728588
288,-3051.9666556977927
289,-3051.9666389504273
290,-3051.966622714687
291,-3051.9666069750137
292,-3051.9665917163143
293,-3051.9665769239373
294,-3051.9665625837006
295,-3051.966548681818
296,-3051.966535204959
297,-3051.966522140163
298,-3051.966509474871
299,-3051.9664971969237
300,-3051.966485294518
