model_name,data_version,subject_id,fold_id,n_train_trials,n_test_trials,n_train_blocks,n_test_blocks,train_converged,train_iterations,train_final_log_likelihood,test_total_log_likelihood,test_ll_per_trial,test_perplexity,monotonic,maximum_drop,runtime_seconds,parameter_json
exchangeable_block_mixture,original,1,1,6413,2149,30,10,True,67,-2768.3423291272925,-1069.0468635957604,-0.4974624772432575,1.6445429065453134,True,0.0,0.761111300002085,"{""class_weights"": [[0.8401328515731352, 0.1471488160093039, 0.012718332417560773], [0.31656298671835376, 0.6821863840555267, 0.0012506292261194852], [0.6198042343037213, 0.3801957641660413, 1.5302372948572118e-09]], ""kappaP"": {""10"": 68.37749283303148, ""20"": 32.83095202327471, ""40"": 29.237728436262216, ""80"": 1.0653962386802094}, ""kappaS"": {""0.06"": 4.717883430717287, ""0.12"": 11.046183607493449, ""0.24"": 28.268877859434294}, ""rho"": [0.599711906890948, 0.23289283113201084, 0.16739526197704116], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,shuffled,1,1,6413,2149,30,10,True,67,-2768.3423291272925,-1069.0468635957604,-0.4974624772432575,1.6445429065453134,True,0.0,0.7722619000123814,"{""class_weights"": [[0.8401328515731352, 0.1471488160093039, 0.012718332417560773], [0.31656298671835376, 0.6821863840555267, 0.0012506292261194852], [0.6198042343037213, 0.3801957641660413, 1.5302372948572118e-09]], ""kappaP"": {""10"": 68.37749283303148, ""20"": 32.83095202327471, ""40"": 29.237728436262216, ""80"": 1.0653962386802094}, ""kappaS"": {""0.06"": 4.717883430717287, ""0.12"": 11.046183607493449, ""0.24"": 28.268877859434294}, ""rho"": [0.599711906890948, 0.23289283113201084, 0.16739526197704116], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,original,1,2,6413,2149,30,10,True,74,-2968.869454610688,-868.1137934012166,-0.4039617465803707,1.4977466519311058,True,0.0,0.8107912000268698,"{""class_weights"": [[0.8236474657663149, 0.16388110624350694, 0.01247142799017824], [0.28679267975492967, 0.711212409018929, 0.001994911226141342], [0.6663535404820387, 0.3336464581840067, 1.333954654628485e-09]], ""kappaP"": {""10"": 70.47502618419543, ""20"": 42.90802140909136, ""40"": 25.64097641366939, ""80"": 1.2981964957480094}, ""kappaS"": {""0.06"": 4.853369347195871, ""0.12"": 11.271071654949417, ""0.24"": 28.968282256893076}, ""rho"": [0.5841785335687261, 0.1666690404595019, 0.24915242597177203], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,shuffled,1,2,6413,2149,30,10,True,74,-2968.869454610688,-868.1137934012168,-0.4039617465803707,1.4977466519311058,True,0.0,0.8219652000116184,"{""class_weights"": [[0.8236474657663149, 0.16388110624350694, 0.01247142799017824], [0.28679267975492967, 0.711212409018929, 0.001994911226141342], [0.6663535404820387, 0.3336464581840067, 1.333954654628485e-09]], ""kappaP"": {""10"": 70.47502618419543, ""20"": 42.90802140909136, ""40"": 25.64097641366939, ""80"": 1.2981964957480094}, ""kappaS"": {""0.06"": 4.853369347195871, ""0.12"": 11.271071654949417, ""0.24"": 28.968282256893076}, ""rho"": [0.5841785335687261, 0.1666690404595019, 0.24915242597177203], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,original,1,3,6418,2144,30,10,True,109,-2836.3252408914664,-1006.6054874905528,-0.4694988281205937,1.599192522024815,True,0.0,1.1600856000150088,"{""class_weights"": [[0.8291173482529287, 0.15871775773983807, 0.012164894007233263], [0.3426104509512614, 0.6562081106886327, 0.0011814383601057097], [0.6776562054247326, 0.3223437930992196, 1.476047603740852e-09]], ""kappaP"": {""10"": 68.75669334625717, ""20"": 41.697492883504026, ""40"": 13.361569779346363, ""80"": 1.2567432152735691}, ""kappaS"": {""0.06"": 5.285012189334186, ""0.12"": 12.174799376427405, ""0.24"": 29.613675741408688}, ""rho"": [0.5759870879334239, 0.1996662903356401, 0.22434662173093606], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,shuffled,1,3,6418,2144,30,10,True,109,-2836.3252408914664,-1006.6054874905528,-0.4694988281205936,1.599192522024815,True,0.0,1.1709614999999758,"{""class_weights"": [[0.8291173482529287, 0.15871775773983807, 0.012164894007233263], [0.3426104509512614, 0.6562081106886327, 0.0011814383601057097], [0.6776562054247326, 0.3223437930992196, 1.476047603740852e-09]], ""kappaP"": {""10"": 68.75669334625717, ""20"": 41.697492883504026, ""40"": 13.361569779346363, ""80"": 1.2567432152735691}, ""kappaS"": {""0.06"": 5.285012189334186, ""0.12"": 12.174799376427405, ""0.24"": 29.613675741408688}, ""rho"": [0.5759870879334239, 0.1996662903356401, 0.22434662173093606], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,original,1,4,6442,2120,30,10,True,84,-2908.796238435252,-929.4849714975194,-0.4384363073101506,1.5502811588844625,True,0.0,0.9615617000090424,"{""class_weights"": [[0.8430113364821351, 0.1493379519950843, 0.007650711522780483], [0.24588821046129622, 0.7512681343130165, 0.002843655225687053], [0.6346452682904655, 0.3653547304686428, 1.2408915698543809e-09]], ""kappaP"": {""10"": 52.21346175973697, ""20"": 51.47585155353022, ""40"": 27.18252758675721, ""80"": 1.0915927515471058}, ""kappaS"": {""0.06"": 4.9108724024167305, ""0.12"": 11.27976541902839, ""0.24"": 27.388803996481197}, ""rho"": [0.5993308576033279, 0.166676038459128, 0.2339931039375441], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,shuffled,1,4,6442,2120,30,10,True,84,-2908.796238435252,-929.4849714975194,-0.4384363073101506,1.5502811588844625,True,0.0,0.972624399990309,"{""class_weights"": [[0.8430113364821351, 0.1493379519950843, 0.007650711522780483], [0.24588821046129622, 0.7512681343130165, 0.002843655225687053], [0.6346452682904655, 0.3653547304686428, 1.2408915698543809e-09]], ""kappaP"": {""10"": 52.21346175973697, ""20"": 51.47585155353022, ""40"": 27.18252758675721, ""80"": 1.0915927515471058}, ""kappaS"": {""0.06"": 4.9108724024167305, ""0.12"": 11.27976541902839, ""0.24"": 27.388803996481197}, ""rho"": [0.5993308576033279, 0.166676038459128, 0.2339931039375441], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,original,2,1,6175,1702,29,8,True,70,-3521.933742149389,-977.2291151252869,-0.5741651675236703,1.7756475397445493,True,0.0,0.7165188000071794,"{""class_weights"": [[0.410936650573804, 0.38981942037828277, 0.19924392904791316], [0.12365326316448992, 0.8763467359158679, 9.196422503865108e-10], [0.3586941559387851, 0.6234131444674622, 0.01789269959375261]], ""kappaP"": {""10"": 64.41961983793165, ""20"": 32.66938161493836, ""40"": 13.83073376798521, ""80"": 2.9832593532846503}, ""kappaS"": {""0.06"": 2.952164041062466, ""0.12"": 5.701381735296995, ""0.24"": 16.665852963303852}, ""rho"": [0.17270610381643323, 0.30799235510800527, 0.5193015410755615], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,shuffled,2,1,6175,1702,29,8,True,70,-3521.933742149389,-977.2291151252872,-0.5741651675236704,1.7756475397445497,True,0.0,0.7254481000127271,"{""class_weights"": [[0.410936650573804, 0.38981942037828277, 0.19924392904791316], [0.12365326316448992, 0.8763467359158679, 9.196422503865108e-10], [0.3586941559387851, 0.6234131444674622, 0.01789269959375261]], ""kappaP"": {""10"": 64.41961983793165, ""20"": 32.66938161493836, ""40"": 13.83073376798521, ""80"": 2.9832593532846503}, ""kappaS"": {""0.06"": 2.952164041062466, ""0.12"": 5.701381735296995, ""0.24"": 16.665852963303852}, ""rho"": [0.17270610381643323, 0.30799235510800527, 0.5193015410755615], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,original,2,2,5747,2130,27,10,True,85,-2894.681972537973,-1343.7967822033677,-0.6308905080766983,1.879283351348055,True,0.0,0.8104168999998365,"{""class_weights"": [[0.40234534526823323, 0.403815042002622, 0.19383961272914468], [0.04886717123246336, 0.9511328281337024, 6.338343119791949e-10], [0.42364712015178396, 0.5564153590580228, 0.01993752079019321]], ""kappaP"": {""10"": 58.201097188031675, ""20"": 17.07922111183576, ""40"": 18.135184764625386, ""80"": 21.805668972603268}, ""kappaS"": {""0.06"": 1.9380685076146786, ""0.12"": 4.670842262036649, ""0.24"": 13.022921727687542}, ""rho"": [0.3355018991069771, 0.4073456737751348, 0.25715242711788816], ""weights"": [0.6, 0.35, 0.05]}"
