model_name,subject_id,n_trials,converged,n_iterations,final_log_likelihood,ll_per_trial,monotonic,parameter_json
subject_iid,1,8562,True,75,-4021.074308327025,-0.46964194210780486,True,"{""kappaP"": {""10"": 140.23405911884655, ""20"": 44.514156180518846, ""40"": 14.78095713069495, ""80"": 1.1524113798427116}, ""kappaS"": {""0.06"": 6.181037052186164, ""0.12"": 12.62487566482212, ""0.24"": 30.14538197392177}, ""weights"": [0.733808304242026, 0.2623034526530613, 0.0038882431049101747]}"
prior_conditioned_iid,1,8562,True,159,-3857.828981699745,-0.4505756811141958,True,"{""condition_weights"": {""10"": [0.31525843477769233, 0.6815086072747647, 0.003232957947543038], ""20"": [0.678854301634684, 0.31994267445703123, 0.0012030239082847852], ""40"": [0.817550156036361, 0.17514108138819584, 0.007308762575443138], ""80"": [0.8141929323921584, 0.10522682750292395, 0.0805802401049178]}, ""kappaP"": {""10"": 54.66499538595696, ""20"": 41.1724709254116, ""40"": 25.603975332006677, ""80"": 3.4363991271533214}, ""kappaS"": {""0.06"": 4.818708988109851, ""0.12"": 11.29133683310106, ""0.24"": 28.42290315545128}, ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,1,8562,True,92,-3832.455991808474,-0.44761223917408016,True,"{""class_weights"": [[0.8353468999856376, 0.15276450196988167, 0.011888598044480727], [0.3142729329031291, 0.6840814058320609, 0.0016456612648100457], [0.6597611664395677, 0.3402388324831421, 1.077290244377396e-09]], ""kappaP"": {""10"": 66.96371561382901, ""20"": 38.62998855093242, ""40"": 25.685851795895687, ""80"": 1.1918027069215196}, ""kappaS"": {""0.06"": 4.945158807668949, ""0.12"": 11.41220959568465, ""0.24"": 28.547479219288952}, ""rho"": [0.5837585689917116, 0.19938275709611186, 0.21685867391217656], ""weights"": [0.6, 0.35, 0.05]}"
subject_iid,2,7877,True,121,-4647.970559817533,-0.5900686250879184,True,"{""kappaP"": {""10"": 75.5768253135913, ""20"": 31.780797070891307, ""40"": 6.886065460421182, ""80"": 1.901085961259583}, ""kappaS"": {""0.06"": 4.062476869081525, ""0.12"": 7.296116883924394, ""0.24"": 17.458287988040837}, ""weights"": [0.2764561415310408, 0.7222380424349248, 0.0013058160340346007]}"
prior_conditioned_iid,2,7877,True,85,-4196.0253213087135,-0.532693325036018,True,"{""condition_weights"": {""10"": [0.10065707599066841, 0.899342923057445, 9.518865171347925e-10], ""20"": [0.2234915839278897, 0.7765084150133073, 1.0588030294793849e-09], ""40"": [0.40368978155805385, 0.5698216917921237, 0.02648852664982249], ""80"": [0.3679876003119037, 0.42328557292094426, 0.20872682676715196]}, ""kappaP"": {""10"": 58.76452446847619, ""20"": 29.686404304185576, ""40"": 17.22790859115813, ""80"": 21.15843181245305}, ""kappaS"": {""0.06"": 2.5821215704537273, ""0.12"": 5.2901683537851945, ""0.24"": 14.296974164854493}, ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,2,7877,True,81,-4219.914059516079,-0.5357260453873403,True,"{""class_weights"": [[0.3697734290794105, 0.4230713666663282, 0.20715520425426132], [0.09319641524132008, 0.9068035841171521, 6.415277040640847e-10], [0.3562426009766085, 0.6345652556878695, 0.009192143335522077]], ""kappaP"": {""10"": 62.689195772642634, ""20"": 25.886178780800805, ""40"": 13.002585119585857, ""80"": 21.184345623236442}, ""kappaS"": {""0.06"": 2.503487740111115, ""0.12"": 5.294315859502669, ""0.24"": 14.365384389266872}, ""rho"": [0.3783146346767947, 0.29340278464999137, 0.3282825806732139], ""weights"": [0.6, 0.35, 0.05]}"
subject_iid,3,9412,True,43,-4453.456789149035,-0.47316795464821876,True,"{""kappaP"": {""10"": 71.92310913576105, ""20"": 48.7891714877469, ""40"": 24.427365220942818, ""80"": 1.137913524882708}, ""kappaS"": {""0.06"": 5.07904064976074, ""0.12"": 12.515624042355897, ""0.24"": 30.71718106776466}, ""weights"": [0.7091336416255515, 0.2895633212989533, 0.0013030370754976374]}"
prior_conditioned_iid,3,9412,True,90,-3876.1948300105328,-0.411835404803499,True,"{""condition_weights"": {""10"": [0.0733067549476071, 0.9266932443451469, 7.072461006553317e-10], ""20"": [0.4782905517806659, 0.5208936337878923, 0.000815814431441796], ""40"": [0.7474511835641052, 0.2525488140445608, 2.391334010606532e-09], ""80"": [0.8390906421256928, 0.10087204197054786, 0.06003731590375932]}, ""kappaP"": {""10"": 30.052559847966727, ""20"": 30.50593566068377, ""40"": 34.53509753373939, ""80"": 59.79241657335383}, ""kappaS"": {""0.06"": 3.141594097109014, ""0.12"": 10.548716674736708, ""0.24"": 28.48388243849711}, ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,3,9412,True,89,-3938.791270505656,-0.4184861103384675,True,"{""class_weights"": [[0.8392398705762791, 0.09423037509600683, 0.0665297543277139], [0.1870954749295956, 0.8129045245157513, 5.546529820257108e-10], [0.6913490840619478, 0.3065206368986864, 0.0021302790393655747]], ""kappaP"": {""10"": 35.23565340430229, ""20"": 30.319624573172938, ""40"": 35.13792804800847, ""80"": 55.399862576898386}, ""kappaS"": {""0.06"": 3.31674175738639, ""0.12"": 10.887263464552394, ""0.24"": 28.68514786504288}, ""rho"": [0.39486657179267265, 0.27272750086707787, 0.3324059273402495], ""weights"": [0.6, 0.35, 0.05]}"
subject_iid,4,4799,True,57,-3819.439482134508,-0.7958823676046068,True,"{""kappaP"": {""10"": 37.95621923255996, ""20"": 14.581637541741268, ""40"": 2.4646729167802723, ""80"": 1.2044454206147426}, ""kappaS"": {""0.06"": 4.310952048238346, ""0.12"": 7.352517457927454, ""0.24"": 13.816844765766866}, ""weights"": [0.5224648946343745, 0.47593419631767836, 0.001600909047945109]}"
