model_name,data_version,subject_id,n_test_trials,total_ll,completed_folds,converged_folds,ll_per_trial,perplexity
prior_conditioned_iid,original,1,8562,-3945.6828608112523,4,3,-0.4608365873407209,1.5853997557212736
prior_conditioned_iid,original,2,7877,-4286.045673401253,4,4,-0.544121578443729,1.723094114377427
prior_conditioned_iid,original,3,9412,-3916.6046726458712,4,4,-0.4161288432475426,1.5160811931116527
prior_conditioned_iid,original,4,4799,-3804.1848553567247,4,3,-0.7927036581280943,2.209361717333311
prior_conditioned_iid,original,5,5789,-7497.973605417243,4,0,-1.295210503613274,3.6517646028826025
prior_conditioned_iid,original,6,7553,-7192.349570062351,4,4,-0.9522507043641402,2.5915358814227525
prior_conditioned_iid,original,7,5797,-3782.5860232484233,4,2,-0.6525075078917412,1.9203500898694847
prior_conditioned_iid,original,8,5797,-7898.987398844436,4,4,-1.3625991717861714,3.9063333496532744
prior_conditioned_iid,original,9,8632,-7262.806288027206,4,4,-0.8413816367038005,2.3195695663138496
prior_conditioned_iid,original,10,6044,-6669.601489220932,4,2,-1.1035078572503196,3.0147227143711612
prior_conditioned_iid,original,11,6474,-5428.845472860973,4,2,-0.8385612407879167,2.313036678777632
prior_conditioned_iid,original,12,6474,-6594.376564979984,4,3,-1.0185938469230744,2.7692979680019354
prior_conditioned_iid,shuffled,1,8562,-3945.682860811253,4,3,-0.46083658734072097,1.5853997557212738
prior_conditioned_iid,shuffled,2,7877,-4286.045673401253,4,4,-0.544121578443729,1.723094114377427
prior_conditioned_iid,shuffled,3,9412,-3916.6046726458712,4,4,-0.4161288432475426,1.5160811931116527
prior_conditioned_iid,shuffled,4,4799,-3804.1848553567247,4,3,-0.7927036581280943,2.209361717333311
prior_conditioned_iid,shuffled,5,5789,-7497.973605417243,4,0,-1.295210503613274,3.6517646028826025
prior_conditioned_iid,shuffled,6,7553,-7192.349570062351,4,4,-0.9522507043641402,2.5915358814227525
prior_conditioned_iid,shuffled,7,5797,-3782.5860232484233,4,2,-0.6525075078917412,1.9203500898694847
prior_conditioned_iid,shuffled,8,5797,-7898.987398844437,4,4,-1.3625991717861716,3.9063333496532753
prior_conditioned_iid,shuffled,9,8632,-7262.806288027206,4,4,-0.8413816367038005,2.3195695663138496
prior_conditioned_iid,shuffled,10,6044,-6669.601489220932,4,2,-1.1035078572503196,3.0147227143711612
prior_conditioned_iid,shuffled,11,6474,-5428.845472860974,4,2,-0.8385612407879169,2.3130366787776326
prior_conditioned_iid,shuffled,12,6474,-6594.376564979984,4,3,-1.0185938469230744,2.7692979680019354
subject_iid,original,1,8562,-4074.1705110286107,4,4,-0.47584332060600454,1.6093708409555645
subject_iid,original,2,7877,-4675.053183581596,4,4,-0.5935068152318899,1.8103257749309918
subject_iid,original,3,9412,-4484.086597143751,4,4,-0.47642229038926376,1.610302887829989
subject_iid,original,4,4799,-3887.9898914034984,4,4,-0.8101666787671387,2.2482826964355445
subject_iid,original,5,5789,-7460.283493991734,4,1,-1.2886998607689988,3.628066496465831
subject_iid,original,6,7553,-7300.246043008287,4,4,-0.9665359516759284,2.628822301190957
subject_iid,original,7,5797,-3983.5293180300314,4,4,-0.6871708328497553,1.9880829502658834
subject_iid,original,8,5797,-7791.54036698668,4,4,-1.3440642344293048,3.834596577725139
subject_iid,original,9,8632,-7512.497698564003,4,4,-0.8703078890829475,2.3876458704640853
subject_iid,original,10,6044,-6732.793512319583,4,4,-1.1139631886696861,3.046407990884553
subject_iid,original,11,6474,-5676.436795482928,4,4,-0.8768051892930071,2.403209628933536
subject_iid,original,12,6474,-6885.875133754589,4,3,-1.0636198847319416,2.896838253257408
subject_iid,shuffled,1,8562,-4074.1705110286107,4,4,-0.47584332060600454,1.6093708409555645
subject_iid,shuffled,2,7877,-4675.053183581596,4,4,-0.5935068152318899,1.8103257749309918
subject_iid,shuffled,3,9412,-4484.086597143751,4,4,-0.47642229038926376,1.610302887829989
subject_iid,shuffled,4,4799,-3887.9898914034984,4,4,-0.8101666787671387,2.2482826964355445
subject_iid,shuffled,5,5789,-7460.283493991733,4,1,-1.2886998607689986,3.6280664964658302
subject_iid,shuffled,6,7553,-7300.246043008287,4,4,-0.9665359516759284,2.628822301190957
subject_iid,shuffled,7,5797,-3983.529318030031,4,4,-0.6871708328497552,1.9880829502658832
subject_iid,shuffled,8,5797,-7791.540366986681,4,4,-1.344064234429305,3.83459657772514
subject_iid,shuffled,9,8632,-7512.497698564003,4,4,-0.8703078890829475,2.3876458704640853
subject_iid,shuffled,10,6044,-6732.793512319584,4,4,-1.1139631886696864,3.046407990884554
subject_iid,shuffled,11,6474,-5676.436795482928,4,4,-0.8768051892930071,2.403209628933536
subject_iid,shuffled,12,6474,-6885.875133754589,4,3,-1.0636198847319416,2.896838253257408
