iteration,log_likelihood
1,-5908.421666553519
2,-5671.153014823473
3,-5633.2380334693935
4,-5619.87881703057
5,-5612.959420379584
6,-5608.50411000891
7,-5605.2175774653915
8,-5602.61698484847
9,-5600.533824173187
10,-5598.892725239987
11,-5597.621808705089
12,-5596.64276597999
13,-5595.881851723679
14,-5595.278893187912
15,-5594.78983571478
16,-5594.384312861436
17,-5594.04172236501
18,-5593.747913663345
19,-5593.492967153797
20,-5593.2698565540095
21,-5593.07365190344
22,-5592.900948336606
23,-5592.74930304765
24,-5592.616658266832
25,-5592.50092428915
26,-5592.399878768606
27,-5592.311317135111
28,-5592.233248087117
29,-5592.163996326498
30,-5592.102204110135
31,-5592.046781074435
32,-5591.99684446232
33,-5591.951668711075
34,-5591.910648174708
35,-5591.873270863442
36,-5591.839100026939
37,-5591.807760971353
38,-5591.778931297599
39,-5591.752333376223
40,-5591.727728295231
41,-5591.704910785409
42,-5591.6837048002635
43,-5591.663959544984
44,-5591.645545833513
45,-5591.628352716863
46,-5591.612284373209
47,-5591.597257281786
48,-5591.583197718062
49,-5591.570039607889
50,-5591.557722765743
51,-5591.546191521514
52,-5591.53539371638
53,-5591.525280026788
54,-5591.515803559492
55,-5591.506919652921
56,-5591.498585819855
57,-5591.490761773075
58,-5591.483409486218
59,-5591.476493254795
60,-5591.469979734583
61,-5591.4638379454855
62,-5591.45803923729
63,-5591.452557219589
64,-5591.44736766164
65,-5591.442448369598
66,-5591.4377790487115
67,-5591.433341157497
68,-5591.429117759872
69,-5591.425093379731
70,-5591.421253861486
71,-5591.4175862385955
72,-5591.414078611482
73,-5591.410720035249
74,-5591.407500417161
75,-5591.404410423444
76,-5591.401441394688
77,-5591.398585268961
78,-5591.39583451171
79,-5591.393182051406
80,-5591.390621219895
81,-5591.388145696441
82,-5591.385749454314
83,-5591.3834267088705
84,-5591.381171865863
85,-5591.378979468676
86,-5591.376844142979
87,-5591.374760536997
88,-5591.372723255262
89,-5591.37072678315
90,-5591.368765398837
91,-5591.366833068341
92,-5591.3649233179385
93,-5591.363029076587
94,-5591.3611424784895
95,-5591.35925461268
96,-5591.357355202207
97,-5591.3554321895335
98,-5591.353471197197
99,-5591.3514548227495
100,-5591.34936171496
101,-5591.347165364455
102,-5591.344832529014
103,-5591.342321208183
104,-5591.339578097192
105,-5591.336535516226
106,-5591.333107981345
107,-5591.329188951634
108,-5591.32464898851
109,-5591.319337736085
110,-5591.313093748605
111,-5591.305767645061
112,-5591.297263503495
113,-5591.287597433229
114,-5591.276958055777
115,-5591.265735378295
116,-5591.254479776008
117,-5591.243782317655
118,-5591.234123105525
119,-5591.225765668893
120,-5591.218744383906
121,-5591.212928086552
122,-5591.2081074986845
123,-5591.204064532845
124,-5591.200610018299
125,-5591.1975958584335
126,-5591.1949128844735
127,-5591.192483230009
128,-5591.190252090302
129,-5591.188180830729
130,-5591.18624186192
131,-5591.184415065348
132,-5591.182685388607
133,-5591.18104125688
134,-5591.179473529228
135,-5591.17797480968
136,-5591.176538986725
137,-5591.175160919574
138,-5591.173836219305
139,-5591.172561092223
140,-5591.171332224791
141,-5591.170146696907
142,-5591.169001915106
143,-5591.167895560067
144,-5591.166825544695
145,-5591.165789980165
146,-5591.1647871481455
147,-5591.163815477809
148,-5591.162873526722
149,-5591.161959964789
150,-5591.161073560744
151,-5591.160213170684
152,-5591.159377728311
153,-5591.158566236595
154,-5591.1577777606035
155,-5591.157011421329
156,-5591.156266390347
157,-5591.155541885173
158,-5591.154837165203
159,-5591.154151528191
160,-5591.153484307109
161,-5591.15283486741
162,-5591.152202604599
163,-5591.151586942051
164,-5591.150987329101
165,-5591.150403239296
166,-5591.149834168831
167,-5591.149279635166
168,-5591.148739175724
169,-5591.1482123467495
170,-5591.147698722238
171,-5591.1471978929685
172,-5591.146709465615
173,-5591.146233061913
174,-5591.145768317919
175,-5591.145314883285
176,-5591.144872420604
177,-5591.144440604815
178,-5591.144019122613
179,-5591.143607671928
180,-5591.143205961411
181,-5591.1428137099765
182,-5591.142430646338
183,-5591.142056508606
184,-5591.141691043894
185,-5591.141334007921
186,-5591.140985164684
187,-5591.140644286106
188,-5591.140311151716
189,-5591.139985548358
190,-5591.1396672698875
191,-5591.139356116908
192,-5591.139051896504
193,-5591.138754421991
194,-5591.138463512686
195,-5591.138178993663
196,-5591.1379006955585
197,-5591.137628454345
198,-5591.137362111145
199,-5591.137101512036
200,-5591.136846507873
201,-5591.13659695411
202,-5591.136352710637
203,-5591.136113641621
204,-5591.135879615354
205,-5591.135650504106
206,-5591.135426183981
207,-5591.13520653479
208,-5591.1349914399125
209,-5591.134780786185
210,-5591.13457446377
211,-5591.134372366047
212,-5591.134174389505
213,-5591.133980433633
214,-5591.1337904008205
215,-5591.133604196259
216,-5591.133421727853
217,-5591.133242906118
218,-5591.133067644112
219,-5591.132895857337
220,-5591.132727463663
221,-5591.132562383257
222,-5591.132400538495
223,-5591.13224185391
224,-5591.1320862561015
225,-5591.131933673684
226,-5591.131784037223
227,-5591.131637279159
228,-5591.13149333377
229,-5591.131352137097
230,-5591.131213626886
231,-5591.131077742558
232,-5591.13094442513
233,-5591.130813617185
234,-5591.130685262816
235,-5591.130559307579
236,-5591.130435698453
237,-5591.130314383793
238,-5591.130195313289
239,-5591.130078437931
240,-5591.129963709962
241,-5591.1298510828465
242,-5591.129740511235
243,-5591.129631950925
244,-5591.129525358829
245,-5591.129420692941
246,-5591.129317912309
247,-5591.129216976998
248,-5591.129117848068
249,-5591.129020487546
250,-5591.128924858378
251,-5591.128830924438
252,-5591.128738650473
253,-5591.128648002078
254,-5591.128558945708
255,-5591.128471448605
256,-5591.128385478805
257,-5591.128301005116
258,-5591.128217997079
259,-5591.128136424977
260,-5591.128056259775
261,-5591.127977473142
262,-5591.127900037399
263,-5591.127823925524
264,-5591.127749111122
265,-5591.127675568414
266,-5591.127603272217
267,-5591.127532197929
268,-5591.12746232151
269,-5591.127393619479
270,-5591.127326068884
271,-5591.1272596472945
272,-5591.1271943327965
273,-5591.12713010396
274,-5591.127066939849
275,-5591.127004819985
276,-5591.126943724355
277,-5591.126883633391
278,-5591.126824527957
279,-5591.126766389342
280,-5591.126709199243
281,-5591.126652939764
282,-5591.126597593401
283,-5591.126543143029
284,-5591.126489571892
285,-5591.126436863606
286,-5591.126385002137
287,-5591.126333971787
288,-5591.126283757213
289,-5591.126234343385
290,-5591.126185715597
291,-5591.126137859456
292,-5591.12609076088
293,-5591.1260444060745
294,-5591.125998781537
295,-5591.125953874054
296,-5591.125909670684
297,-5591.125866158756
298,-5591.12582332586
299,-5591.125781159844
300,-5591.125739648812
