iteration,log_likelihood
1,-5683.610874191351
2,-5531.0306893128745
3,-5492.065721103222
4,-5475.834174211787
5,-5465.030823956578
6,-5455.89774017354
7,-5447.810389040469
8,-5440.636934934952
9,-5434.816597166707
10,-5429.302549650289
11,-5423.662790406956
12,-5417.718107142955
13,-5411.555957754812
14,-5405.579850823499
15,-5400.025981389412
16,-5394.434477656576
17,-5388.404454295926
18,-5382.613785388283
19,-5377.532429901806
20,-5373.29762843813
21,-5369.949347369361
22,-5367.402019743854
23,-5365.48183704919
24,-5364.006357020642
25,-5362.83741551014
26,-5361.891627659967
27,-5361.128002179984
28,-5360.530430850955
29,-5360.084519510522
30,-5359.76196680244
31,-5359.528045127118
32,-5359.353836264139
33,-5359.219506713667
34,-5359.112385691127
35,-5359.024409413719
36,-5358.950284610601
37,-5358.886371761124
38,-5358.830042239055
39,-5358.779309762098
40,-5358.732612661384
41,-5358.688677093388
42,-5358.646422406564
43,-5358.604886326727
44,-5358.563155835382
45,-5358.520294017702
46,-5358.475257918492
47,-5358.426814305444
48,-5358.373492072141
49,-5358.313678525743
50,-5358.246056270198
51,-5358.170527976354
52,-5358.089248723577
53,-5358.006552034594
54,-5357.927044339946
55,-5357.8534434268495
56,-5357.786194337121
57,-5357.724490486583
58,-5357.667251182684
59,-5357.61354608109
60,-5357.562667319776
61,-5357.514082607912
62,-5357.467372811863
63,-5357.422182019177
64,-5357.378182037668
65,-5357.33504725855
66,-5357.292435576931
67,-5357.249971967273
68,-5357.207232160492
69,-5357.163724493419
70,-5357.11886852104
71,-5357.071969652705
72,-5357.022190308069
73,-5356.968520529934
74,-5356.90975548996
75,-5356.844494525247
76,-5356.771185299474
77,-5356.6882419976155
78,-5356.594255546756
79,-5356.488271340157
80,-5356.370039602732
81,-5356.240097653019
82,-5356.099603476812
83,-5355.950014936323
84,-5355.79286868486
85,-5355.629901147987
86,-5355.46353536192
87,-5355.297414818614
88,-5355.136412814842
89,-5354.985755922015
90,-5354.849644853357
91,-5354.730283510742
92,-5354.627836733949
93,-5354.541055151595
94,-5354.4680181252115
95,-5354.406669341884
96,-5354.355099341646
97,-5354.311651855178
98,-5354.27493734029
99,-5354.243807795829
100,-5354.217320439875
101,-5354.19470200014
102,-5354.17531760171
103,-5354.158644948532
104,-5354.144253314839
105,-5354.13178656375
106,-5354.12094943376
107,-5354.111496449644
108,-5354.103222938084
109,-5354.0959577346675
110,-5354.0895572539675
111,-5354.083900660976
112,-5354.078885933989
113,-5354.074426650096
114,-5354.070449356721
115,-5354.06689141888
116,-5354.063699252582
117,-5354.060826871937
118,-5354.058234691209
119,-5354.05588853432
120,-5354.053758813302
121,-5354.051819844613
122,-5354.050049278115
123,-5354.048427618475
124,-5354.0469378223925
125,-5354.045564958422
126,-5354.044295918551
127,-5354.0431191727275
128,-5354.042024559204
129,-5354.041003104843
130,-5354.040046870596
131,-5354.039148818205
132,-5354.038302694914
133,-5354.0375029334455
134,-5354.036744565007
135,-5354.036023143484
136,-5354.035334679217
137,-5354.034675581003
138,-5354.034042605261
139,-5354.033432811337
140,-5354.0328435221545
141,-5354.03227228953
142,-5354.031716863487
143,-5354.031175165127
144,-5354.0306452625255
145,-5354.030125349345
146,-5354.029613725731
147,-5354.029108781302
148,-5354.02860897989
149,-5354.028112845849
150,-5354.027618951753
151,-5354.0271259072815
152,-5354.026632349154
153,-5354.026136932041
154,-5354.025638320264
155,-5354.02513518026
156,-5354.024626173692
157,-5354.02410995121
158,-5354.023585146696
159,-5354.023050372095
160,-5354.022504212684
161,-5354.021945222839
162,-5354.021371922266
163,-5354.020782792638
164,-5354.020176274775
165,-5354.019550766215
166,-5354.0189046193545
167,-5354.018236140024
168,-5354.017543586667
169,-5354.0168251700425
170,-5354.016079053586
171,-5354.015303354317
172,-5354.014496144485
173,-5354.013655453858
174,-5354.012779272726
175,-5354.011865555641
176,-5354.010912225857
177,-5354.0099171804995
178,-5354.0088782964
179,-5354.0077934366045
180,-5354.006660457449
181,-5354.005477216129
182,-5354.0042415786875
183,-5354.002951428248
184,-5354.00160467342
185,-5354.000199256621
186,-5353.9987331622115
187,-5353.99720442424
188,-5353.995611133624
189,-5353.993951444553
190,-5353.992223580025
191,-5353.990425836347
192,-5353.988556586558
193,-5353.986614282716
194,-5353.98459745715
195,-5353.982504722747
196,-5353.980334772542
197,-5353.978086378851
198,-5353.975758392371
199,-5353.973349741662
200,-5353.970859433558
201,-5353.968286555058
202,-5353.965630277246
203,-5353.962889861844
204,-5353.960064670875
205,-5353.957154179918
206,-5353.954157995227
207,-5353.951075874957
208,-5353.947907754459
209,-5353.944653775529
210,-5353.941314319143
211,-5353.937890041205
212,-5353.934381910413
213,-5353.93079124739
214,-5353.927119763857
215,-5353.923369600654
216,-5353.919543363271
217,-5353.9156441535115
218,-5353.911675595889
219,-5353.907641857545
220,-5353.903547660389
221,-5353.899398284503
222,-5353.895199561984
223,-5353.8909578605935
224,-5353.886680056946
225,-5353.882373499213
226,-5353.878045959619
227,-5353.873705577354
228,-5353.8693607927635
229,-5353.8650202740255
230,-5353.860692837679
231,-5353.856387364641
232,-5353.852112713458
233,-5353.847877632644
234,-5353.843690673915
235,-5353.839560108291
236,-5353.835493846633
237,-5353.83149936638
238,-5353.827583645756
239,-5353.823753106705
240,-5353.820013567375
241,-5353.816370204809
242,-5353.812827528171
243,-5353.809389362493
244,-5353.806058842795
245,-5353.802838418031
246,-5353.799729864214
247,-5353.796734305883
248,-5353.793852244868
249,-5353.791083595299
250,-5353.788427723754
251,-5353.7858834933
252,-5353.783449310447
253,-5353.781123173772
254,-5353.778902723338
255,-5353.77678528994
256,-5353.774767943372
257,-5353.77284753906
258,-5353.771020762459
259,-5353.769284170773
260,-5353.767634231658
261,-5353.766067358696
262,-5353.764579943443
263,-5353.763168384046
264,-5353.761829110455
265,-5353.760558606247
266,-5353.759353427285
267,-5353.758210217287
268,-5353.757125720611
269,-5353.756096792345
270,-5353.755120406081
271,-5353.754193659482
272,-5353.753313777964
273,-5353.752478116671
274,-5353.751684161007
275,-5353.750929525904
276,-5353.750211954017
277,-5353.749529313059
278,-5353.74887959242
279,-5353.748260899205
280,-5353.747671453836
281,-5353.747109585348
282,-5353.74657372646
283,-5353.746062408491
284,-5353.745574256259
285,-5353.745107982953
286,-5353.744662385079
287,-5353.744236337485
288,-5353.743828788558
289,-5353.743438755532
290,-5353.743065320022
291,-5353.742707623713
292,-5353.742364864293
293,-5353.742036291559
294,-5353.741721203767
295,-5353.741418944165
296,-5353.7411288977655
297,-5353.740850488291
298,-5353.740583175346
299,-5353.74032645176
300,-5353.740079841134
