model_name,data_version,n_test_trials,total_ll,subjects,completed_folds,converged_folds,ll_per_trial,perplexity
exchangeable_block_mixture,original,83210,-66115.99501289886,12,48,42,-0.794567900647745,2.213484344982949
exchangeable_block_mixture,shuffled,83210,-66115.99501289886,12,48,42,-0.794567900647745,2.213484344982949
prior_conditioned_iid,original,83210,-68280.04447487665,12,48,35,-0.82057498467584,2.271805715539428
prior_conditioned_iid,shuffled,83210,-68280.04447487665,12,48,35,-0.82057498467584,2.271805715539428
subject_iid,original,83210,-70464.5025452953,12,48,44,-0.8468273349993426,2.332235699014315
subject_iid,shuffled,83210,-70464.5025452953,12,48,44,-0.8468273349993426,2.332235699014315
hmm,original,83210,-67447.76183342135,12,48,39,-0.8105727897298564,2.24919593411122
hmm,shuffled,83210,-69147.77555193607,12,48,27,-0.8310031913464255,2.295620532154822
