model_name,n_subjects,n_trials,total_log_likelihood,total_parameters,aic_sum,bic_sum_subjectwise,converged_subjects,bic_pooled_trial_convention,aic_delta_from_best,bic_subjectwise_delta_from_best,bic_pooled_delta_from_best
block_plus_markov,12,83210,-64298.15344827668,396,129388.30689655336,132090.9228580435,6,133082.63953006358,0.0,408.7286317202961,949.6649982767121
exchangeable_block_mixture,12,83210,-65046.866212822926,180,130453.73242564585,131682.1942263232,11,132132.97453178687,1065.425529092492,0.0,0.0
original_hmm,12,83210,-66742.3533166213,180,133844.7066332426,135073.16843391996,11,135523.9487393836,4456.399736689244,3390.974207596766,3390.974207596737
