model_name,n,ll,converged,ll_per_trial
block_plus_markov,50896,-40083.92061354219,25,-0.7875652431142367
exchangeable_block_mixture,50896,-40825.381930803225,38,-0.802133407945678
hmm,50896,-41800.56264319696,40,-0.8212936702923012
prior_conditioned_iid,50896,-42631.10743178036,33,-0.8376121391028835
