iteration,log_likelihood
1,-3584.114681188627
2,-3000.205666308927
3,-2924.4924074425603
4,-2859.662820899847
5,-2820.608024142442
6,-2792.5649321193378
7,-2771.6653426546145
8,-2755.7189342230618
9,-2743.708927319669
10,-2735.0985547738055
11,-2729.163974677333
12,-2725.1543218688375
13,-2722.458989935497
14,-2720.640708965571
15,-2719.4037853788523
16,-2718.5527828195454
17,-2717.9594587970623
18,-2717.5396660971423
19,-2717.237985238739
20,-2717.017691137788
21,-2716.8542492836377
22,-2716.731108205749
23,-2716.636975227971
24,-2716.564047805848
25,-2716.5068604137614
26,-2716.4615285813916
27,-2716.425249915129
28,-2716.3959720798293
29,-2716.3721698060285
30,-2716.352693530884
31,-2716.3366654485408
32,-2716.3234072034347
33,-2716.3123889077283
34,-2716.3031926846456
35,-2716.295486224941
36,-2716.289003334186
37,-2716.283529426807
38,-2716.2788905688735
39,-2716.2749451025975
40,-2716.271577174308
41,-2716.268691684586
42,-2716.266210313954
43,-2716.2640683712616
44,-2716.262212277918
45,-2716.2605975481392
46,-2716.259187159195
47,-2716.2579502307844
48,-2716.2568609505734
49,-2716.2558976973937
50,-2716.2550423234193
51,-2716.254279564948
52,-2716.25359655775
53,-2716.2529824373905
54,-2716.2524280091434
55,-2716.251925474711
56,-2716.2514682057335
57,-2716.2510505555992
58,-2716.2506677030497
59,-2716.250315521811
60,-2716.2499904718143
61,-2716.249689508388
62,-2716.2494100062213
63,-2716.2491496956195
64,-2716.2489066090648
65,-2716.248679036291
66,-2716.2484654864083
67,-2716.2482646560693
68,-2716.2480754024805
69,-2716.247896720689
70,-2716.2477277242124
71,-2716.247567628773
72,-2716.247415738273
73,-2716.247271433018
74,-2716.24713415961
75,-2716.2470034223034
76,-2716.246878775595
77,-2716.246759817945
78,-2716.24664618627
79,-2716.2465375513298
80,-2716.2464336135877
81,-2716.246334099855
82,-2716.2462387601377
83,-2716.246147365111
84,-2716.2460597037866
85,-2716.2459755815585
86,-2716.2458948184735
87,-2716.245817247665
88,-2716.2457427141144
89,-2716.2456710734286
90,-2716.245602190838
91,-2716.245535940261
92,-2716.2454722035436
93,-2716.245410869739
94,-2716.2453518345014
95,-2716.245294999499
96,-2716.245240271901
97,-2716.245187564007
98,-2716.245136792763
99,-2716.2450878794853
100,-2716.245040749487
101,-2716.2449953318046
102,-2716.2449515589415
103,-2716.2449093666346
104,-2716.244868693612
105,-2716.2448294814676
106,-2716.2447916744186
107,-2716.2447552191625
108,-2716.2447200647325
109,-2716.2446861623566
110,-2716.244653465369
111,-2716.244621929039
112,-2716.244591510497
113,-2716.244562168637
114,-2716.244533864027
115,-2716.244506558792
116,-2716.2444802165983
117,-2716.2444548025214
118,-2716.244430283004
119,-2716.2444066258045
120,-2716.2443837998935
121,-2716.2443617754793
122,-2716.244340523829
123,-2716.244320017353
124,-2716.2443002294826
125,-2716.244281134629
126,-2716.2442627081637
127,-2716.2442449263604
128,-2716.2442277663927
129,-2716.2442112062304
130,-2716.244195224689
131,-2716.2441798013424
132,-2716.2441649164903
133,-2716.2441505511533
134,-2716.2441366870603
135,-2716.2441233065765
136,-2716.244110392682
137,-2716.244097929024
138,-2716.244085899781
139,-2716.2440742897115
140,-2716.2440630841484
141,-2716.2440522688976
142,-2716.2440418302967
143,-2716.2440317551786
144,-2716.244022030803
145,-2716.2440126449324
146,-2716.244003585715
147,-2716.2439948417514
148,-2716.243986402033
149,-2716.243978255918
150,-2716.2439703931877
151,-2716.243962803927
152,-2716.2439554786233
153,-2716.243948408045
154,-2716.2439415833305
155,-2716.2439349958927
156,-2716.2439286374656
157,-2716.2439225000935
158,-2716.2439165760466
159,-2716.243910857912
160,-2716.2439053385096
161,-2716.243900010918
162,-2716.2438948684767
163,-2716.2438899047215
164,-2716.2438851134457
165,-2716.243880488643
166,-2716.243876024529
167,-2716.2438717154964
168,-2716.2438675561593
169,-2716.2438635413214
170,-2716.243859665943
171,-2716.2438559251777
172,-2716.2438523143464
173,-2716.2438488289354
174,-2716.2438454645685
175,-2716.243842217068
176,-2716.24383908234
177,-2716.2438360564674
178,-2716.243833135698
179,-2716.243830316345
180,-2716.243827594897
181,-2716.243824967952
182,-2716.2438224322204
183,-2716.243819984543
184,-2716.2438176218598
185,-2716.2438153412036
186,-2716.243813139738
187,-2716.2438110147104
188,-2716.243808963462
189,-2716.243806983427
190,-2716.2438050721507
191,-2716.243803227219
192,-2716.2438014463305
193,-2716.243799727276
194,-2716.243798067908
195,-2716.243796466136
196,-2716.243794919969
197,-2716.2437934274835
198,-2716.2437919868134
199,-2716.243790596144
200,-2716.243789253745
201,-2716.243787957956
202,-2716.243786707153
203,-2716.243785499756
204,-2716.243784334273
205,-2716.2437832092514
206,-2716.243782123271
207,-2716.2437810749966
208,-2716.243780063103
209,-2716.243779086343
