trial_index,trial_time,response_arrow_start_angle,motion_direction,motion_coherence,estimate_x,estimate_y,reaction_time,raw_response_time,prior_std,prior_mean,subject_id,experiment_name,experiment_id,session_id,run_id,original_row_index,original_trial_index,original_block_id,segment_id,shuffled_block_id,shuffle_order,shuffle_seed,x_rad,y_rad,response_direction,p_sensory,p_prior,p_lapse,filtered_prob_sensory,filtered_prob_prior,filtered_prob_lapse,prior_predictive_prob_sensory,prior_predictive_prob_prior,prior_predictive_prob_lapse,most_likely_state,viterbi_state,sensory_emission_likelihood,prior_emission_likelihood,lapse_emission_likelihood,one_step_predictive_likelihood,one_step_predictive_log_likelihood
56,186.442289000028,215.0,225,0.06,-1.79709634495327,-1.73794267079084,1.51433100004215,189.252602000022,10,225,11,data01_direction4priors,12,1,1,70320,56,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,0,20261045,0.0,-0.01673196635193186,224.04132894507939,0.004620808420382782,0.9869393621451081,0.00843982943450913,0.40289782127758794,0.5919944747056493,0.005107704016762748,0.7156912595522353,0.2616397012238266,0.022669039223938082,prior,prior,0.3976461009596909,1.5982382921594005,0.15915494309189535,0.7063623177445748,-0.3476269751914291
172,548.869457999943,57.0,235,0.12,-0.880101434231365,-2.33996185128388,1.70325400005095,551.868741000071,10,225,11,data01_direction4priors,12,1,1,70436,172,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,1,20261045,0.17453292519943275,0.42564781549702513,249.38782338694273,0.0035528001826073802,0.9800493829833663,0.016397816834026382,0.5273534554012608,0.46475765911510347,0.007888885483635782,0.4028596669713929,0.5743851106711196,0.022755222357487545,prior,prior,0.6009434004325255,0.3714573409747375,0.15915494309189535,0.4590770301916274,-0.7785372612338382
142,453.683073000051,210.0,205,0.06,-1.51176483133991,-1.99112206926743,1.11365400010254,456.09270300006,10,225,11,data01_direction4priors,12,1,1,70406,142,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,2,20261045,-0.34906585039886595,0.1360015710483502,232.7923160282191,0.0017560044791811833,0.9937241731104427,0.004519822410376162,0.22276639728547099,0.7736805511138531,0.0035530516006758196,0.5269940177891306,0.45492945130359586,0.01807653090727371,prior,prior,0.3422769874287521,1.377055142553276,0.15915494309189535,0.8097178344662407,-0.21106944451529694
182,578.84794300003,24.0,235,0.06,-0.917330419650773,-2.32561925112073,1.66090400004759,581.804752000025,10,225,11,data01_direction4priors,12,1,1,70446,182,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,3,20261045,0.17453292519943275,0.4096891623388972,248.47345991426886,0.0013026011584812184,0.9838807686416648,0.014816630199853895,0.2146654507948907,0.7735392086227335,0.011795340582375755,0.22319078802272949,0.7472409929607639,0.029568219016506716,prior,prior,0.3837255347186624,0.41300609004641464,0.15915494309189535,0.39896501351832786,-0.9188815513545893
123,395.15367499995,7.0,215,0.12,-1.13049836586761,-2.22979224251289,1.49105099996086,397.94069399999,10,225,11,data01_direction4priors,12,1,1,70387,123,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,4,20261045,-0.17453292519943275,0.31616849667944535,243.1151204747282,0.0008660028318083225,0.9904499345489062,0.008684062619285426,0.1548286228111889,0.837718786690145,0.007452590498666075,0.2151023475932487,0.7548841865269134,0.030013465879838018,prior,prior,0.46135488481710124,0.7112904045011519,0.15915494309189535,0.6409571886381187,-0.4447926126879819
91,295.714513999992,272.0,215,0.06,-1.58611667294927,-1.93241659581787,1.40992400003597,298.420497999992,10,225,11,data01_direction4priors,12,1,1,70355,91,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,5,20261045,-0.17453292519943275,0.0981057072848337,230.62104297356683,0.0005729573826534144,0.995244864273189,0.004182178344157582,0.04650540379111935,0.9494475720209324,0.00404702418794832,0.1554229885290086,0.812364291308887,0.03221272016210452,prior,prior,0.3790529627221061,1.4805800545426984,0.15915494309189535,1.2668107246559317,0.23650250158899025
118,379.690244999947,76.0,225,0.12,-1.54881317654314,-1.96244178108966,1.66648599994369,382.652698999969,10,225,11,data01_direction4priors,12,1,1,70382,118,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,6,20261045,0.0,0.11726037337594875,231.71852449857005,0.0005042335675467755,0.9946764453780205,0.004819321054432769,0.022758228146098305,0.9729602821850015,0.00428148966890015,0.04738038978216523,0.9163511204521743,0.03626848976566083,prior,prior,0.6475816300203893,1.431488619881118,0.15915494309189535,1.3482011802134177,0.2987712448361787
3,6.93072099995334,99.0,235,0.24,-0.0667722137855754,-2.49910813520867,2.33864400000311,10.5653800000437,10,225,11,data01_direction4priors,12,1,1,70267,3,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,7,20261045,0.17453292519943275,0.7586861013346446,268.4695115817098,0.0004965124058468212,0.7419616034265124,0.25754188416764084,0.12947343780409806,0.644227771025895,0.22629879117000695,0.023693754058623156,0.9391322415980798,0.03717400434329708,prior,prior,0.14286440815614718,0.01793452729929471,0.15915494309189535,0.026144313520926422,-3.64412356829695
179,569.93337600003,98.0,235,0.06,-1.07426092649344,-2.25742407664344,1.88754400005564,573.116760000004,10,225,11,data01_direction4priors,12,1,1,70443,179,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,8,20261045,0.17453292519943275,0.3412328088147003,244.55119977647684,0.00025794423711031063,0.9887325275837106,0.011009528179179153,0.08814119529032138,0.9016772234896133,0.010181581220065327,0.12991428076860478,0.8332546693686752,0.03683104986272004,prior,prior,0.3906079179130003,0.6230061639737781,0.15915494309189535,0.5757301855397227,-0.5521161559152858
26,87.4424029999645,28.0,225,0.06,-1.3757229319683,-2.08743536773155,2.30616300005931,91.0445700000273,10,225,11,data01_direction4priors,12,1,1,70290,26,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,9,20261045,0.0,0.20268763959825709,236.61314630844885,0.00010282410245580606,0.9944911725249289,0.005406003372615312,0.03298349494759325,0.9617119508912177,0.005304554161189107,0.08890350431813013,0.8763062989499345,0.034790196731935605,prior,prior,0.3872629238430678,1.1455583300065155,0.15915494309189535,1.0438260432024382,0.04289285029189105
65,217.059677000041,23.0,235,0.06,-1.91591060699131,-1.60601573654126,1.48910899995826,219.844711999991,10,225,11,data01_direction4priors,12,1,1,70329,65,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,10,20261045,0.17453292519943275,-0.08776413018104634,219.9714857479893,4.903428095172724e-05,0.9958250172987678,0.004125948420280516,0.009101967406779156,0.9867628234234503,0.0041352091697704155,0.03389183125860542,0.9293052927366177,0.036802876004777045,prior,prior,0.3804036264137005,1.504037886574898,0.15915494309189535,1.4164603036231824,0.348161015626903
17,58.5420180000365,310.0,225,0.12,-1.02867728368927,-2.27855722904246,1.87053700012621,61.7086550000822,10,225,11,data01_direction4priors,12,1,1,70281,17,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,11,20261045,0.0,0.3613308230426808,245.70273116833403,3.799173992911424e-05,0.9889242715772141,0.01103773668285678,0.010107047363787989,0.9788088239835725,0.01108412865263942,0.010072588498114462,0.9522373697697616,0.03769004173212407,prior,prior,0.5430357242396293,0.5562856370483599,0.15915494309189535,0.5411843037006752,-0.6139953858764636
160,508.848223999958,145.0,205,0.06,-1.96430214368845,-1.54645306695709,2.49237800005358,512.636664999998,10,225,11,data01_direction4priors,12,1,1,70424,160,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,12,20261045,-0.34906585039886595,-0.11846244274796369,218.2126019997315,2.3554290648912227e-05,0.9956290548156236,0.0043473908937274935,0.0031073000806070656,0.9925009577964438,0.00439174212294917,0.011068161118734118,0.9511638794448519,0.03776795943641405,prior,prior,0.38425059210563856,1.4281782229482818,0.15915494309189535,1.368695443976336,0.31385805550618245
87,283.126187999966,79.0,235,0.06,-2.17177578560142,-1.23830123034557,2.25450599996839,286.67667700001,10,225,11,data01_direction4priors,12,1,1,70351,87,s11_session001_run001,s11_session001_run001_segment01,s11_session001_run001_segment01,13,20261045,0.17453292519943275,-0.2671944418846337,209.6908861706569,2.4440460386802154e-05,0.9930806238009885,0.006894935738624639,0.0016596909696860607,0.9913681180731064,0.0069721909572075455,0.004093006738500977,0.9579850695661698,0.03792192369532944,prior,prior,0.35101525390354443,0.8958131348134081,0.15915494309189535,0.8656477776797206,-0.14427717638760937
