from_state,sensory,prior,lapse
sensory,0.8606268887457159,0.019476335924556512,0.11989677532972758
prior,0.01771604622765253,0.9822839523861893,1.3861581710190214e-09
lapse,0.4453695481175667,5.134713588985e-09,0.5546304467477199
