motion_coherence,prior_std,conflict_bin,n,p_sensory,p_prior,p_lapse,mean_conflict_deg
0.06,10,near (<30 deg),8132,0.24902560128927015,0.7215534135342282,0.029420985176501584,7.102803738317757
0.06,20,medium (30-60 deg),1644,0.32832688992798686,0.6380300700970641,0.03364303997494902,34.805352798053526
0.06,20,near (<30 deg),6527,0.32288638527382413,0.6410912479087423,0.036022366817433406,10.461161329860579
0.06,40,far (>=60 deg),1092,0.6524999181471014,0.2733079155747878,0.07419216627811073,70.0
0.06,40,medium (30-60 deg),2870,0.6448524279779154,0.28686953360946366,0.06827803841262091,38.041811846689896
0.06,40,near (<30 deg),3822,0.6311133674839942,0.3011483532556712,0.0677382792603346,11.428571428571429
0.06,80,far (>=60 deg),7861,0.7446254571357263,0.1320793656014638,0.12329517726280982,99.34741127083068
0.06,80,medium (30-60 deg),4450,0.7554709815459352,0.13531422473711818,0.10921479371694656,39.5438202247191
0.06,80,near (<30 deg),4352,0.7572343927295053,0.1343623656761625,0.1084032415943321,11.433823529411764
0.12,10,near (<30 deg),5596,0.25231003030579147,0.7119301915601344,0.0357597781340741,7.062187276626162
0.12,20,medium (30-60 deg),1264,0.3752110403621501,0.5823461837947839,0.04244277584306591,35.0
0.12,20,near (<30 deg),4661,0.3362556961969396,0.6232298574197135,0.04051444638334687,10.508474576271187
0.12,40,far (>=60 deg),842,0.6970042669421719,0.2317602089886089,0.07123552406921914,71.85273159144893
0.12,40,medium (30-60 deg),2090,0.6583347590866028,0.271518166422179,0.07014707449121815,37.760765550239235
0.12,40,near (<30 deg),2871,0.658680338513726,0.26875142936442087,0.07256823212185308,11.738070358760014
0.12,80,far (>=60 deg),5571,0.7674992114592891,0.11767417616239352,0.11482661237831736,100.03590019745108
0.12,80,medium (30-60 deg),2908,0.7537613180433665,0.13357159918715825,0.11266708276947518,39.58390646492435
0.12,80,near (<30 deg),3110,0.761934357631598,0.1317307699642181,0.10633487240418382,11.990353697749196
0.24,10,near (<30 deg),2844,0.27751777715793274,0.6939157498170525,0.02856647302501472,7.0886075949367084
0.24,20,medium (30-60 deg),474,0.48330176827909954,0.47776059778867014,0.038937633932230195,33.333333333333336
0.24,20,near (<30 deg),1898,0.3531926559105919,0.6255325694489069,0.021274774640501107,10.168598524762908
0.24,40,far (>=60 deg),312,0.8436190760542573,0.10061968967292104,0.05576123427282149,65.0
0.24,40,medium (30-60 deg),842,0.7568641182090016,0.19285148684421718,0.050284394946781164,38.88361045130641
0.24,40,near (<30 deg),1170,0.6919475065983828,0.26795129182781346,0.04010120157380363,12.0
0.24,80,far (>=60 deg),2721,0.8680069470876938,0.05826044955633248,0.07373260335597373,100.44836457184859
0.24,80,medium (30-60 deg),1737,0.822483101821557,0.10148397137152985,0.076032926806913,39.30915371329879
0.24,80,near (<30 deg),1549,0.8221515350526535,0.11862450639262638,0.059223958554720055,11.98192382182053
