model,folds,mean_test_ll_per_trial,se_test_ll_per_trial,mean_test_ll,delta_from_best_per_trial,model_label
Covariate_HMM,4,-0.8133287026433365,0.0111609011082724,-16919.55661266289,0.0,Covariate HMM
HMM_static,4,-0.8431713184797638,0.0098129181154653,-17540.174345942156,-0.0298426158364273,Static HMM
Serial_both_independent_switching,4,-0.9051308527766548,0.0165073507775281,-18829.37338774235,-0.0918021501333183,Serial stimulus + response
Serial_resp_independent_switching,4,-0.905200269704148,0.0164697123751812,-18830.8177189708,-0.0918715670608115,Serial response
Independent_switching,4,-0.9052677071974332,0.0164063144139976,-18832.22113211033,-0.0919390045540967,Independent Switching
Serial_stim_independent_switching,4,-0.9052819924049156,0.0164644783201726,-18832.519477557194,-0.0919532897615791,Serial stimulus
