model,train_ll,converged,n_iter,seed,n_trials,n_parameters,aic,bic,alpha_stim,alpha_resp,avg_A_SS,avg_A_PP,avg_A_LL
HMM_static,-70104.52481440043,True,30,9022,83210,15,140239.04962880086,140378.9864709793,,,,,
Independent_switching,-75044.95049397045,True,66,10018,83210,9,150107.9009879409,150191.86309324796,,,,,
Serial_stim_independent_switching,-75044.44426878435,True,40,11011,83210,10,150108.8885375687,150202.17976568764,-0.0007997247757846,0.0,,,
Serial_resp_independent_switching,-75034.28048757953,True,38,11011,83210,10,150088.56097515905,150181.852203278,0.0,0.0076726559627293,,,
Serial_both_independent_switching,-75028.82837262854,True,61,11007,83210,11,150079.6567452571,150182.27709618793,-0.0068816153241637,0.0110964616976235,,,
Covariate_HMM,-67559.90205798428,True,47,12005,83210,51,135221.80411596855,135697.58937937516,,,0.842677228258593,0.7766682489021678,0.7783987739349834
