motion_coherence,prior_std,mean_signed_error_deg,n,mean_abs_error_deg,median_abs_error_deg,mean_cos_error,circular_std_error_deg,prior_like_rate
0.06,10.0,0.617292150638674,8132,19.78305858179176,12.861674377613218,0.8837303949495535,28.480694942408356,0.38108706345302507
0.06,20.0,2.3930291921908506,8171,26.780517331085093,18.954722722361637,0.8233521674212599,35.64320661308584,0.49638967078692936
0.06,40.0,2.3557457388340772,7784,40.37743777582815,30.206194653197187,0.6651406403597429,51.68773485772823,0.4975590955806783
0.06,80.0,1.9201767605169655,16663,54.08415620729752,38.886853691551146,0.4810137830630909,69.29226004279914,0.41625157534657625
0.12,10.0,0.4493451511032329,5596,16.965770271008903,11.376982860153666,0.9132968626470929,24.39798634878012,0.34560400285918513
0.12,20.0,2.185432671126274,5925,21.570142951466824,15.70667950089295,0.8803761262586777,28.839581883931594,0.43139240506329113
0.12,40.0,0.4111724738083876,5803,28.01698857355563,19.539354778799805,0.8084907167022743,37.357580443517826,0.3718766155436843
0.12,80.0,-0.14605259431299253,11589,33.42721879111152,20.461614916591707,0.7344171742454235,45.018209912383746,0.2679264820088014
0.24,10.0,0.9482778146799794,2844,11.734827655628731,8.694834503215873,0.9598991742123408,16.36495449753874,0.26582278481012656
0.24,20.0,0.5786990778820521,2372,12.754857900805986,9.556152579923884,0.9545839025955574,17.45946897090846,0.28836424957841483
0.24,40.0,-0.03999557008583352,2324,15.216576994046912,11.036410917128759,0.9337800444112886,21.209365815803658,0.2284853700516351
0.24,80.0,-0.8112651879110139,6007,16.947340019970333,11.565922137524819,0.9125315356746455,24.501217402519877,0.14599633760612618
