covariate,previous_state,next_state,prob_at_minus_1sd,prob_at_plus_1sd,delta_plus_minus,ci_low,ci_high,bootstrap_mean,bootstrap_sd,p_effect_le_0,p_two_sided,n_sequences,method,is_stay,effect_label
prev_error,S_sensory,L_lapse,0.0214573063123991,0.030027746237691,0.0085704399252919,0.0064016109436462,0.0110703464760693,0.0086068274309402,0.0012210315111266,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev error -> S sensory
prev_error,P_prior,S_sensory,0.07644518428536,0.1375004050143959,0.0610552207290359,0.0506681277072952,0.0718735005718638,0.0607991043251171,0.0055860860975553,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev error -> P prior
prev_error,P_prior,P_prior,0.9196378268242448,0.8469629148225466,-0.072674912001698,-0.0846502292843963,-0.0612757647024778,-0.0724258733495609,0.0061445831035499,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap,True,prev error -> P prior
prev_error,P_prior,L_lapse,0.0039169888903951,0.0155366801630572,0.0116196912726621,0.0094465082837338,0.0142138797001293,0.0116267690244438,0.0012478993923445,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev error -> P prior
prev_error,L_lapse,S_sensory,0.0789637136173919,0.1594213998324051,0.0804576862150131,0.070931518173479,0.0903921162056114,0.0802965547766562,0.0049301902489027,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev error -> L lapse
prev_error,L_lapse,P_prior,0.0101354485047942,0.0240648944488021,0.0139294459440078,0.01113131740946,0.0173840014301075,0.0139881922958425,0.0015870113056683,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev error -> L lapse
prev_error,L_lapse,L_lapse,0.910900837877814,0.8165137057187928,-0.0943871321590211,-0.10727089822963,-0.0823793559990161,-0.0942847470724987,0.0061560663065491,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap,True,prev error -> L lapse
prev_conflict,S_sensory,S_sensory,0.9188470301303016,0.9346272074891256,0.0157801773588239,0.0122585158097631,0.0194304995948045,0.0157075077147938,0.0018726562406686,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,True,prev conflict -> S sensory
prev_conflict,S_sensory,P_prior,0.0579187574387743,0.0372366157818081,-0.0206821416569661,-0.023761592898022,-0.0177955382197294,-0.0206720414633364,0.0016036606901838,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev conflict -> S sensory
prev_conflict,S_sensory,L_lapse,0.023234212430924,0.0281361767290661,0.004901964298142,0.0035291089195501,0.0066687522806556,0.0049645337485426,0.0007963551925069,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev conflict -> S sensory
prev_conflict,P_prior,S_sensory,0.0945235625626614,0.1126975795563796,0.0181740169937181,0.0041687634481192,0.0320394259279402,0.0183768808826314,0.0068708004393831,0.007,0.014,388,conditional sequence-cluster multiplier bootstrap,False,prev conflict -> P prior
prev_conflict,P_prior,P_prior,0.8981351754132211,0.8789012382912659,-0.0192339371219552,-0.0333829729176131,-0.0038440204715882,-0.0194929385497476,0.0072933561545683,0.992,0.016,388,conditional sequence-cluster multiplier bootstrap,True,prev conflict -> P prior
prev_conflict,P_prior,L_lapse,0.0073412620241174,0.0084011821523545,0.0010599201282371,-0.0006061631724611,0.0029693994382357,0.0011160576671161,0.000895875437938,0.104,0.208,388,conditional sequence-cluster multiplier bootstrap,False,prev conflict -> P prior
prev_conflict,L_lapse,S_sensory,0.1255142328610511,0.1021437307008186,-0.0233705021602325,-0.0310337432883081,-0.0164438492409406,-0.0235015290191759,0.0036762535182691,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev conflict -> L lapse
prev_conflict,L_lapse,P_prior,0.0151354713300479,0.0164119993807452,0.0012765280506973,-0.0006892518801443,0.0034178657971848,0.001298680806143,0.0010465889393009,0.105,0.21,388,conditional sequence-cluster multiplier bootstrap,False,prev conflict -> L lapse
prev_conflict,L_lapse,L_lapse,0.859350295808901,0.8814442699184363,0.0220939741095352,0.0145920794078137,0.0306088019180372,0.0222028482130328,0.004090481899416,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,True,prev conflict -> L lapse
prev_coherence,S_sensory,S_sensory,0.9480059928171694,0.9008144792930056,-0.0471915135241637,-0.0510008525539935,-0.0436936530282278,-0.047283860121019,0.0018715901665229,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap,True,prev coherence -> S sensory
prev_coherence,S_sensory,P_prior,0.0338520217110408,0.0633533573159138,0.029501335604873,0.0267988202881851,0.0322712850313986,0.0295022400660388,0.0013969151560654,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev coherence -> S sensory
prev_coherence,S_sensory,L_lapse,0.0181419854717899,0.0358321633910805,0.0176901779192906,0.0145568699061051,0.0214313786573656,0.0177816200549802,0.0017597153063258,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev coherence -> S sensory
prev_coherence,P_prior,S_sensory,0.202670049277047,0.0495429388391562,-0.1531271104378907,-0.1628171332514636,-0.1439596991163383,-0.1530749297034313,0.0048713077577067,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev coherence -> P prior
prev_coherence,P_prior,P_prior,0.7879844078594811,0.9442365902972252,0.156252182437744,0.1467888103922397,0.1663246340839601,0.1561803579074055,0.0049353287506138,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,True,prev coherence -> P prior
prev_coherence,P_prior,L_lapse,0.0093455428634716,0.0062204708636184,-0.0031250719998531,-0.0043701600745492,-0.0019052737574661,-0.0031054282039742,0.0006425944446549,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev coherence -> P prior
prev_coherence,L_lapse,S_sensory,0.174737146062208,0.0715908561256553,-0.1031462899365527,-0.1164359034679177,-0.0889978745717837,-0.1029783425425335,0.0070284100830137,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap,False,prev coherence -> L lapse
prev_coherence,L_lapse,P_prior,0.0157616477946914,0.0153777899764477,-0.0003838578182437,-0.0030486511136594,0.0025831055243124,-0.0003647558562845,0.0014540206714528,0.618,0.764,388,conditional sequence-cluster multiplier bootstrap,False,prev coherence -> L lapse
prev_coherence,L_lapse,L_lapse,0.8095012061431004,0.9130313538978972,0.1035301477547967,0.0889741088660781,0.1174311000775958,0.103343098398818,0.0072320427783889,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap,True,prev coherence -> L lapse
