model,motion_coherence,prior_std,condition,metric,observed,simulated_mean,simulated_ci_low,simulated_ci_high,observed_minus_simulated,n_simulations
HMM_static,0.0599999999999999,10,0.06/10,mean_abs_error_deg,17.737253659477233,31.30612025402673,29.836146199196065,32.62848379872743,-13.5688665945495,100
HMM_static,0.0599999999999999,10,0.06/10,median_abs_error_deg,12.374004222986144,19.956105838244305,18.715827170847525,21.134056130889324,-7.582101615258158,100
HMM_static,0.0599999999999999,10,0.06/10,mean_cos_error,0.9095530669678163,0.7617794968376917,0.7468155631153706,0.7776757128716248,0.1477735701301246,100
HMM_static,0.0599999999999999,10,0.06/10,circular_std_error_deg,24.932898047588523,42.26048034510381,40.6282828404012,43.77783207928718,-17.327582297515285,100
HMM_static,0.0599999999999999,10,0.06/10,prior_like_rate,0.3830645161290322,0.3245290773542254,0.3160083765943315,0.3352680895315639,0.0585354387748067,100
HMM_static,0.0599999999999999,20,0.06/20,mean_abs_error_deg,24.604137814291672,34.500949933830746,33.478447521771095,35.58062162144486,-9.896812119539074,100
HMM_static,0.0599999999999999,20,0.06/20,median_abs_error_deg,18.62301713984635,25.52558660382841,24.542175953673617,26.42257410127185,-6.902569463982065,100
HMM_static,0.0599999999999999,20,0.06/20,mean_cos_error,0.8521275565822592,0.738025766862458,0.7244627310522174,0.7502265075917754,0.1141017897198013,100
HMM_static,0.0599999999999999,20,0.06/20,circular_std_error_deg,32.30092817623947,44.65496150526574,43.435952088853135,46.00117712501412,-12.354033329026263,100
HMM_static,0.0599999999999999,20,0.06/20,prior_like_rate,0.4992458521870286,0.4287939589833078,0.416482436433849,0.4421952448676724,0.0704518932037208,100
HMM_static,0.0599999999999999,40,0.06/40,mean_abs_error_deg,37.29887298986673,39.96061543019054,38.99144134389465,40.841500289613,-2.661742440323813,100
HMM_static,0.0599999999999999,40,0.06/40,median_abs_error_deg,28.87895702643309,32.14833375132147,31.349444556441764,33.20451383294141,-3.2693767248883847,100
HMM_static,0.0599999999999999,40,0.06/40,mean_cos_error,0.7067464638323636,0.6787000496085575,0.6668358516347601,0.6912089718735484,0.0280464142238059,100
HMM_static,0.0599999999999999,40,0.06/40,circular_std_error_deg,47.67006392477964,50.44089393758768,49.24162987095696,51.5774795386924,-2.770830012808041,100
HMM_static,0.0599999999999999,40,0.06/40,prior_like_rate,0.4976469006319752,0.4618964096979811,0.444249001797258,0.4769375823961074,0.0357504909339941,100
HMM_static,0.0599999999999999,80,0.06/80,mean_abs_error_deg,49.46259114680988,52.77259441987297,51.82483591601069,53.529285341088254,-3.310003273063096,100
HMM_static,0.0599999999999999,80,0.06/80,median_abs_error_deg,35.86364854389281,41.6274769024273,40.52437793107895,42.470683655756766,-5.7638283585344965,100
HMM_static,0.0599999999999999,80,0.06/80,mean_cos_error,0.5433956879999766,0.5058188729992678,0.4964265029685642,0.5183678495714305,0.0375768150007088,100
HMM_static,0.0599999999999999,80,0.06/80,circular_std_error_deg,63.24709568582363,66.89395282507381,65.68024512212752,67.8080954169355,-3.64685713925018,100
HMM_static,0.0599999999999999,80,0.06/80,prior_like_rate,0.4031088082901553,0.4454379711317776,0.431342090048885,0.4575248735257985,-0.0423291628416223,100
HMM_static,0.12,10,0.12/10,mean_abs_error_deg,14.292706940043937,18.241542927935875,17.634752754310068,18.79132679502463,-3.9488359878919375,100
HMM_static,0.12,10,0.12/10,median_abs_error_deg,10.718524498570124,14.464738096195202,13.804288347790711,15.13381235008765,-3.746213597625077,100
HMM_static,0.12,10,0.12/10,mean_cos_error,0.9469468906142016,0.9186396732760356,0.9141951041887288,0.9234622099610218,0.0283072173381661,100
HMM_static,0.12,10,0.12/10,circular_std_error_deg,18.893355319663595,23.599589168026338,22.86436746826832,24.268243042381304,-4.706233848362743,100
