motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,count,proportion
0.06,40.0,prior,-135.0,-120.0,-127.5,59,0.007579650565262076
0.06,40.0,prior,-120.0,-105.0,-112.5,95,0.012204522096608427
0.06,40.0,prior,-105.0,-90.0,-97.5,143,0.018371017471736896
0.06,40.0,prior,-90.0,-75.0,-82.5,205,0.026336073997944503
0.06,40.0,prior,-75.0,-60.0,-67.5,247,0.03173175745118191
0.06,40.0,prior,-60.0,-45.0,-52.5,277,0.0355858170606372
0.06,40.0,prior,-45.0,-30.0,-37.5,384,0.04933196300102775
0.06,40.0,prior,-30.0,-15.0,-22.5,740,0.09506680369989723
0.06,40.0,prior,-15.0,0.0,-7.5,1556,0.1998972250770812
0.06,40.0,prior,0.0,15.0,7.5,1266,0.16264131551901337
0.06,40.0,prior,15.0,30.0,22.5,756,0.09712230215827339
0.06,40.0,prior,30.0,45.0,37.5,581,0.07464028776978417
0.06,40.0,prior,45.0,60.0,52.5,466,0.05986639260020555
0.06,40.0,prior,60.0,75.0,67.5,310,0.039825282631038024
0.06,40.0,prior,75.0,90.0,82.5,236,0.030318602261048305
0.06,40.0,prior,90.0,105.0,97.5,109,0.014003083247687564
0.06,40.0,prior,105.0,120.0,112.5,69,0.008864337101747173
0.06,40.0,prior,120.0,135.0,127.5,33,0.0042394655704008225
0.06,40.0,prior,135.0,150.0,142.5,36,0.0046248715313463515
0.06,40.0,prior,150.0,165.0,157.5,46,0.005909558067831449
0.06,40.0,prior,165.0,180.0,172.5,42,0.00539568345323741
0.06,80.0,stimulus,-180.0,-165.0,-172.5,269,0.016143551581347896
0.06,80.0,stimulus,-165.0,-150.0,-157.5,232,0.013923063073876253
0.06,80.0,stimulus,-150.0,-135.0,-142.5,240,0.014403168697113364
0.06,80.0,stimulus,-135.0,-120.0,-127.5,279,0.016743683610394286
0.06,80.0,stimulus,-120.0,-105.0,-112.5,278,0.016683670407489647
0.06,80.0,stimulus,-105.0,-90.0,-97.5,341,0.020464502190481907
0.06,80.0,stimulus,-90.0,-75.0,-82.5,507,0.030426693872651983
0.06,80.0,stimulus,-75.0,-60.0,-67.5,585,0.035107723699213826
0.06,80.0,stimulus,-60.0,-45.0,-52.5,875,0.05251155254155914
0.06,80.0,stimulus,-45.0,-30.0,-37.5,1154,0.06925523615195343
0.06,80.0,stimulus,-30.0,-15.0,-22.5,1550,0.09302046450219048
0.06,80.0,stimulus,-15.0,0.0,-7.5,1830,0.1098241613154894
0.06,80.0,stimulus,0.0,15.0,7.5,1896,0.11378503270719559
0.06,80.0,stimulus,15.0,30.0,22.5,1558,0.09350057012542759
0.06,80.0,stimulus,30.0,45.0,37.5,1218,0.07309608113785032
0.06,80.0,stimulus,45.0,60.0,52.5,833,0.0499909980195643
0.06,80.0,stimulus,60.0,75.0,67.5,659,0.039548700714157115
0.06,80.0,stimulus,75.0,90.0,82.5,484,0.029046390205845287
0.06,80.0,stimulus,90.0,105.0,97.5,422,0.025325571625757666
0.06,80.0,stimulus,105.0,120.0,112.5,325,0.01950429094400768
0.06,80.0,stimulus,120.0,135.0,127.5,325,0.01950429094400768
0.06,80.0,stimulus,135.0,150.0,142.5,255,0.01530336674068295
0.06,80.0,stimulus,150.0,165.0,157.5,265,0.01590349876972934
0.06,80.0,stimulus,165.0,180.0,172.5,283,0.016983736422012844
0.06,80.0,prior,-180.0,-165.0,-172.5,405,0.024305347176378802
0.06,80.0,prior,-165.0,-150.0,-157.5,352,0.021124647422432936
0.06,80.0,prior,-150.0,-135.0,-142.5,407,0.024425373582188083
0.06,80.0,prior,-135.0,-120.0,-127.5,426,0.025565624437376224
0.06,80.0,prior,-120.0,-105.0,-112.5,554,0.03324731440917002
0.06,80.0,prior,-105.0,-90.0,-97.5,604,0.03624797455440197
0.06,80.0,prior,-90.0,-75.0,-82.5,613,0.03678809338054372
0.06,80.0,prior,-75.0,-60.0,-67.5,632,0.03792834423573186
0.06,80.0,prior,-60.0,-45.0,-52.5,550,0.03300726159755146
0.06,80.0,prior,-45.0,-30.0,-37.5,663,0.03978875352577567
0.06,80.0,prior,-30.0,-15.0,-22.5,1077,0.06463421952829622
0.06,80.0,prior,-15.0,0.0,-7.5,2036,0.12218688111384504
0.06,80.0,prior,0.0,15.0,7.5,1630,0.0978215207345616
0.06,80.0,prior,15.0,30.0,22.5,1107,0.0664346156154354
0.06,80.0,prior,30.0,45.0,37.5,883,0.05299165816479626
0.06,80.0,prior,45.0,60.0,52.5,790,0.047410430294664824
0.06,80.0,prior,60.0,75.0,67.5,788,0.047290403888855546
0.06,80.0,prior,75.0,90.0,82.5,802,0.048130588729520495
0.06,80.0,prior,90.0,105.0,97.5,590,0.03540778971373702
0.06,80.0,prior,105.0,120.0,112.5,422,0.025325571625757666
0.06,80.0,prior,120.0,135.0,127.5,307,0.01842405329172418
0.06,80.0,prior,135.0,150.0,142.5,318,0.019084198523675207
0.06,80.0,prior,150.0,165.0,157.5,341,0.020464502190481907
0.06,80.0,prior,165.0,180.0,172.5,366,0.02196483226309788
