motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,count,proportion
0.12,80.0,prior,30.0,45.0,37.5,654,0.056432824229873155
0.12,80.0,prior,45.0,60.0,52.5,525,0.04530157908361377
0.12,80.0,prior,60.0,75.0,67.5,560,0.04832168435585469
0.12,80.0,prior,75.0,90.0,82.5,627,0.054103028734144444
0.12,80.0,prior,90.0,105.0,97.5,450,0.03882992492881181
0.12,80.0,prior,105.0,120.0,112.5,251,0.021658469238070584
0.12,80.0,prior,120.0,135.0,127.5,232,0.020018983518854085
0.12,80.0,prior,135.0,150.0,142.5,204,0.01760289930106135
0.12,80.0,prior,150.0,165.0,157.5,216,0.018638363965829668
0.12,80.0,prior,165.0,180.0,172.5,224,0.019328673742341877
0.24,10.0,stimulus,-180.0,-165.0,-172.5,0,0.0
0.24,10.0,stimulus,-165.0,-150.0,-157.5,2,0.0007032348804500703
0.24,10.0,stimulus,-150.0,-135.0,-142.5,0,0.0
0.24,10.0,stimulus,-135.0,-120.0,-127.5,0,0.0
0.24,10.0,stimulus,-120.0,-105.0,-112.5,1,0.00035161744022503517
0.24,10.0,stimulus,-105.0,-90.0,-97.5,4,0.0014064697609001407
0.24,10.0,stimulus,-90.0,-75.0,-82.5,4,0.0014064697609001407
0.24,10.0,stimulus,-75.0,-60.0,-67.5,6,0.002109704641350211
0.24,10.0,stimulus,-60.0,-45.0,-52.5,13,0.004571026722925457
0.24,10.0,stimulus,-45.0,-30.0,-37.5,50,0.017580872011251757
0.24,10.0,stimulus,-30.0,-15.0,-22.5,268,0.09423347398030943
0.24,10.0,stimulus,-15.0,0.0,-7.5,1005,0.35337552742616035
0.24,10.0,stimulus,0.0,15.0,7.5,1076,0.37834036568213786
0.24,10.0,stimulus,15.0,30.0,22.5,335,0.11779184247538678
0.24,10.0,stimulus,30.0,45.0,37.5,62,0.02180028129395218
0.24,10.0,stimulus,45.0,60.0,52.5,12,0.004219409282700422
0.24,10.0,stimulus,60.0,75.0,67.5,1,0.00035161744022503517
0.24,10.0,stimulus,75.0,90.0,82.5,2,0.0007032348804500703
0.24,10.0,stimulus,90.0,105.0,97.5,1,0.00035161744022503517
0.24,10.0,stimulus,105.0,120.0,112.5,1,0.00035161744022503517
0.24,10.0,stimulus,120.0,135.0,127.5,0,0.0
0.24,10.0,stimulus,135.0,150.0,142.5,0,0.0
0.24,10.0,stimulus,150.0,165.0,157.5,1,0.00035161744022503517
0.24,10.0,stimulus,165.0,180.0,172.5,0,0.0
0.24,10.0,prior,-180.0,-165.0,-172.5,0,0.0
0.24,10.0,prior,-165.0,-150.0,-157.5,1,0.00035161744022503517
0.24,10.0,prior,-150.0,-135.0,-142.5,1,0.00035161744022503517
0.24,10.0,prior,-135.0,-120.0,-127.5,1,0.00035161744022503517
0.24,10.0,prior,-120.0,-105.0,-112.5,0,0.0
0.24,10.0,prior,-105.0,-90.0,-97.5,6,0.002109704641350211
0.24,10.0,prior,-90.0,-75.0,-82.5,3,0.0010548523206751054
0.24,10.0,prior,-75.0,-60.0,-67.5,11,0.003867791842475387
0.24,10.0,prior,-60.0,-45.0,-52.5,18,0.006329113924050633
0.24,10.0,prior,-45.0,-30.0,-37.5,55,0.019338959212376935
0.24,10.0,prior,-30.0,-15.0,-22.5,259,0.09106891701828411
0.24,10.0,prior,-15.0,0.0,-7.5,1037,0.3646272855133615
0.24,10.0,prior,0.0,15.0,7.5,996,0.350210970464135
0.24,10.0,prior,15.0,30.0,22.5,328,0.11533052039381153
0.24,10.0,prior,30.0,45.0,37.5,97,0.03410689170182841
0.24,10.0,prior,45.0,60.0,52.5,23,0.00808720112517581
0.24,10.0,prior,60.0,75.0,67.5,4,0.0014064697609001407
0.24,10.0,prior,75.0,90.0,82.5,1,0.00035161744022503517
0.24,10.0,prior,90.0,105.0,97.5,0,0.0
0.24,10.0,prior,105.0,120.0,112.5,2,0.0007032348804500703
0.24,10.0,prior,120.0,135.0,127.5,0,0.0
0.24,10.0,prior,135.0,150.0,142.5,0,0.0
0.24,10.0,prior,150.0,165.0,157.5,0,0.0
0.24,10.0,prior,165.0,180.0,172.5,1,0.00035161744022503517
0.24,20.0,stimulus,-180.0,-165.0,-172.5,1,0.00042158516020236085
0.24,20.0,stimulus,-165.0,-150.0,-157.5,1,0.00042158516020236085
0.24,20.0,stimulus,-150.0,-135.0,-142.5,0,0.0
0.24,20.0,stimulus,-135.0,-120.0,-127.5,1,0.00042158516020236085
0.24,20.0,stimulus,-120.0,-105.0,-112.5,2,0.0008431703204047217
0.24,20.0,stimulus,-105.0,-90.0,-97.5,0,0.0
0.24,20.0,stimulus,-90.0,-75.0,-82.5,1,0.00042158516020236085
0.24,20.0,stimulus,-75.0,-60.0,-67.5,6,0.002529510961214165
0.24,20.0,stimulus,-60.0,-45.0,-52.5,11,0.00463743676222597
0.24,20.0,stimulus,-45.0,-30.0,-37.5,75,0.031618887015177066
0.24,20.0,stimulus,-30.0,-15.0,-22.5,252,0.10623946037099494
0.24,20.0,stimulus,-15.0,0.0,-7.5,746,0.3145025295109612
0.24,20.0,stimulus,0.0,15.0,7.5,919,0.3874367622259696
0.24,20.0,stimulus,15.0,30.0,22.5,286,0.1205733558178752
0.24,20.0,stimulus,30.0,45.0,37.5,53,0.022344013490725127
0.24,20.0,stimulus,45.0,60.0,52.5,9,0.0037942664418212477
0.24,20.0,stimulus,60.0,75.0,67.5,3,0.0012647554806070826
0.24,20.0,stimulus,75.0,90.0,82.5,2,0.0008431703204047217
0.24,20.0,stimulus,90.0,105.0,97.5,0,0.0
0.24,20.0,stimulus,105.0,120.0,112.5,2,0.0008431703204047217
0.24,20.0,stimulus,120.0,135.0,127.5,0,0.0
0.24,20.0,stimulus,135.0,150.0,142.5,0,0.0
0.24,20.0,stimulus,150.0,165.0,157.5,1,0.00042158516020236085
0.24,20.0,stimulus,165.0,180.0,172.5,1,0.00042158516020236085
0.24,20.0,prior,-180.0,-165.0,-172.5,1,0.00042158516020236085
0.24,20.0,prior,-165.0,-150.0,-157.5,1,0.00042158516020236085
0.24,20.0,prior,-150.0,-135.0,-142.5,0,0.0
0.24,20.0,prior,-135.0,-120.0,-127.5,0,0.0
0.24,20.0,prior,-120.0,-105.0,-112.5,1,0.00042158516020236085
0.24,20.0,prior,-105.0,-90.0,-97.5,1,0.00042158516020236085
0.24,20.0,prior,-90.0,-75.0,-82.5,5,0.0021079258010118043
0.24,20.0,prior,-75.0,-60.0,-67.5,16,0.006745362563237774
0.24,20.0,prior,-60.0,-45.0,-52.5,47,0.01981450252951096
0.24,20.0,prior,-45.0,-30.0,-37.5,135,0.05691399662731872
0.24,20.0,prior,-30.0,-15.0,-22.5,301,0.12689713322091062
0.24,20.0,prior,-15.0,0.0,-7.5,679,0.286256323777403
0.24,20.0,prior,0.0,15.0,7.5,633,0.2668634064080944
0.24,20.0,prior,15.0,30.0,22.5,302,0.12731871838111297
0.24,20.0,prior,30.0,45.0,37.5,188,0.07925801011804384
0.24,20.0,prior,45.0,60.0,52.5,48,0.02023608768971332
0.24,20.0,prior,60.0,75.0,67.5,7,0.002951096121416526
0.24,20.0,prior,75.0,90.0,82.5,2,0.0008431703204047217
0.24,20.0,prior,90.0,105.0,97.5,2,0.0008431703204047217
0.24,20.0,prior,105.0,120.0,112.5,1,0.00042158516020236085
0.24,20.0,prior,120.0,135.0,127.5,1,0.00042158516020236085
0.24,20.0,prior,135.0,150.0,142.5,1,0.00042158516020236085
0.24,20.0,prior,150.0,165.0,157.5,0,0.0
0.24,20.0,prior,165.0,180.0,172.5,0,0.0
0.24,40.0,stimulus,-180.0,-165.0,-172.5,3,0.0012908777969018934
0.24,40.0,stimulus,-165.0,-150.0,-157.5,0,0.0
0.24,40.0,stimulus,-150.0,-135.0,-142.5,4,0.0017211703958691911
0.24,40.0,stimulus,-135.0,-120.0,-127.5,0,0.0
0.24,40.0,stimulus,-120.0,-105.0,-112.5,0,0.0
0.24,40.0,stimulus,-105.0,-90.0,-97.5,5,0.0021514629948364886
0.24,40.0,stimulus,-90.0,-75.0,-82.5,6,0.0025817555938037868
0.24,40.0,stimulus,-75.0,-60.0,-67.5,11,0.004733218588640275
0.24,40.0,stimulus,-60.0,-45.0,-52.5,30,0.012908777969018933
0.24,40.0,stimulus,-45.0,-30.0,-37.5,81,0.034853700516351116
0.24,40.0,stimulus,-30.0,-15.0,-22.5,294,0.12650602409638553
0.24,40.0,stimulus,-15.0,0.0,-7.5,736,0.31669535283993117
0.24,40.0,stimulus,0.0,15.0,7.5,708,0.3046471600688468
0.24,40.0,stimulus,15.0,30.0,22.5,344,0.14802065404475043
0.24,40.0,stimulus,30.0,45.0,37.5,69,0.029690189328743545
0.24,40.0,stimulus,45.0,60.0,52.5,14,0.006024096385542169
0.24,40.0,stimulus,60.0,75.0,67.5,5,0.0021514629948364886
0.24,40.0,stimulus,75.0,90.0,82.5,2,0.0008605851979345956
0.24,40.0,stimulus,90.0,105.0,97.5,4,0.0017211703958691911
0.24,40.0,stimulus,105.0,120.0,112.5,3,0.0012908777969018934
0.24,40.0,stimulus,120.0,135.0,127.5,3,0.0012908777969018934
0.24,40.0,stimulus,135.0,150.0,142.5,1,0.0004302925989672978
0.24,40.0,stimulus,150.0,165.0,157.5,1,0.0004302925989672978
0.24,40.0,stimulus,165.0,180.0,172.5,0,0.0
0.24,40.0,prior,-180.0,-165.0,-172.5,3,0.0012908777969018934
0.24,40.0,prior,-165.0,-150.0,-157.5,0,0.0
0.24,40.0,prior,-150.0,-135.0,-142.5,0,0.0
0.24,40.0,prior,-135.0,-120.0,-127.5,3,0.0012908777969018934
0.24,40.0,prior,-120.0,-105.0,-112.5,7,0.0030120481927710845
0.24,40.0,prior,-105.0,-90.0,-97.5,20,0.008605851979345954
0.24,40.0,prior,-90.0,-75.0,-82.5,52,0.022375215146299483
0.24,40.0,prior,-75.0,-60.0,-67.5,116,0.04991394148020654
0.24,40.0,prior,-60.0,-45.0,-52.5,144,0.06196213425129088
0.24,40.0,prior,-45.0,-30.0,-37.5,175,0.07530120481927711
0.24,40.0,prior,-30.0,-15.0,-22.5,256,0.11015490533562823
0.24,40.0,prior,-15.0,0.0,-7.5,429,0.18459552495697074
0.24,40.0,prior,0.0,15.0,7.5,348,0.14974182444061962
0.24,40.0,prior,15.0,30.0,22.5,211,0.09079173838209983
0.24,40.0,prior,30.0,45.0,37.5,210,0.09036144578313253
0.24,40.0,prior,45.0,60.0,52.5,191,0.08218588640275387
0.24,40.0,prior,60.0,75.0,67.5,91,0.0391566265060241
0.24,40.0,prior,75.0,90.0,82.5,51,0.021944922547332185
0.24,40.0,prior,90.0,105.0,97.5,12,0.0051635111876075735
0.24,40.0,prior,105.0,120.0,112.5,2,0.0008605851979345956
0.24,40.0,prior,120.0,135.0,127.5,2,0.0008605851979345956
0.24,40.0,prior,135.0,150.0,142.5,0,0.0
0.24,40.0,prior,150.0,165.0,157.5,1,0.0004302925989672978
0.24,40.0,prior,165.0,180.0,172.5,0,0.0
0.24,80.0,stimulus,-180.0,-165.0,-172.5,13,0.002164141834526386
0.24,80.0,stimulus,-165.0,-150.0,-157.5,11,0.001831196936906942
0.24,80.0,stimulus,-150.0,-135.0,-142.5,6,0.000998834692858332
0.24,80.0,stimulus,-135.0,-120.0,-127.5,8,0.001331779590477776
0.24,80.0,stimulus,-120.0,-105.0,-112.5,8,0.001331779590477776
0.24,80.0,stimulus,-105.0,-90.0,-97.5,12,0.001997669385716664
0.24,80.0,stimulus,-90.0,-75.0,-82.5,14,0.002330614283336108
0.24,80.0,stimulus,-75.0,-60.0,-67.5,24,0.003995338771433328
0.24,80.0,stimulus,-60.0,-45.0,-52.5,81,0.013484268353587481
0.24,80.0,stimulus,-45.0,-30.0,-37.5,209,0.034792741801231895
0.24,80.0,stimulus,-30.0,-15.0,-22.5,864,0.1438321957715998
0.24,80.0,stimulus,-15.0,0.0,-7.5,1819,0.3028133843848843
0.24,80.0,stimulus,0.0,15.0,7.5,1834,0.30531047111703014
0.24,80.0,stimulus,15.0,30.0,22.5,787,0.1310138172132512
0.24,80.0,stimulus,30.0,45.0,37.5,174,0.028966206092891626
0.24,80.0,stimulus,45.0,60.0,52.5,44,0.007324787747627768
0.24,80.0,stimulus,60.0,75.0,67.5,20,0.00332944897619444
0.24,80.0,stimulus,75.0,90.0,82.5,9,0.001498252039287498
0.24,80.0,stimulus,90.0,105.0,97.5,10,0.00166472448809722
0.24,80.0,stimulus,105.0,120.0,112.5,9,0.001498252039287498
0.24,80.0,stimulus,120.0,135.0,127.5,11,0.001831196936906942
0.24,80.0,stimulus,135.0,150.0,142.5,13,0.002164141834526386
0.24,80.0,stimulus,150.0,165.0,157.5,11,0.001831196936906942
0.24,80.0,stimulus,165.0,180.0,172.5,16,0.002663559180955552
0.24,80.0,prior,-180.0,-165.0,-172.5,42,0.006991842850008324
0.24,80.0,prior,-165.0,-150.0,-157.5,69,0.011486598967870817
0.24,80.0,prior,-150.0,-135.0,-142.5,114,0.018977859164308306
0.24,80.0,prior,-135.0,-120.0,-127.5,171,0.02846678874646246
0.24,80.0,prior,-120.0,-105.0,-112.5,216,0.03595804894289995
0.24,80.0,prior,-105.0,-90.0,-97.5,281,0.04677875811553188
0.24,80.0,prior,-90.0,-75.0,-82.5,318,0.052938238721491594
0.24,80.0,prior,-75.0,-60.0,-67.5,275,0.04577992342267355
0.24,80.0,prior,-60.0,-45.0,-52.5,303,0.05044115198934576
0.24,80.0,prior,-45.0,-30.0,-37.5,321,0.05343765606792076
0.24,80.0,prior,-30.0,-15.0,-22.5,369,0.061428333610787415
0.24,80.0,prior,-15.0,0.0,-7.5,602,0.10021641418345263
0.24,80.0,prior,0.0,15.0,7.5,523,0.0870650907274846
0.24,80.0,prior,15.0,30.0,22.5,323,0.053770600965540205
0.24,80.0,prior,30.0,45.0,37.5,358,0.059597136673880474
0.24,80.0,prior,45.0,60.0,52.5,312,0.051939404028633264
0.24,80.0,prior,60.0,75.0,67.5,252,0.04195105710004994
0.24,80.0,prior,75.0,90.0,82.5,333,0.05543532545363742
0.24,80.0,prior,90.0,105.0,97.5,245,0.04078574995838189
0.24,80.0,prior,105.0,120.0,112.5,171,0.02846678874646246
0.24,80.0,prior,120.0,135.0,127.5,164,0.027301481604794408
0.24,80.0,prior,135.0,150.0,142.5,115,0.01914433161311803
0.24,80.0,prior,150.0,165.0,157.5,80,0.01331779590477776
0.24,80.0,prior,165.0,180.0,172.5,50,0.0083236224404861
