model,motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,observed,simulated_mean,simulated_ci_low,simulated_ci_high,n_simulations
HMM_static,0.0599999999999999,10,prior,-180,-165,-172.5,0.0036891293654696,0.0052373339891784,0.003624569601574,0.0067049926217412,100
HMM_static,0.0599999999999999,10,prior,-165,-150,-157.5,0.0014756517461878,0.0055853418593211,0.0036829808165272,0.0075657894736842,100
HMM_static,0.0599999999999999,10,prior,-150,-135,-142.5,0.0031972454500737,0.0063662075750121,0.0045437776684701,0.0083097638957205,100
HMM_static,0.0599999999999999,10,prior,-135,-120,-127.5,0.0033202164289226,0.0075270536153467,0.0056443679291687,0.009410354156419,100
HMM_static,0.0599999999999999,10,prior,-120,-105,-112.5,0.0038121003443187,0.0099483521888834,0.0081744958189867,0.0119927447122478,100
HMM_static,0.0599999999999999,10,prior,-105,-90,-97.5,0.0029513034923756,0.0135218888342351,0.0113071815051646,0.0158632562715199,100
HMM_static,0.0599999999999999,10,prior,-90,-75,-82.5,0.0036891293654696,0.01950319724545,0.0163489916379734,0.0230078701426463,100
HMM_static,0.0599999999999999,10,prior,-75,-60,-67.5,0.0089768814559762,0.0277127397934087,0.023837924249877,0.0315451303492374,100
HMM_static,0.0599999999999999,10,prior,-60,-45,-52.5,0.0122970978848991,0.0384493359567142,0.0336233398917855,0.0431751106738808,100
HMM_static,0.0599999999999999,10,prior,-45,-30,-37.5,0.027299557304476,0.0536460895228726,0.0491760944417116,0.0587217166748646,100
HMM_static,0.0599999999999999,10,prior,-30,-15,-22.5,0.0941957697983275,0.0992916871618298,0.0933226758484996,0.1058564928676832,100
HMM_static,0.0599999999999999,10,prior,-15,0,-7.5,0.3310378750614854,0.2140371372356123,0.1995757501229709,0.2282402852926709,100
HMM_static,0.0599999999999999,10,prior,0,15,7.5,0.3264879488440726,0.2129931136251843,0.2006333005410723,0.2252244220363993,100
HMM_static,0.0599999999999999,10,prior,15,30,22.5,0.0992375799311362,0.0994232661091982,0.0944355632070831,0.1049003935071323,100
HMM_static,0.0599999999999999,10,prior,30,45,37.5,0.041810132808657,0.0537100344318739,0.0480693556320708,0.0592781603541564,100
HMM_static,0.0599999999999999,10,prior,45,60,52.5,0.0125430398425971,0.0382316773241513,0.0340568125922282,0.0424249877029021,100
HMM_static,0.0599999999999999,10,prior,60,75,67.5,0.0071323167732415,0.0277348745696015,0.0239024840137727,0.0319909001475651,100
HMM_static,0.0599999999999999,10,prior,75,90,82.5,0.0055336940482045,0.0192117560255779,0.0156173143138218,0.0227496310870634,100
HMM_static,0.0599999999999999,10,prior,90,105,97.5,0.0029513034923756,0.0133534185932119,0.0106984751598622,0.0157464338416133,100
HMM_static,0.0599999999999999,10,prior,105,120,112.5,0.0012297097884898,0.0099102311854401,0.007863994097393,0.0119988932611903,100
HMM_static,0.0599999999999999,10,prior,120,135,127.5,0.0018445646827348,0.0075897688145597,0.0061424003935071,0.0092289719626167,100
HMM_static,0.0599999999999999,10,prior,135,150,142.5,0.0014756517461878,0.0062161829808164,0.0045499262174126,0.007934702410231,100
HMM_static,0.0599999999999999,10,prior,150,165,157.5,0.0014756517461878,0.0055152484013772,0.0041810132808657,0.0072614363010328,100
HMM_static,0.0599999999999999,10,prior,165,180,172.5,0.0023364485981308,0.005284062961141,0.0036891293654696,0.0070739055582881,100
HMM_static,0.0599999999999999,10,stimulus,-180,-165,-172.5,0.0040580423020167,0.0050528775209049,0.0035015986227249,0.0062715199212984,100
HMM_static,0.0599999999999999,10,stimulus,-165,-150,-157.5,0.0017215937038857,0.0055213969503197,0.0033724790949335,0.0071446138711264,100
