row_index,seq_id,subject_id,session_id,run_id,trial_index,estimate_deg,motion_direction,motion_coherence,prior_std,prior_mean,p_sensory,p_prior,p_lapse,state_map
27553,129,4,2,9,1,224.4556924177532,225,0.12,20,225,0.2375650007923111,0.7581349186549097,0.0043000805527792,P_prior
27554,129,4,2,9,2,215.28836769566004,225,0.12,20,225,0.2315721506702971,0.7670101704640463,0.0014176788656565,P_prior
27555,129,4,2,9,3,219.87203005670656,225,0.06,20,225,0.2321571321491206,0.7661725580227019,0.0016703098281773,P_prior
27556,129,4,2,9,4,224.4556924177532,245,0.06,20,225,0.2662097707537172,0.732059604829683,0.0017306244165996,P_prior
27557,129,4,2,9,5,183.20273116833397,195,0.24,20,225,0.3976855657797593,0.6015271354817211,0.0007872987385196,P_prior
27558,129,4,2,9,6,233.6230171398464,215,0.12,20,225,0.3701566572022936,0.6283160127830081,0.0015273300146983,P_prior
27559,129,4,2,9,7,224.4556924177532,245,0.12,20,225,0.3644768326904379,0.6338224711041314,0.0017006962054305,P_prior
27560,129,4,2,9,8,219.87203005670656,215,0.12,20,225,0.3848369825688368,0.6136446592273407,0.0015183582038224,P_prior
27561,129,4,2,9,9,224.4556924177532,205,0.06,20,225,0.4239616893152411,0.5730640800110722,0.0029742306736867,P_prior
27562,129,4,2,9,10,215.28836769566004,225,0.06,20,225,0.5763827012622883,0.4203532056943968,0.0032640930433149,S_sensory
27563,129,4,2,9,11,178.61906880728736,195,0.24,20,225,0.9822835212995004,0.014486486929824,0.0032299917706757,S_sensory
27564,129,4,2,9,12,284.04330311135885,225,0.06,20,225,0.9855457618566488,0.0009475603971709,0.0135066777461804,S_sensory
27565,129,4,2,9,13,196.95371825147373,205,0.12,20,225,0.990710105965591,0.0039245372595598,0.005365356774849,S_sensory
27566,129,4,2,9,14,247.3740042229861,225,0.12,20,225,0.9833959735978024,0.0105607810401671,0.0060432453620305,S_sensory
27567,129,4,2,9,15,201.5373806125203,235,0.06,20,225,0.9756598903698086,0.0159013234776039,0.0084387861525874,S_sensory
27568,129,4,2,9,16,229.03935477879983,235,0.24,20,225,0.9802035780757588,0.0164106442183357,0.0033857777059054,S_sensory
27569,129,4,2,9,17,274.8759783892657,225,0.06,20,225,0.9736022970494566,0.0149355949761765,0.0114621079743669,S_sensory
