subject_id,state,self_transition,stationary_probability,persistence_excess,converged,n_trials
1,Sensory,0.8401163432427508,0.7114005317763193,0.1287158114664314,True,8562
1,Prior,0.615343799100738,0.2830159995821427,0.3323277995185952,True,8562
2,Sensory,0.5807779799061193,0.3158345133472631,0.2649434665588562,True,7877
2,Prior,0.7967004167674929,0.5977738083814265,0.1989266083860664,True,7877
3,Sensory,0.942645535619,0.5993342643156261,0.343311271303374,True,9412
3,Prior,0.9512967374222344,0.3842258089652861,0.5670709284569482,True,9412
4,Sensory,0.9002598234260405,0.4835494177800211,0.4167104056460194,True,4799
4,Prior,0.9646892815418732,0.4789596147023486,0.4857296668395245,True,4799
5,Sensory,0.9525344333217182,0.902293697086434,0.050240736235284,True,5789
5,Prior,0.0340993965386526,0.0318953194963099,0.0022040770423427,True,5789
6,Sensory,0.9781492304071212,0.4703226292216809,0.5078266011854404,True,7553
6,Prior,0.9938998127773816,0.5087334140019476,0.485166398775434,True,7553
7,Sensory,0.94775475219658,0.6047135642396038,0.3430411879569761,True,5797
7,Prior,0.9860457222419796,0.3658692362245944,0.6201764860173853,True,5797
8,Sensory,0.7790151201123925,0.4238722002883971,0.3551429198239953,True,5797
8,Prior,0.9841930807775788,0.4491206907939348,0.535072389983644,True,5797
9,Sensory,0.9043984366744257,0.6634132098758301,0.2409852267985954,True,8632
9,Prior,0.8910423915972482,0.2987485199921854,0.5922938716050627,True,8632
10,Sensory,0.8027372468296006,0.4218137488907831,0.3809234979388174,True,6044
10,Prior,0.966492079606175,0.4810708826327995,0.4854211969733754,True,6044
11,Sensory,0.9385298427414084,0.6621890423678053,0.2763408003736032,True,6474
11,Prior,0.9324199838471215,0.3146149288578946,0.6178050549892269,True,6474
12,Sensory,0.8414090741180266,0.44478613468394,0.3966229394340865,True,6474
12,Prior,0.9559658220153564,0.4605387982651507,0.4954270237502056,True,6474
