stage,model,fold,subject_id,n_restarts,n_converged,best_train_ll,worst_train_ll,selected_seed,selected_converged,selected_n_iter,ll_range
cv,Covariate_HMM,1.0,,10,10,-51177.19838276936,-51177.43552235015,4102,True,52,0.23713958078587893
cv,Covariate_HMM,2.0,,10,10,-50934.80994523851,-50935.14824527393,4200,True,50,0.33830003542243503
cv,Covariate_HMM,3.0,,10,10,-50400.74182262854,-50400.89436645211,4302,True,38,0.15254382356943097
cv,Covariate_HMM,4.0,,10,10,-50119.30726862553,-50119.55280505197,4403,True,48,0.24553642643877538
cv,HMM_static,1.0,,25,25,-52983.99293472487,-52984.09964902539,1112,True,32,0.10671430052025244
cv,HMM_static,2.0,,25,25,-52805.37644210218,-52805.50735041567,1222,True,29,0.13090831349109067
cv,HMM_static,3.0,,25,25,-52471.93655358035,-52472.086941800975,1302,True,33,0.1503882206234266
cv,HMM_static,4.0,,25,25,-52028.87218345623,-52028.99449619883,1416,True,30,0.12231274259829661
cv,Independent_switching,1.0,,25,25,-56790.45040055391,-56790.5962919932,2113,True,26,0.14589143928606063
cv,Independent_switching,2.0,,25,25,-56806.16199142218,-56806.2317242733,2213,True,24,0.0697328511159867
cv,Independent_switching,3.0,,25,25,-56016.25731957535,-56016.32265439519,2308,True,46,0.06533481983933598
cv,Independent_switching,4.0,,25,25,-55383.87205190998,-55383.9044844766,2414,True,56,0.03243256662244676
cv,Serial_both_independent_switching,1.0,,15,15,-56779.30678074676,-56779.31826161785,3101,True,45,0.011480871093226597
cv,Serial_both_independent_switching,2.0,,15,15,-56794.68114812707,-56794.6910047076,3211,True,49,0.009856580531049985
cv,Serial_both_independent_switching,3.0,,15,15,-56004.70955967201,-56004.71427271512,3304,True,57,0.004713043112133164
cv,Serial_both_independent_switching,4.0,,15,15,-55367.06445012127,-55367.07042767661,3407,True,54,0.005977555345452856
cv,Serial_resp_independent_switching,1.0,,15,15,-56784.48423389771,-56784.49299705421,3113,True,48,0.008763156496570446
cv,Serial_resp_independent_switching,2.0,,15,15,-56796.86758764855,-56796.87089330916,3211,True,35,0.0033056606116588227
cv,Serial_resp_independent_switching,3.0,,15,15,-56006.728706574286,-56006.73161132686,3308,True,37,0.002904752574977465
cv,Serial_resp_independent_switching,4.0,,15,15,-55373.13023734414,-55373.13492064054,3410,True,43,0.004683296399889514
cv,Serial_stim_independent_switching,1.0,,15,15,-56789.93277533637,-56789.940562492106,3112,True,41,0.007787155736878049
cv,Serial_stim_independent_switching,2.0,,15,15,-56805.87825962385,-56805.88019212189,3206,True,35,0.001932498038513586
cv,Serial_stim_independent_switching,3.0,,15,15,-56015.81522018757,-56015.81758635372,3313,True,29,0.0023661661471123807
cv,Serial_stim_independent_switching,4.0,,15,15,-55383.32206108503,-55383.32392952655,3402,True,38,0.0018684415190364234
final,Covariate_HMM,,,10,10,-67559.90205798428,-67560.04258204908,12005,True,47,0.1405240648018662
final,HMM_static,,,25,25,-70104.52481440043,-70104.69204721761,9022,True,30,0.16723281718441285
final,Independent_switching,,,25,25,-75044.95049397045,-75046.49398988983,10018,True,66,1.5434959193808027
final,Serial_both_independent_switching,,,15,15,-75028.82837262854,-75028.83547493583,11007,True,61,0.007102307281456888
final,Serial_resp_independent_switching,,,15,15,-75034.28048757953,-75034.2842653228,11011,True,38,0.0037777432735310867
final,Serial_stim_independent_switching,,,15,15,-75044.44426878435,-75044.44815345354,11011,True,40,0.003884669189574197
subject,HMM_static,,1.0,25,25,-3932.115751181991,-3932.1161054495897,7106,True,106,0.0003542675985954702
subject,HMM_static,,2.0,25,25,-4410.716465713624,-4530.427718557392,7212,True,51,119.7112528437683
subject,HMM_static,,3.0,25,25,-4406.63828139036,-4406.638620766562,7316,True,73,0.00033937620173674077
subject,HMM_static,,4.0,25,25,-3710.791119236216,-3710.7939448525017,7418,True,42,0.002825616285463184
subject,HMM_static,,5.0,25,25,-7395.606883191126,-7398.642289258471,7509,True,176,3.035406067344411
subject,HMM_static,,6.0,25,25,-6867.38976116305,-6867.390230954415,7614,True,56,0.00046979136459412985
subject,HMM_static,,7.0,25,25,-3748.114545962509,-3748.1148496814976,7723,True,47,0.00030371898856174084
subject,HMM_static,,8.0,25,25,-7107.955497052732,-7107.9561530572255,7816,True,174,0.0006560044930665754
subject,HMM_static,,9.0,25,25,-7422.561570170577,-7422.562173441152,7918,True,95,0.0006032705741745303
subject,HMM_static,,10.0,25,25,-6170.883876553897,-6170.884420869542,8021,True,296,0.0005443156451292452
subject,HMM_static,,11.0,25,25,-5272.061898294763,-5272.064159996091,8110,True,43,0.0022617013282797416
subject,HMM_static,,12.0,25,25,-6122.725939071995,-6122.760940685719,8221,True,50,0.03500161372448929
