model,motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,observed,simulated_mean,simulated_ci_low,simulated_ci_high,n_simulations
HMM_static,0.0599999999999999,10,stimulus,-180,-165,-172.5,0.0016381048387096,0.0025571546023207,0.0015439374317854,0.0036868491584306,100
HMM_static,0.0599999999999999,10,stimulus,-165,-150,-157.5,0.0006300403225806,0.0029901995813841,0.0018573464979904,0.0041936716808835,100
HMM_static,0.0599999999999999,10,stimulus,-150,-135,-142.5,0.0011340725806451,0.0038442321331247,0.0022529337908835,0.0055708603404169,100
HMM_static,0.0599999999999999,10,stimulus,-135,-120,-127.5,0.0016381048387096,0.0051557485410762,0.0035282206225817,0.0066620758816645,100
HMM_static,0.0599999999999999,10,stimulus,-120,-105,-112.5,0.0015120967741935,0.0076843089330514,0.0057068436503222,0.0094048548473625,100
HMM_static,0.0599999999999999,10,stimulus,-105,-90,-97.5,0.0020161290322579,0.0114692760881029,0.009342792295509,0.0137781756549005,100
HMM_static,0.0599999999999999,10,stimulus,-90,-75,-82.5,0.0035282258064515,0.017447216057319,0.0138731205904042,0.0209926318592379,100
HMM_static,0.0599999999999999,10,stimulus,-75,-60,-67.5,0.0070564516129031,0.0268671503373228,0.0236193321173886,0.0304952352637121,100
HMM_static,0.0599999999999999,10,stimulus,-60,-45,-52.5,0.0128528225806451,0.0394290372245085,0.0349697830203615,0.0441196491743571,100
HMM_static,0.0599999999999999,10,stimulus,-45,-30,-37.5,0.0369203629032257,0.0620863505170768,0.0566376781057709,0.0675479027529683,100
HMM_static,0.0599999999999999,10,stimulus,-30,-15,-22.5,0.1291582661290322,0.1199029106216465,0.1127559807114487,0.1264900899324032,100
HMM_static,0.0599999999999999,10,stimulus,-15,0,-7.5,0.2913306451612903,0.2016340002661476,0.1901876790384119,0.2164165351393903,100
HMM_static,0.0599999999999999,10,stimulus,0,15,7.5,0.2982610887096773,0.2002519978411345,0.1892188526881837,0.2113775611275897,100
HMM_static,0.0599999999999999,10,stimulus,15,30,22.5,0.1334425403225806,0.1200483179046854,0.1130688237225692,0.1270594954354364,100
HMM_static,0.0599999999999999,10,stimulus,30,45,37.5,0.0453629032258063,0.062191687158257,0.0571243649468224,0.0683101558475265,100
HMM_static,0.0599999999999999,10,stimulus,45,60,52.5,0.0160030241935483,0.038882770139341,0.0349600087305012,0.0439218153130084,100
HMM_static,0.0599999999999999,10,stimulus,60,75,67.5,0.006048387096774,0.0267798256532678,0.0222067693824413,0.0310201213193406,100
HMM_static,0.0599999999999999,10,stimulus,75,90,82.5,0.0047883064516128,0.0172901773633005,0.014030929695588,0.0205970612092094,100
HMM_static,0.0599999999999999,10,stimulus,90,105,97.5,0.0018901209677419,0.0113695183591831,0.0090296559413121,0.0132911122011252,100
HMM_static,0.0599999999999999,10,stimulus,105,120,112.5,0.0012600806451612,0.0075815919800889,0.0056924612927007,0.0093473347690787,100
HMM_static,0.0599999999999999,10,stimulus,120,135,127.5,0.0010080645161289,0.0051460643949603,0.0038721869552995,0.0068764720175697,100
HMM_static,0.0599999999999999,10,stimulus,135,150,142.5,0.0007560483870967,0.0036959165007947,0.0024382757530238,0.005108957862121,100
HMM_static,0.0599999999999999,10,stimulus,150,165,157.5,0.0011340725806451,0.0029434196149316,0.0018027313938133,0.0040588457604342,100
HMM_static,0.0599999999999999,10,stimulus,165,180,172.5,0.0006300403225806,0.0027511281869709,0.0017361568880212,0.004001461405737,100
HMM_static,0.0599999999999999,20,prior,-180,-165,-172.5,0.0016339869281045,0.0030096735089985,0.0017364190938668,0.0041791937192025,100
HMM_static,0.0599999999999999,20,prior,-165,-150,-157.5,0.0017596782302663,0.0033440224862439,0.0019819201831531,0.0045513704982418,100
HMM_static,0.0599999999999999,20,prior,-150,-135,-142.5,0.0016339869281045,0.0043584568921471,0.0029466629733924,0.0056488317530808,100
HMM_static,0.0599999999999999,20,prior,-135,-120,-127.5,0.0028908999497233,0.0060640279563665,0.0044639665319247,0.0078533171348027,100
HMM_static,0.0599999999999999,20,prior,-120,-105,-112.5,0.003393665158371,0.0088497516665738,0.0070340733757581,0.0104646970342842,100
HMM_static,0.0599999999999999,20,prior,-105,-90,-97.5,0.0046505781799899,0.0133474916829091,0.0112287315358229,0.0155498749070458,100
HMM_static,0.0599999999999999,20,prior,-90,-75,-82.5,0.004524886877828,0.019720242336286,0.0162743004039225,0.0224315180689712,100
HMM_static,0.0599999999999999,20,prior,-75,-60,-67.5,0.0085470085470084,0.0290208846621539,0.0257246250342869,0.0332929277126342,100
HMM_static,0.0599999999999999,20,prior,-60,-45,-52.5,0.0143288084464554,0.0410084203385822,0.0364607495464676,0.0465357429768894,100
HMM_static,0.0599999999999999,20,prior,-45,-30,-37.5,0.0417295123177476,0.0630436346699675,0.0570748063585527,0.0692722303449947,100
HMM_static,0.0599999999999999,20,prior,-30,-15,-22.5,0.1052036199095021,0.117615494382816,0.1099173928351159,0.1248468352262419,100
HMM_static,0.0599999999999999,20,prior,-15,0,-7.5,0.2746354952237304,0.1899693397491764,0.1784010785503994,0.204510897878757,100
HMM_static,0.0599999999999999,20,prior,0,15,7.5,0.2791603821015585,0.191206808062265,0.1805316792477912,0.2023205078933363,100
HMM_static,0.0599999999999999,20,prior,15,30,22.5,0.1284565108094518,0.1167917826827551,0.1111390316412571,0.1218637653385625,100
HMM_static,0.0599999999999999,20,prior,30,45,37.5,0.0727752639517345,0.0631265452313559,0.0572661428882699,0.069010640129805,100
HMM_static,0.0599999999999999,20,prior,45,60,52.5,0.0291603821015585,0.0410855115446491,0.0360433331245477,0.0453948212635724,100
HMM_static,0.0599999999999999,20,prior,60,75,67.5,0.0121920563097032,0.0290328855817788,0.0254048393343996,0.0327080276237139,100
HMM_static,0.0599999999999999,20,prior,75,90,82.5,0.0054047259929612,0.0202154931803096,0.0174004989752787,0.0237849850016605,100
HMM_static,0.0599999999999999,20,prior,90,105,97.5,0.0027652086475615,0.0134517400081837,0.010742400911656,0.0158400788042313,100
HMM_static,0.0599999999999999,20,prior,105,120,112.5,0.0018853695324283,0.0087293940208252,0.0064038461538459,0.0107563340954746,100
HMM_static,0.0599999999999999,20,prior,120,135,127.5,0.0008798391151331,0.0060808627703938,0.0043592308212048,0.0076554951774688,100
HMM_static,0.0599999999999999,20,prior,135,150,142.5,0.0008798391151331,0.004462759128544,0.0033876875503556,0.0057835447569677,100
HMM_static,0.0599999999999999,20,prior,150,165,157.5,0.0005027652086474,0.0034715291863213,0.002428359003261,0.0048178505026072,100
HMM_static,0.0599999999999999,20,prior,165,180,172.5,0.0010055304172951,0.0029932482703945,0.0019095747964095,0.0046173225110258,100
HMM_static,0.0599999999999999,20,stimulus,-180,-165,-172.5,0.0017596782302663,0.0025982861565383,0.0012044968243197,0.0038509312564028,100
HMM_static,0.0599999999999999,20,stimulus,-165,-150,-157.5,0.0017596782302663,0.0030582428064755,0.0018575127582051,0.0042307079125647,100
HMM_static,0.0599999999999999,20,stimulus,-150,-135,-142.5,0.0018853695324283,0.0037954092171004,0.0026916175339655,0.0049084205376479,100
HMM_static,0.0599999999999999,20,stimulus,-135,-120,-127.5,0.0025138260432377,0.0051694538661742,0.003647320710178,0.0070727049132861,100
HMM_static,0.0599999999999999,20,stimulus,-120,-105,-112.5,0.0028908999497233,0.0075225063944676,0.0054940196251334,0.0093575712054016,100
HMM_static,0.0599999999999999,20,stimulus,-105,-90,-97.5,0.0037707390648566,0.0114750812493358,0.0094337238246079,0.0139525547740978,100
HMM_static,0.0599999999999999,20,stimulus,-90,-75,-82.5,0.005530417295123,0.0176988053502698,0.015244381493223,0.0205318993825464,100
HMM_static,0.0599999999999999,20,stimulus,-75,-60,-67.5,0.0110608345902463,0.0300996458349447,0.0261381549047088,0.0344403492724452,100
HMM_static,0.0599999999999999,20,stimulus,-60,-45,-52.5,0.0295374560080442,0.0505183354068247,0.0456349354274534,0.0553593451175002,100
HMM_static,0.0599999999999999,20,stimulus,-45,-30,-37.5,0.0633484162895927,0.084447058700736,0.0783997437117217,0.090514244605667,100
HMM_static,0.0599999999999999,20,stimulus,-30,-15,-22.5,0.1367521367521367,0.1256482372426751,0.1184492152891521,0.1331049852157749,100
HMM_static,0.0599999999999999,20,stimulus,-15,0,-7.5,0.2067621920563096,0.1573011829224796,0.1492474284786264,0.1664344262898176,100
HMM_static,0.0599999999999999,20,stimulus,0,15,7.5,0.2145550527903469,0.1578209885763518,0.1502726930507704,0.1670142776890251,100
HMM_static,0.0599999999999999,20,stimulus,15,30,22.5,0.1520864756158873,0.1259766874623944,0.118903297639713,0.1339878727761421,100
HMM_static,0.0599999999999999,20,stimulus,30,45,37.5,0.0892408245349421,0.084341015177955,0.0795482608712578,0.0910517122168088,100
HMM_static,0.0599999999999999,20,stimulus,45,60,52.5,0.0438662644544996,0.0509316884160311,0.0460355110996754,0.0562408450482397,100
HMM_static,0.0599999999999999,20,stimulus,60,75,67.5,0.0165912518853695,0.0296594786272503,0.0260125608818251,0.0328470783536791,100
HMM_static,0.0599999999999999,20,stimulus,75,90,82.5,0.0079185520361989,0.0180728482012709,0.0149585751146407,0.0214668769405542,100
HMM_static,0.0599999999999999,20,stimulus,90,105,97.5,0.0021367521367521,0.0114422986507319,0.009078893879744,0.0134210054415037,100
HMM_static,0.0599999999999999,20,stimulus,105,120,112.5,0.0021367521367521,0.0075581079469856,0.0052838499436471,0.0098311995561592,100
HMM_static,0.0599999999999999,20,stimulus,120,135,127.5,0.0010055304172951,0.0052059363786219,0.0037146202662183,0.0070184603021525,100
HMM_static,0.0599999999999999,20,stimulus,135,150,142.5,0.0010055304172951,0.0039236636104032,0.0024406638675432,0.0054602747379921,100
HMM_static,0.0599999999999999,20,stimulus,150,165,157.5,0.0010055304172951,0.0030623298459556,0.0019831856584022,0.0043522054507462,100
HMM_static,0.0599999999999999,20,stimulus,165,180,172.5,0.0008798391151331,0.0026727119580234,0.0017861037779131,0.0039774384848302,100
HMM_static,0.0599999999999999,40,prior,-180,-165,-172.5,0.0040338846308994,0.0041906041039127,0.0026193425029761,0.0057640132897131,100
HMM_static,0.0599999999999999,40,prior,-165,-150,-157.5,0.0029581820626595,0.0047507921245506,0.0030756794236755,0.0063705405593375,100
HMM_static,0.0599999999999999,40,prior,-150,-135,-142.5,0.0033615705257496,0.0061560865742595,0.0044854143441099,0.008088135168886,100
HMM_static,0.0599999999999999,40,prior,-135,-120,-127.5,0.0059163641253193,0.0086740044317417,0.0067580328837783,0.0106676972234816,100
HMM_static,0.0599999999999999,40,prior,-120,-105,-112.5,0.0095468602931289,0.0124725392679256,0.0097451702328317,0.0150087024058652,100
HMM_static,0.0599999999999999,40,prior,-105,-90,-97.5,0.0157321500605081,0.0174827588058724,0.0148178565284298,0.0206935111600106,100
HMM_static,0.0599999999999999,40,prior,-90,-75,-82.5,0.0237999193223073,0.0238870497975646,0.0207253459307397,0.0274827627757904,100
HMM_static,0.0599999999999999,40,prior,-75,-60,-67.5,0.0315987629420464,0.0335701842768635,0.0291781657952927,0.0369303548879469,100
HMM_static,0.0599999999999999,40,prior,-60,-45,-52.5,0.0354981847519159,0.0473705910545611,0.0412800336240497,0.0523218095142942,100
HMM_static,0.0599999999999999,40,prior,-45,-30,-37.5,0.0510958719913943,0.0739097316226347,0.0688533122447058,0.0791486936652505,100
HMM_static,0.0599999999999999,40,prior,-30,-15,-22.5,0.098830173457039,0.1147083331704199,0.1074165394612812,0.1225577600420565,100
HMM_static,0.0599999999999999,40,prior,-15,0,-7.5,0.208148446954417,0.1521541530325984,0.1439707365091899,0.163495018347838,100
HMM_static,0.0599999999999999,40,prior,0,15,7.5,0.1691542288557214,0.15316933901042,0.1439669255005023,0.1632737082091662,100
