stage,fold,subject_id,model,seed,train_ll,delta_from_best,converged,n_iter,selected,message
cv,1.0,,Independent_switching,2109,-56790.58874388124,-0.138343327329494,True,56,False,
cv,1.0,,Independent_switching,2110,-56790.589865291135,-0.139464737228991,True,49,False,
cv,1.0,,Independent_switching,2111,-56790.5938969836,-0.1434964296931866,True,43,False,
cv,1.0,,Independent_switching,2112,-56790.58780444923,-0.1374038953217677,True,85,False,
cv,1.0,,Independent_switching,2113,-56790.45040055391,0.0,True,26,True,
cv,1.0,,Independent_switching,2114,-56790.58780632191,-0.1374057680077385,True,85,False,
cv,1.0,,Independent_switching,2115,-56790.58780761447,-0.1374070605597808,True,87,False,
cv,1.0,,Independent_switching,2116,-56790.565873526095,-0.115472972189309,True,35,False,
cv,1.0,,Independent_switching,2117,-56790.58821501973,-0.1378144658228848,True,62,False,
cv,1.0,,Independent_switching,2118,-56790.589234594896,-0.1388340409903321,True,46,False,
cv,1.0,,Independent_switching,2119,-56790.5962919932,-0.1458914392933366,True,43,False,
cv,1.0,,Independent_switching,2120,-56790.45316945911,-0.0027689052076311,True,21,False,
cv,1.0,,Independent_switching,2121,-56790.588332243686,-0.137931689780089,True,59,False,
cv,1.0,,Independent_switching,2122,-56790.593028004245,-0.1426274503392051,True,60,False,
cv,1.0,,Independent_switching,2123,-56790.58969011954,-0.1392895656317705,True,48,False,
cv,1.0,,Independent_switching,2124,-56790.58782891992,-0.1374283660115907,True,81,False,
cv,1.0,,Serial_stim_independent_switching,3100,-56789.93290772836,-0.0001323919932474,True,34,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3101,-56789.93338915778,-0.0006138214157545,True,37,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3102,-56789.932836846914,-6.15105454926379e-05,True,38,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3103,-56789.9355732868,-0.0027979504302493,True,40,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3104,-56789.93358067651,-0.0008053401397773,True,38,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3105,-56789.940562492106,-0.007787155736878,True,35,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3106,-56789.93376362603,-0.0009882896629278,True,31,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3107,-56789.9387080868,-0.0059327504350221,True,36,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3108,-56789.93283097435,-5.563798185903579e-05,True,42,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3109,-56789.933440762616,-0.0006654262469965,True,29,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3110,-56789.93294926832,-0.0001739319486659,True,23,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3111,-56789.93283514242,-5.980605055810884e-05,True,44,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3112,-56789.93277533637,0.0,True,41,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3113,-56789.93302957622,-0.0002542398506193,True,44,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_stim_independent_switching,3114,-56789.93473447916,-0.0019591427917475,True,24,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3100,-56784.48435257046,-0.0001186727458843,True,34,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3101,-56784.484508414345,-0.0002745166348177,True,27,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3102,-56784.48443990192,-0.0002060042097582,True,26,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3103,-56784.48580430016,-0.0015704024481237,True,40,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3104,-56784.48751060472,-0.0032767070078989,True,47,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3105,-56784.484616368616,-0.0003824709056061,True,39,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3106,-56784.49299705421,-0.0087631565038464,True,30,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3107,-56784.49045334754,-0.0062194498314056,True,37,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3108,-56784.48739818356,-0.0031642858521081,True,38,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3109,-56784.48442161199,-0.0001877142785815,True,32,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3110,-56784.48664344871,-0.0024095509943435,True,38,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3111,-56784.48447097655,-0.0002370788351981,True,36,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3112,-56784.48552085584,-0.0012869581332779,True,35,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3113,-56784.48423389771,0.0,True,48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_resp_independent_switching,3114,-56784.4848266855,-0.0005927877864451,True,31,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3100,-56779.31001812936,-0.0032373825961258,True,41,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3101,-56779.30678074676,0.0,True,45,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3102,-56779.30736518357,-0.0005844368133693,True,60,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3103,-56779.30900961003,-0.0022288632681011,True,45,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3104,-56779.30806993548,-0.0012891887236037,True,48,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3105,-56779.31826161785,-0.0114808710932265,True,36,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3106,-56779.31592763357,-0.0091468868122319,True,33,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3107,-56779.309497741386,-0.0027169946260983,True,48,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3108,-56779.31306298448,-0.0062822377221891,True,53,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3109,-56779.30678776943,-7.0226669777184725e-06,True,50,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3110,-56779.30888138566,-0.0021006388997193,True,42,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3111,-56779.30711924951,-0.0003385027521289,True,55,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3112,-56779.31160286309,-0.0048221163306152,True,52,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3113,-56779.30891823849,-0.0021374917268985,True,47,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Serial_both_independent_switching,3114,-56779.30725986394,-0.0004791171813849,True,48,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,1.0,,Covariate_HMM,4100,-51177.410731656375,-0.2123488870129222,True,43,False,
cv,1.0,,Covariate_HMM,4101,-51177.30798538936,-0.1096026199957123,True,39,False,
cv,1.0,,Covariate_HMM,4102,-51177.19838276936,0.0,True,52,True,
cv,1.0,,Covariate_HMM,4103,-51177.42286701855,-0.2244842491854797,True,48,False,
cv,1.0,,Covariate_HMM,4104,-51177.24701080467,-0.0486280353070469,True,49,False,
cv,1.0,,Covariate_HMM,4105,-51177.418710485705,-0.2203277163425809,True,43,False,
cv,1.0,,Covariate_HMM,4106,-51177.24387525621,-0.0454924868463422,True,50,False,
cv,1.0,,Covariate_HMM,4107,-51177.20512214741,-0.0067393780482234,True,46,False,
cv,1.0,,Covariate_HMM,4108,-51177.42316635183,-0.2247835824673529,True,40,False,
cv,1.0,,Covariate_HMM,4109,-51177.43552235015,-0.2371395807858789,True,42,False,
cv,2.0,,HMM_static,1200,-52805.39112060026,-0.0146784980752272,True,30,False,
cv,2.0,,HMM_static,1201,-52805.38965431223,-0.0132122100476408,True,29,False,
cv,2.0,,HMM_static,1202,-52805.38110245666,-0.0046603544760728,True,29,False,
cv,2.0,,HMM_static,1203,-52805.43708609031,-0.0606439881230471,True,28,False,
cv,2.0,,HMM_static,1204,-52805.37792783321,-0.0014857310234219,True,30,False,
cv,2.0,,HMM_static,1205,-52805.40085324703,-0.0244111448482726,True,28,False,
cv,2.0,,HMM_static,1206,-52805.40005979074,-0.0236176885591703,True,28,False,
cv,2.0,,HMM_static,1207,-52805.42374556859,-0.0473034664028091,True,36,False,
cv,2.0,,HMM_static,1208,-52805.50735041567,-0.1309083134838147,True,29,False,
cv,2.0,,HMM_static,1209,-52805.40644956385,-0.0300074616679921,True,32,False,
cv,2.0,,HMM_static,1210,-52805.38499931694,-0.0085572147581842,True,29,False,
cv,2.0,,HMM_static,1211,-52805.41513984335,-0.0386977411690168,True,29,False,
cv,2.0,,HMM_static,1212,-52805.42574418655,-0.0493020843641716,True,30,False,
cv,2.0,,HMM_static,1213,-52805.38090673024,-0.0044646280584856,True,28,False,
cv,2.0,,HMM_static,1214,-52805.38298866292,-0.0065465607331134,True,28,False,
cv,2.0,,HMM_static,1215,-52805.4340453849,-0.0576032827157177,True,28,False,
cv,2.0,,HMM_static,1216,-52805.48953812454,-0.1130960223526926,True,93,False,
cv,2.0,,HMM_static,1217,-52805.39325086056,-0.0168087583733722,True,29,False,
cv,2.0,,HMM_static,1218,-52805.48953345235,-0.1130913501692703,True,89,False,
cv,2.0,,HMM_static,1219,-52805.41815366415,-0.0417115619638934,True,29,False,
cv,2.0,,HMM_static,1220,-52805.37957759159,-0.0031354894090327,True,28,False,
cv,2.0,,HMM_static,1221,-52805.45006787509,-0.0736257729076896,True,28,False,
cv,2.0,,HMM_static,1222,-52805.37644210218,0.0,True,29,True,
cv,2.0,,HMM_static,1223,-52805.38366472176,-0.0072226195770781,True,28,False,
cv,2.0,,HMM_static,1224,-52805.38934780823,-0.0129057060476043,True,31,False,
cv,2.0,,Independent_switching,2200,-56806.2311822994,-0.0691908772205351,True,43,False,
cv,2.0,,Independent_switching,2201,-56806.22608555944,-0.0640941372548695,True,81,False,
cv,2.0,,Independent_switching,2202,-56806.231352954856,-0.0693615326745202,True,52,False,
cv,2.0,,Independent_switching,2203,-56806.2317242733,-0.0697328511159867,True,44,False,
cv,2.0,,Independent_switching,2204,-56806.21220039639,-0.050208974207635,True,25,False,
cv,2.0,,Independent_switching,2205,-56806.22660552376,-0.064614101574989,True,64,False,
cv,2.0,,Independent_switching,2206,-56806.23122916119,-0.0692377390078036,True,57,False,
cv,2.0,,Independent_switching,2207,-56806.23043763858,-0.0684462163990247,True,54,False,
cv,2.0,,Independent_switching,2208,-56806.22614754793,-0.0641561257507419,True,68,False,
cv,2.0,,Independent_switching,2209,-56806.23074472755,-0.0687533053715014,True,58,False,
cv,2.0,,Independent_switching,2210,-56806.2307965756,-0.0688051534234546,True,53,False,
cv,2.0,,Independent_switching,2211,-56806.2250017609,-0.063010338722961,True,37,False,
cv,2.0,,Independent_switching,2212,-56806.18859679888,-0.0266053766972618,True,21,False,
cv,2.0,,Independent_switching,2213,-56806.16199142218,0.0,True,24,True,
cv,2.0,,Independent_switching,2214,-56806.22607686321,-0.0640854410303291,True,81,False,
cv,2.0,,Independent_switching,2215,-56806.21700891595,-0.0550174937670817,True,28,False,
cv,2.0,,Independent_switching,2216,-56806.23131949212,-0.0693280699415481,True,49,False,
cv,2.0,,Independent_switching,2217,-56806.23160699969,-0.0696155775076476,True,49,False,
cv,2.0,,Independent_switching,2218,-56806.23108692591,-0.0690955037280218,True,54,False,
cv,2.0,,Independent_switching,2219,-56806.23076107355,-0.0687696513705304,True,59,False,
cv,2.0,,Independent_switching,2220,-56806.23073254447,-0.0687411222897935,True,54,False,
cv,2.0,,Independent_switching,2221,-56806.22546365872,-0.0634722365430207,True,32,False,
cv,2.0,,Independent_switching,2222,-56806.22648380519,-0.0644923830113839,True,64,False,
cv,2.0,,Independent_switching,2223,-56806.23114036176,-0.0691489395831013,True,55,False,
cv,2.0,,Independent_switching,2224,-56806.23071787269,-0.0687264505104394,True,52,False,
cv,2.0,,Serial_stim_independent_switching,3200,-56805.87912678696,-0.000867163107614,True,36,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3201,-56805.87942626201,-0.0011666381542454,True,40,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3202,-56805.87830460109,-4.4977234210819006e-05,True,33,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3203,-56805.88019212189,-0.0019324980385135,True,40,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3204,-56805.8782928008,-3.3176947908941656e-05,True,33,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
cv,2.0,,Serial_stim_independent_switching,3205,-56805.878455661565,-0.0001960377121577,True,32,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
