,S_sensory,P_prior,L_lapse
S_sensory,0.9373917042887728,0.02408160942645531,0.03852668628477186
P_prior,0.03622859363671656,0.9636450881714697,0.0001263181918136954
L_lapse,0.3151743249416464,2.5701606969625518e-05,0.684799973451384
