fold,covariate,previous_state,next_state,prob_at_minus_1sd,prob_at_plus_1sd,delta_plus_minus
1,coherence,S_sensory,S_sensory,0.7862584871458901,0.9790882130511549,0.19282972590526481
1,coherence,S_sensory,P_prior,0.1322505268379081,0.014135875060600154,-0.11811465177730796
1,coherence,S_sensory,L_lapse,0.08149098601620185,0.006775911888244842,-0.074715074127957
1,coherence,P_prior,S_sensory,0.04099925800123639,0.24096343745225476,0.19996417945101838
1,coherence,P_prior,P_prior,0.9529152058192668,0.7461174993383457,-0.2067977064809211
1,coherence,P_prior,L_lapse,0.006085536179496981,0.012919063209399638,0.006833527029902657
1,coherence,L_lapse,S_sensory,0.04528348889225574,0.2362188285947499,0.19093533970249416
1,coherence,L_lapse,P_prior,0.029977298614697667,0.009216820386435206,-0.020760478228262463
1,coherence,L_lapse,L_lapse,0.9247392124930465,0.7545643510188146,-0.1701748614742319
1,prior_precision,S_sensory,S_sensory,0.8441043351106255,0.9569630030674143,0.11285866795678878
1,prior_precision,S_sensory,P_prior,0.05239643275033324,0.03743884984844303,-0.014957582901890212
1,prior_precision,S_sensory,L_lapse,0.10349923213904129,0.005598147084142772,-0.09790108505489852
1,prior_precision,P_prior,S_sensory,0.18776291031292514,0.05537119575147485,-0.13239171456145027
1,prior_precision,P_prior,P_prior,0.796512635913431,0.9393671674377512,0.14285453152432015
1,prior_precision,P_prior,L_lapse,0.015724453773643742,0.005261636810773788,-0.010462816962869954
1,prior_precision,L_lapse,S_sensory,0.34284890430492837,0.027367244853393757,-0.3154816594515346
1,prior_precision,L_lapse,P_prior,0.019880687272807923,0.012190504432672588,-0.007690182840135335
1,prior_precision,L_lapse,L_lapse,0.6372704084222638,0.9604422507139339,0.32317184229167006
1,conflict,S_sensory,S_sensory,0.922002211633675,0.934935412256946,0.012933200623270968
1,conflict,S_sensory,P_prior,0.05523927673980132,0.03789645002491745,-0.017342826714883873
1,conflict,S_sensory,L_lapse,0.02275851162652366,0.02716813771813666,0.004409626091612998
1,conflict,P_prior,S_sensory,0.04898292784968896,0.2051478402549175,0.15616491240522853
1,conflict,P_prior,P_prior,0.9485526767951142,0.7624029568413525,-0.18614971995376173
1,conflict,P_prior,L_lapse,0.002464395355197012,0.03244920290372994,0.02998480754853293
1,conflict,L_lapse,S_sensory,0.11187304336996474,0.10473852337875607,-0.0071345199912086765
1,conflict,L_lapse,P_prior,0.018128296830322375,0.016695295979095415,-0.0014330008512269607
1,conflict,L_lapse,L_lapse,0.869998659799713,0.8785661806421485,0.008567520842435505
1,prev_error,S_sensory,S_sensory,0.9004301467948999,0.9445022401510185,0.04407209335611861
1,prev_error,S_sensory,P_prior,0.0787236105728958,0.02623499314558794,-0.05248861742730786
1,prev_error,S_sensory,L_lapse,0.020846242632204286,0.029262766703393627,0.00841652407118934
1,prev_error,P_prior,S_sensory,0.07377263182422228,0.14540298093909712,0.07163034911487484
1,prev_error,P_prior,P_prior,0.9210337319320673,0.8381608808984324,-0.08287285103363484
1,prev_error,P_prior,L_lapse,0.0051936362437104075,0.01643613816247052,0.011242501918760112
1,prev_error,L_lapse,S_sensory,0.07693475329148938,0.14971013601007946,0.07277538271859008
1,prev_error,L_lapse,P_prior,0.011359969438902426,0.026188814183144855,0.014828844744242429
1,prev_error,L_lapse,L_lapse,0.9117052772696081,0.8241010498067757,-0.08760422746283247
1,prev_conflict,S_sensory,S_sensory,0.9167883740211111,0.9386763391142203,0.021887965093109196
1,prev_conflict,S_sensory,P_prior,0.059818705156517826,0.034936621139120445,-0.02488208401739738
1,prev_conflict,S_sensory,L_lapse,0.023392920822371162,0.026387039746659274,0.002994118924288112
1,prev_conflict,P_prior,S_sensory,0.09909480098203671,0.1100501718895123,0.010955370907475587
1,prev_conflict,P_prior,P_prior,0.8932285297928326,0.8786448040263972,-0.014583725766435407
1,prev_conflict,P_prior,L_lapse,0.0076766692251304045,0.01130502408409061,0.0036283548589602053
1,prev_conflict,L_lapse,S_sensory,0.12385518473245129,0.09440793018902809,-0.0294472545434232
1,prev_conflict,L_lapse,P_prior,0.01651039764242278,0.018292975865396337,0.0017825782229735562
1,prev_conflict,L_lapse,L_lapse,0.8596344176251257,0.8872990939455755,0.027664676320449777
1,prev_coherence,S_sensory,S_sensory,0.9480509762067822,0.9044245985536293,-0.043626377653152915
1,prev_coherence,S_sensory,P_prior,0.03439185919315589,0.06054542633364836,0.026153567140492467
1,prev_coherence,S_sensory,L_lapse,0.017557164600061907,0.03502997511272226,0.017472810512660353
1,prev_coherence,P_prior,S_sensory,0.2137673891814156,0.04761247680768453,-0.1661549123737311
1,prev_coherence,P_prior,P_prior,0.7749320741703766,0.9452200531897087,0.17028797901933213
1,prev_coherence,P_prior,L_lapse,0.01130053664820798,0.007167470002606789,-0.004133066645601191
1,prev_coherence,L_lapse,S_sensory,0.17177885619899913,0.0663317032433386,-0.10544715295566053
1,prev_coherence,L_lapse,P_prior,0.017708833430444822,0.016619583263398376,-0.001089250167046446
1,prev_coherence,L_lapse,L_lapse,0.8105123103705562,0.9170487134932631,0.10653640312270696
2,coherence,S_sensory,S_sensory,0.7593579290949896,0.9755477162651209,0.21618978717013138
2,coherence,S_sensory,P_prior,0.13446032782705059,0.01494303309429796,-0.11951729473275263
2,coherence,S_sensory,L_lapse,0.1061817430779598,0.00950925064058123,-0.09667249243737858
2,coherence,P_prior,S_sensory,0.03753240893897847,0.24372035306269113,0.20618794412371266
2,coherence,P_prior,P_prior,0.9572718278201279,0.7453596177684234,-0.21191221005170446
2,coherence,P_prior,L_lapse,0.00519576324089376,0.010920029168885525,0.005724265927991765
2,coherence,L_lapse,S_sensory,0.055064839210569136,0.2756049264707605,0.22054008726019136
2,coherence,L_lapse,P_prior,0.0232803027117198,0.01425175689580848,-0.00902854581591132
2,coherence,L_lapse,L_lapse,0.9216548580777109,0.7101433166334311,-0.21151154144427975
2,prior_precision,S_sensory,S_sensory,0.8523285613644354,0.9469950475941399,0.09466648622970453
2,prior_precision,S_sensory,P_prior,0.05288187561185278,0.0413986114475274,-0.01148326416432538
2,prior_precision,S_sensory,L_lapse,0.0947895630237118,0.011606340958332708,-0.08318322206537909
2,prior_precision,P_prior,S_sensory,0.185034067379265,0.05172123129457959,-0.13331283608468542
2,prior_precision,P_prior,P_prior,0.7891150801033058,0.9459825111719447,0.15686743106863887
2,prior_precision,P_prior,L_lapse,0.025850852517429215,0.002296257533475791,-0.023554594983953424
2,prior_precision,L_lapse,S_sensory,0.3357089115798533,0.041347052555252096,-0.29436185902460116
2,prior_precision,L_lapse,P_prior,0.033964559818030975,0.008934641114962555,-0.02502991870306842
2,prior_precision,L_lapse,L_lapse,0.6303265286021159,0.9497183063297853,0.31939177772766936
2,conflict,S_sensory,S_sensory,0.9079587213643873,0.9264051064723123,0.018446385107925067
2,conflict,S_sensory,P_prior,0.05954550623627698,0.03831386179788619,-0.02123164443839079
2,conflict,S_sensory,L_lapse,0.03249577239933589,0.035281031729801446,0.002785259330465556
2,conflict,P_prior,S_sensory,0.04774152046364613,0.1983835360354143,0.15064201557176818
2,conflict,P_prior,P_prior,0.9497901746544779,0.7778164076696246,-0.17197376698485334
2,conflict,P_prior,L_lapse,0.002468304881875727,0.023800056294961052,0.021331751413085326
2,conflict,L_lapse,S_sensory,0.1363052786251703,0.12321054171508633,-0.013094736910083976
2,conflict,L_lapse,P_prior,0.01933795508095407,0.01898653314277013,-0.0003514219381839413
2,conflict,L_lapse,L_lapse,0.8443567662938758,0.8578029251421435,0.01344615884826772
2,prev_error,S_sensory,S_sensory,0.8916471127730994,0.9322106402979181,0.04056352752481873
2,prev_error,S_sensory,P_prior,0.07966295109654113,0.02830013765122498,-0.05136281344531615
2,prev_error,S_sensory,L_lapse,0.02868993613035928,0.03948922205085682,0.010799285920497542
2,prev_error,P_prior,S_sensory,0.07588962484164795,0.13241959155840033,0.05652996671675238
2,prev_error,P_prior,P_prior,0.9201370111603525,0.8518929997581732,-0.06824401140217928
2,prev_error,P_prior,L_lapse,0.003973363997999556,0.01568740868342644,0.011714044685426885
2,prev_error,L_lapse,S_sensory,0.09048087853336832,0.18165564030696277,0.09117476177359445
2,prev_error,L_lapse,P_prior,0.012979095103829746,0.027685792396294366,0.01470669729246462
2,prev_error,L_lapse,L_lapse,0.8965400263628021,0.7906585672967429,-0.10588145906605917
2,prev_conflict,S_sensory,S_sensory,0.9098379441764664,0.9235639888681078,0.013726044691641404
2,prev_conflict,S_sensory,P_prior,0.06071951429432239,0.037535363156410824,-0.023184151137911564
2,prev_conflict,S_sensory,L_lapse,0.029442541529211077,0.03890064797548149,0.009458106446270414
2,prev_conflict,P_prior,S_sensory,0.089656375198714,0.11338176322534481,0.02372538802663081
2,prev_conflict,P_prior,P_prior,0.9020502907315598,0.8790154968151622,-0.023034793916397622
2,prev_conflict,P_prior,L_lapse,0.008293334069726193,0.007602739959492873,-0.00069059411023332
2,prev_conflict,L_lapse,S_sensory,0.14521083797998902,0.11547047703485233,-0.029740360945136685
2,prev_conflict,L_lapse,P_prior,0.01825823048120962,0.020077377441178143,0.001819146959968522
2,prev_conflict,L_lapse,L_lapse,0.8365309315388013,0.8644521455239693,0.027921213985168003
2,prev_coherence,S_sensory,S_sensory,0.942479232122788,0.8851222194017065,-0.0573570127210814
2,prev_coherence,S_sensory,P_prior,0.0334805908986289,0.067580249885551,0.034099658986922105
