model,motion_coherence,prior_std,condition,metric,observed,simulated_mean,simulated_ci_low,simulated_ci_high,observed_minus_simulated,n_simulations
HMM_static,0.059999999999999901,10,0.06/10,mean_abs_error_deg,17.737253659477233,31.30612025402673,29.836146199196065,32.62848379872743,-13.568866594549499,100
HMM_static,0.059999999999999901,10,0.06/10,median_abs_error_deg,12.374004222986144,19.956105838244305,18.715827170847525,21.134056130889324,-7.5821016152581597,100
HMM_static,0.059999999999999901,10,0.06/10,mean_cos_error,0.90955306696781635,0.76177949683769175,0.74681556311537067,0.77767571287162496,0.1477735701301246,100
HMM_static,0.059999999999999901,10,0.06/10,circular_std_error_deg,24.932898047588523,42.260480345103808,40.628282840401198,43.77783207928718,-17.327582297515285,100
HMM_static,0.059999999999999901,10,0.06/10,prior_like_rate,0.3830645161290322,0.32452907735422543,0.31600837659433151,0.3352680895315639,0.0585354387748067,100
HMM_static,0.059999999999999901,20,0.06/20,mean_abs_error_deg,24.604137814291672,34.500949933830746,33.478447521771095,35.580621621444863,-9.8968121195390744,100
HMM_static,0.059999999999999901,20,0.06/20,median_abs_error_deg,18.62301713984635,25.525586603828412,24.542175953673617,26.422574101271849,-6.9025694639820649,100
HMM_static,0.059999999999999901,20,0.06/20,mean_cos_error,0.85212755658225925,0.73802576686245802,0.72446273105221748,0.75022650759177545,0.1141017897198013,100
HMM_static,0.059999999999999901,20,0.06/20,circular_std_error_deg,32.300928176239474,44.654961505265739,43.435952088853142,46.001177125014117,-12.354033329026263,100
HMM_static,0.059999999999999901,20,0.06/20,prior_like_rate,0.4992458521870286,0.4287939589833078,0.41648243643384902,0.44219524486767242,0.070451893203720806,100
HMM_static,0.059999999999999901,40,0.06/40,mean_abs_error_deg,37.29887298986673,39.960615430190543,38.99144134389465,40.841500289613002,-2.6617424403238128,100
HMM_static,0.059999999999999901,40,0.06/40,median_abs_error_deg,28.878957026433088,32.148333751321474,31.349444556441764,33.204513832941409,-3.2693767248883847,100
HMM_static,0.059999999999999901,40,0.06/40,mean_cos_error,0.70674646383236361,0.67870004960855757,0.66683585163476011,0.69120897187354846,0.0280464142238059,100
HMM_static,0.059999999999999901,40,0.06/40,circular_std_error_deg,47.67006392477964,50.440893937587681,49.241629870956963,51.577479538692394,-2.770830012808041,100
