model,baseline,n_sequences,observed_delta_ll_per_trial,ci_low,ci_high,bootstrap_mean,bootstrap_sd,p_delta_le_0
Covariate_HMM,Independent_switching,388,0.09194397401501943,0.080956309342146,0.10389965361880517,0.091943297914239,0.005970257006223988,0.0
HMM_static,Independent_switching,388,0.06211016878587567,0.049832619103437836,0.0756122414180294,0.06247360836824214,0.006770609808666114,0.0
Serial_both_independent_switching,Independent_switching,388,0.00013689433327632042,-0.00010350037644740089,0.00037158217561035836,0.00013755556316465462,0.00011781586913898097,0.111
Serial_resp_independent_switching,Independent_switching,388,6.74636769394951e-05,-0.00014948040730658184,0.00028708685152248163,6.934054479092648e-05,0.00011292093063364127,0.272
Serial_stim_independent_switching,Independent_switching,388,-1.4341807324260282e-05,-0.00010518343983550126,8.810590333527095e-05,-1.1420603123844877e-05,5.06283523643055e-05,0.595
