model,folds,mean_test_ll_per_trial,se_test_ll_per_trial,mean_test_ll,delta_from_best_per_trial
Covariate_HMM,4,-0.8133287026433365,0.011160901108272439,-16919.55661266289,0.0
HMM_static,4,-0.8431713184797638,0.009812918115465344,-17540.174345942156,-0.029842615836427333
Serial_both_independent_switching,4,-0.9051308527766548,0.016507350777528147,-18829.37338774235,-0.09180215013331838
Serial_resp_independent_switching,4,-0.905200269704148,0.016469712375181262,-18830.817718970797,-0.09187156706081157
Independent_switching,4,-0.9052677071974332,0.016406314413997664,-18832.22113211033,-0.09193900455409676
Serial_stim_independent_switching,4,-0.9052819924049156,0.016464478320172678,-18832.519477557194,-0.09195328976157913
