,S_sensory,P_prior,L_lapse
S_sensory,0.842677228258593,0.07982616331185752,0.07749660842954721
P_prior,0.19449860216682557,0.7766682489021678,0.02883314893100894
L_lapse,0.20289541949193426,0.018705806573092152,0.7783987739349834
