covariate,previous_state,next_state,prob_at_minus_1sd,prob_at_plus_1sd,delta_plus_minus
coherence,S_sensory,S_sensory,0.7748876965337342,0.9795773494709334,0.2046896529371992
coherence,S_sensory,P_prior,0.13907606913171244,0.013706699670559479,-0.12536936946115296
coherence,S_sensory,L_lapse,0.08603623433455333,0.006715950858507071,-0.07932028347604626
coherence,P_prior,S_sensory,0.038619957206564685,0.24780041440359357,0.20918045719702888
coherence,P_prior,P_prior,0.95609159976654,0.7417224529479655,-0.21436914681857455
coherence,P_prior,L_lapse,0.005288443026895541,0.010477132648440947,0.005188689621545406
coherence,L_lapse,S_sensory,0.04821032554503313,0.24340071639813146,0.19519039085309833
coherence,L_lapse,P_prior,0.02366438953741176,0.00960769837450559,-0.014056691162906169
coherence,L_lapse,L_lapse,0.9281252849175552,0.7469915852273629,-0.18113369969019233
prior_precision,S_sensory,S_sensory,0.8447772128488742,0.9545447011849859,0.10976748833611172
prior_precision,S_sensory,P_prior,0.05119770769586507,0.03955448639373502,-0.011643221302130052
prior_precision,S_sensory,L_lapse,0.10402507945526072,0.005900812421278954,-0.09812426703398178
prior_precision,P_prior,S_sensory,0.18749631635716107,0.05401166703947832,-0.13348464931768275
prior_precision,P_prior,P_prior,0.7963210727875369,0.9423651673405354,0.1460440945529985
prior_precision,P_prior,L_lapse,0.016182610855301975,0.003623165619986289,-0.012559445235315686
prior_precision,L_lapse,S_sensory,0.33085488014070763,0.03181842036606173,-0.2990364597746459
prior_precision,L_lapse,P_prior,0.019823382782863174,0.010289425868864872,-0.009533956913998302
prior_precision,L_lapse,L_lapse,0.6493217370764293,0.9578921537650734,0.30857041668864416
conflict,S_sensory,S_sensory,0.9197523630091723,0.9343691496826608,0.014616786673488535
conflict,S_sensory,P_prior,0.05625430783659933,0.03836554942748817,-0.01788875840911116
conflict,S_sensory,L_lapse,0.023993329154228474,0.02726530088985104,0.003271971735622565
conflict,P_prior,S_sensory,0.0483903617360626,0.2039972903725614,0.1556069286364988
conflict,P_prior,P_prior,0.949368094686555,0.7705055068960099,-0.1788625877905451
conflict,P_prior,L_lapse,0.0022415435773825384,0.025497202731428754,0.023255659154046215
conflict,L_lapse,S_sensory,0.11947541307185604,0.10741415735792625,-0.012061255713929783
conflict,L_lapse,P_prior,0.015390412526627548,0.016156324050997213,0.0007659115243696651
conflict,L_lapse,L_lapse,0.8651341744015163,0.8764295185910763,0.01129534418956002
prev_error,S_sensory,S_sensory,0.8966040016229028,0.9440301428692424,0.04742614124633959
prev_error,S_sensory,P_prior,0.08193869206469817,0.025942110893066424,-0.05599658117163175
prev_error,S_sensory,L_lapse,0.02145730631239911,0.030027746237691028,0.008570439925291919
prev_error,P_prior,S_sensory,0.07644518428536003,0.13750040501439598,0.06105522072903595
prev_error,P_prior,P_prior,0.9196378268242447,0.8469629148225466,-0.07267491200169807
prev_error,P_prior,L_lapse,0.003916988890395112,0.015536680163057292,0.011619691272662179
prev_error,L_lapse,S_sensory,0.07896371361739199,0.1594213998324051,0.08045768621501312
prev_error,L_lapse,P_prior,0.01013544850479423,0.024064894448802106,0.013929445944007876
prev_error,L_lapse,L_lapse,0.910900837877814,0.8165137057187928,-0.09438713215902117
prev_conflict,S_sensory,S_sensory,0.9188470301303017,0.9346272074891256,0.015780177358823977
prev_conflict,S_sensory,P_prior,0.05791875743877431,0.03723661578180814,-0.02068214165696617
prev_conflict,S_sensory,L_lapse,0.023234212430924085,0.02813617672906612,0.004901964298142034
prev_conflict,P_prior,S_sensory,0.09452356256266145,0.11269757955637963,0.01817401699371818
prev_conflict,P_prior,P_prior,0.8981351754132211,0.8789012382912659,-0.019233937121955202
prev_conflict,P_prior,L_lapse,0.0073412620241174245,0.008401182152354539,0.0010599201282371143
prev_conflict,L_lapse,S_sensory,0.12551423286105115,0.10214373070081861,-0.023370502160232537
prev_conflict,L_lapse,P_prior,0.01513547133004793,0.016411999380745265,0.001276528050697336
prev_conflict,L_lapse,L_lapse,0.859350295808901,0.8814442699184363,0.022093974109535286
prev_coherence,S_sensory,S_sensory,0.9480059928171694,0.9008144792930056,-0.04719151352416373
prev_coherence,S_sensory,P_prior,0.03385202171104082,0.06335335731591382,0.029501335604873002
prev_coherence,S_sensory,L_lapse,0.01814198547178993,0.03583216339108059,0.017690177919290662
prev_coherence,P_prior,S_sensory,0.20267004927704704,0.04954293883915629,-0.15312711043789076
prev_coherence,P_prior,P_prior,0.7879844078594811,0.9442365902972252,0.15625218243774408
prev_coherence,P_prior,L_lapse,0.009345542863471633,0.006220470863618459,-0.0031250719998531734
prev_coherence,L_lapse,S_sensory,0.17473714606220803,0.07159085612565531,-0.10314628993655271
prev_coherence,L_lapse,P_prior,0.015761647794691483,0.015377789976447748,-0.0003838578182437345
prev_coherence,L_lapse,L_lapse,0.8095012061431004,0.9130313538978971,0.10353014775479674
