fold,model,seq_id,subject_id,session_id,run_id,prior_std,n_test,test_ll,test_ll_per_trial
1,Serial_resp_independent_switching,133,4.0,3.0,13.0,10.0,213,-42.22685890404571,-0.1982481638687592
1,Serial_resp_independent_switching,137,4.0,4.0,17.0,40.0,207,-164.93617847103732,-0.7967931327103253
1,Serial_resp_independent_switching,139,4.0,5.0,19.0,20.0,215,-102.2162795637831,-0.47542455611061907
1,Serial_resp_independent_switching,143,4.0,5.0,23.0,80.0,187,-204.95357692631035,-1.096008432761018
1,Serial_resp_independent_switching,144,5.0,1.0,1.0,80.0,215,-271.28585820296564,-1.2617946893161192
1,Serial_resp_independent_switching,148,5.0,2.0,5.0,20.0,215,-242.9521091409896,-1.130009809958091
1,Serial_resp_independent_switching,151,5.0,2.0,8.0,80.0,215,-259.5615985063628,-1.2072632488668038
1,Serial_resp_independent_switching,159,5.0,4.0,16.0,40.0,202,-385.3972567815794,-1.9079072117899971
1,Serial_resp_independent_switching,160,5.0,4.0,17.0,80.0,226,-294.0324414550056,-1.301028502013299
1,Serial_resp_independent_switching,165,5.0,5.0,22.0,10.0,221,-437.3308351731613,-1.9788725573446213
1,Serial_resp_independent_switching,168,5.0,6.0,25.0,40.0,202,-392.3058039640181,-1.9421079404159312
1,Serial_resp_independent_switching,174,6.0,1.0,4.0,40.0,202,-311.1171832085698,-1.5401840752899496
1,Serial_resp_independent_switching,180,6.0,2.0,10.0,80.0,226,-342.0755849215597,-1.5136087828387599
1,Serial_resp_independent_switching,182,6.0,3.0,12.0,10.0,221,-89.52166181608185,-0.4050753928329495
1,Serial_resp_independent_switching,184,6.0,3.0,14.0,40.0,202,-167.33258223512686,-0.8283791199758755
1,Serial_resp_independent_switching,185,6.0,3.0,15.0,80.0,226,-267.7294937465114,-1.1846437776394312
1,Serial_resp_independent_switching,187,6.0,4.0,17.0,20.0,204,-108.18498015281037,-0.5303185301608352
1,Serial_resp_independent_switching,191,6.0,5.0,21.0,80.0,226,-262.16993058037883,-1.1600439406211454
1,Serial_resp_independent_switching,196,6.0,6.0,26.0,10.0,221,-75.74601234436717,-0.34274213730482883
1,Serial_resp_independent_switching,202,6.0,7.0,32.0,20.0,204,-109.58986053215128,-0.5372051986870161
1,Serial_resp_independent_switching,207,7.0,1.0,2.0,40.0,207,-162.25888859181083,-0.7838593651778301
1,Serial_resp_independent_switching,210,7.0,2.0,5.0,80.0,215,-220.16192965238918,-1.0240089751273915
1,Serial_resp_independent_switching,217,7.0,3.0,12.0,20.0,215,-88.52177793901582,-0.41172919971635263
1,Serial_resp_independent_switching,219,7.0,4.0,14.0,80.0,226,-247.77790116712464,-1.0963623945447993
1,Serial_resp_independent_switching,230,7.0,6.0,25.0,40.0,202,-172.1070883393522,-0.8520152888086743
1,Serial_resp_independent_switching,231,7.0,6.0,26.0,10.0,221,-41.23475175654762,-0.18658258713369963
1,Serial_resp_independent_switching,232,7.0,6.0,27.0,80.0,226,-249.29829775262374,-1.1030898130647069
1,Serial_resp_independent_switching,241,8.0,3.0,9.0,40.0,207,-189.4083138692181,-0.9150160090300391
1,Serial_resp_independent_switching,244,8.0,3.0,12.0,80.0,215,-279.03343495833747,-1.297829930038779
1,Serial_resp_independent_switching,245,8.0,4.0,13.0,80.0,226,-409.3806439897211,-1.81141877871558
1,Serial_resp_independent_switching,253,8.0,5.0,21.0,20.0,204,-275.5591225615259,-1.3507800125564995
1,Serial_resp_independent_switching,258,8.0,6.0,26.0,80.0,226,-321.2088158030238,-1.4212779460310787
1,Serial_resp_independent_switching,259,8.0,6.0,27.0,10.0,221,-195.16144822463582,-0.8830834761295738
1,Serial_resp_independent_switching,261,9.0,1.0,2.0,20.0,204,-93.88403533161716,-0.4602158594687116
1,Serial_resp_independent_switching,262,9.0,1.0,3.0,80.0,226,-244.15204727646056,-1.080318793258675
1,Serial_resp_independent_switching,270,9.0,3.0,11.0,10.0,221,-111.80989261567267,-0.5059271159080211
1,Serial_resp_independent_switching,271,9.0,3.0,12.0,80.0,226,-254.7434181188252,-1.1271832660125007
1,Serial_resp_independent_switching,273,9.0,3.0,14.0,40.0,202,-212.41838954960807,-1.0515761858891488
1,Serial_resp_independent_switching,283,9.0,5.0,24.0,80.0,226,-272.4886865657023,-1.2057021529455856
