covariate,previous_state,next_state,prob_at_minus_1sd,prob_at_plus_1sd,delta_plus_minus,ci_low,ci_high,bootstrap_mean,bootstrap_sd,p_effect_le_0,p_two_sided,n_sequences,method
coherence,S_sensory,S_sensory,0.7748876965337342,0.9795773494709334,0.2046896529371992,0.1944840411277227,0.21637969757486122,0.20515874234565704,0.0056561173304036,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
coherence,S_sensory,P_prior,0.13907606913171244,0.013706699670559479,-0.12536936946115296,-0.13420131555613704,-0.11692536524456908,-0.1255151710474109,0.004431164547195129,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
coherence,S_sensory,L_lapse,0.08603623433455333,0.006715950858507071,-0.07932028347604626,-0.09308391208794299,-0.06738292903574979,-0.07964357129824613,0.006661647206015071,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
coherence,P_prior,S_sensory,0.038619957206564685,0.24780041440359357,0.20918045719702888,0.19713794881434737,0.22124459834060298,0.20899451820326606,0.006275352535946322,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
coherence,P_prior,P_prior,0.95609159976654,0.7417224529479655,-0.21436914681857455,-0.22632649592034138,-0.20311350237821552,-0.214206785828596,0.006246731229058444,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
coherence,P_prior,L_lapse,0.005288443026895541,0.010477132648440947,0.005188689621545406,0.0038861432009944423,0.006813938914535547,0.005212267625329914,0.0007431163494868636,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
coherence,L_lapse,S_sensory,0.04821032554503313,0.24340071639813146,0.19519039085309833,0.17274491996291505,0.2199552275597849,0.19477485186976393,0.012243666883919901,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
coherence,L_lapse,P_prior,0.02366438953741176,0.00960769837450559,-0.014056691162906169,-0.01844894869840109,-0.010594702781364712,-0.014076557568564416,0.0020085324726486415,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
coherence,L_lapse,L_lapse,0.9281252849175552,0.7469915852273629,-0.18113369969019233,-0.20369057244672853,-0.16028827064118242,-0.18069829430119952,0.011247902785036179,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prior_precision,S_sensory,S_sensory,0.8447772128488742,0.9545447011849859,0.10976748833611172,0.09615701431860427,0.12371223736815978,0.10970566244397524,0.007158996652401425,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prior_precision,S_sensory,P_prior,0.05119770769586507,0.03955448639373502,-0.011643221302130052,-0.01830473543324968,-0.004389318550465381,-0.011521616714171033,0.0035547543510431466,0.998,0.0040000000000000036,388,conditional sequence-cluster multiplier bootstrap
prior_precision,S_sensory,L_lapse,0.10402507945526072,0.005900812421278954,-0.09812426703398178,-0.11213670351190862,-0.08552036506104778,-0.09818404572980421,0.0070075351762153995,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prior_precision,P_prior,S_sensory,0.18749631635716107,0.05401166703947832,-0.13348464931768275,-0.14976191791251006,-0.1170061764007719,-0.13351219930605837,0.008607697221134454,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prior_precision,P_prior,P_prior,0.7963210727875369,0.9423651673405354,0.1460440945529985,0.1277947992866784,0.16386951960907,0.14612181329370458,0.009333440262570963,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prior_precision,P_prior,L_lapse,0.016182610855301975,0.003623165619986289,-0.012559445235315686,-0.016658773061780433,-0.00843017480367339,-0.012609613987646207,0.0021519746978802263,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prior_precision,L_lapse,S_sensory,0.33085488014070763,0.03181842036606173,-0.2990364597746459,-0.3335874339761999,-0.2639705829344963,-0.2989310707115235,0.017481135065182254,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prior_precision,L_lapse,P_prior,0.019823382782863174,0.010289425868864872,-0.009533956913998302,-0.01592615988400053,-0.0006580349991425664,-0.009248968746509118,0.0037952590280144857,0.982,0.03600000000000003,388,conditional sequence-cluster multiplier bootstrap
prior_precision,L_lapse,L_lapse,0.6493217370764293,0.9578921537650734,0.30857041668864416,0.2677620633510508,0.3460581720704771,0.30818003945803263,0.019925446216508064,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
conflict,S_sensory,S_sensory,0.9197523630091723,0.9343691496826608,0.014616786673488535,0.010359240209713702,0.01880665108564434,0.014615914089635468,0.002261568654652515,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
conflict,S_sensory,P_prior,0.05625430783659933,0.03836554942748817,-0.01788875840911116,-0.02118846515956313,-0.014450222564246967,-0.01788940002004279,0.0017791331507092131,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
conflict,S_sensory,L_lapse,0.023993329154228474,0.02726530088985104,0.003271971735622565,0.0016152015346697507,0.005091384900080789,0.0032734859304073137,0.0008995586387395062,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
conflict,P_prior,S_sensory,0.0483903617360626,0.2039972903725614,0.1556069286364988,0.13683848847654279,0.17558838235702107,0.1555021586001642,0.009974175637196072,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
conflict,P_prior,P_prior,0.949368094686555,0.7705055068960099,-0.1788625877905451,-0.1995043138852062,-0.1583433351402074,-0.1788060344709463,0.010811830927537574,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
conflict,P_prior,L_lapse,0.0022415435773825384,0.025497202731428754,0.023255659154046215,0.01925069325366215,0.027777019587572727,0.02330387587078213,0.0021962682419918796,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
conflict,L_lapse,S_sensory,0.11947541307185604,0.10741415735792625,-0.012061255713929783,-0.02047746364599865,-0.0034236574986838226,-0.011813353678929146,0.004328905959753373,0.999,0.0020000000000000018,388,conditional sequence-cluster multiplier bootstrap
conflict,L_lapse,P_prior,0.015390412526627548,0.016156324050997213,0.0007659115243696651,-0.001274063319851317,0.002648238706395977,0.0007901885191111424,0.0010300968088157295,0.217,0.434,388,conditional sequence-cluster multiplier bootstrap
conflict,L_lapse,L_lapse,0.8651341744015163,0.8764295185910763,0.01129534418956002,0.0019607673397651045,0.020655875382845214,0.011023165159817995,0.004660643617720212,0.004,0.008,388,conditional sequence-cluster multiplier bootstrap
prev_error,S_sensory,S_sensory,0.8966040016229028,0.9440301428692424,0.04742614124633959,0.04246111149873187,0.05273935949248684,0.04748923371447338,0.002619448450012336,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_error,S_sensory,P_prior,0.08193869206469817,0.025942110893066424,-0.05599658117163175,-0.060871446624786725,-0.05169695940346646,-0.05609606114541362,0.00234695042811138,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_error,S_sensory,L_lapse,0.02145730631239911,0.030027746237691028,0.008570439925291919,0.006401610943646227,0.011070346476069318,0.008606827430940234,0.001221031511126684,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_error,P_prior,S_sensory,0.07644518428536003,0.13750040501439598,0.06105522072903595,0.05066812770729524,0.07187350057186381,0.060799104325117106,0.005586086097555393,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_error,P_prior,P_prior,0.9196378268242447,0.8469629148225466,-0.07267491200169807,-0.08465022928439633,-0.06127576470247781,-0.07242587334956091,0.006144583103549997,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_error,P_prior,L_lapse,0.003916988890395112,0.015536680163057292,0.011619691272662179,0.009446508283733841,0.014213879700129372,0.011626769024443817,0.0012478993923445796,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_error,L_lapse,S_sensory,0.07896371361739199,0.1594213998324051,0.08045768621501312,0.07093151817347901,0.09039211620561148,0.08029655477665625,0.004930190248902771,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_error,L_lapse,P_prior,0.01013544850479423,0.024064894448802106,0.013929445944007876,0.011131317409460077,0.017384001430107553,0.013988192295842536,0.0015870113056683157,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_error,L_lapse,L_lapse,0.910900837877814,0.8165137057187928,-0.09438713215902117,-0.10727089822963003,-0.08237935599901619,-0.09428474707249879,0.0061560663065491645,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,S_sensory,S_sensory,0.9188470301303017,0.9346272074891256,0.015780177358823977,0.012258515809763105,0.019430499594804588,0.015707507714793838,0.001872656240668686,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,S_sensory,P_prior,0.05791875743877431,0.03723661578180814,-0.02068214165696617,-0.023761592898022092,-0.01779553821972943,-0.020672041463336472,0.0016036606901838983,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,S_sensory,L_lapse,0.023234212430924085,0.02813617672906612,0.004901964298142034,0.0035291089195501426,0.00666875228065562,0.004964533748542639,0.0007963551925069176,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,P_prior,S_sensory,0.09452356256266145,0.11269757955637963,0.01817401699371818,0.004168763448119246,0.03203942592794024,0.018376880882631463,0.006870800439383176,0.007,0.014,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,P_prior,P_prior,0.8981351754132211,0.8789012382912659,-0.019233937121955202,-0.033382972917613156,-0.003844020471588289,-0.01949293854974766,0.007293356154568394,0.992,0.016000000000000014,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,P_prior,L_lapse,0.0073412620241174245,0.008401182152354539,0.0010599201282371143,-0.0006061631724611411,0.0029693994382357118,0.0011160576671161984,0.0008958754379380119,0.104,0.208,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,L_lapse,S_sensory,0.12551423286105115,0.10214373070081861,-0.023370502160232537,-0.031033743288308116,-0.016443849240940688,-0.02350152901917594,0.00367625351826919,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,L_lapse,P_prior,0.01513547133004793,0.016411999380745265,0.001276528050697336,-0.0006892518801443714,0.0034178657971848697,0.0012986808061430744,0.0010465889393009287,0.105,0.21,388,conditional sequence-cluster multiplier bootstrap
prev_conflict,L_lapse,L_lapse,0.859350295808901,0.8814442699184363,0.022093974109535286,0.014592079407813785,0.03060880191803728,0.02220284821303286,0.00409048189941601,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_coherence,S_sensory,S_sensory,0.9480059928171694,0.9008144792930056,-0.04719151352416373,-0.05100085255399352,-0.04369365302822788,-0.04728386012101907,0.0018715901665229157,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_coherence,S_sensory,P_prior,0.03385202171104082,0.06335335731591382,0.029501335604873002,0.026798820288185185,0.03227128503139869,0.02950224006603884,0.001396915156065442,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_coherence,S_sensory,L_lapse,0.01814198547178993,0.03583216339108059,0.017690177919290662,0.014556869906105118,0.021431378657365673,0.017781620054980227,0.0017597153063258898,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_coherence,P_prior,S_sensory,0.20267004927704704,0.04954293883915629,-0.15312711043789076,-0.1628171332514636,-0.14395969911633835,-0.1530749297034313,0.00487130775770675,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_coherence,P_prior,P_prior,0.7879844078594811,0.9442365902972252,0.15625218243774408,0.14678881039223973,0.1663246340839601,0.15618035790740556,0.0049353287506138524,0.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_coherence,P_prior,L_lapse,0.009345542863471633,0.006220470863618459,-0.0031250719998531734,-0.004370160074549216,-0.001905273757466136,-0.003105428203974228,0.0006425944446549634,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_coherence,L_lapse,S_sensory,0.17473714606220803,0.07159085612565531,-0.10314628993655271,-0.11643590346791775,-0.08899787457178371,-0.1029783425425335,0.007028410083013794,1.0,0.0,388,conditional sequence-cluster multiplier bootstrap
prev_coherence,L_lapse,P_prior,0.015761647794691483,0.015377789976447748,-0.0003838578182437345,-0.0030486511136594142,0.0025831055243124685,-0.0003647558562845548,0.0014540206714528687,0.618,0.764,388,conditional sequence-cluster multiplier bootstrap
