subject_id,n_sequences,n_trials,train_ll,ll_per_trial,converged,n_iter,A_SS,A_SP,A_SL,A_PS,A_PP,A_PL,A_LS,A_LP,A_LL,stationary_S,stationary_P,stationary_L,persistence_excess_S,persistence_excess_P,kappaS_0.06,kappaS_0.12,kappaS_0.24,kappaP_10,kappaP_20,kappaP_40,kappaP_80
1,40,8562,-3932.115751181991,-0.4592520148542386,True,106,0.8401163432427508,0.15302575830765078,0.006857898449598508,0.38465499347347837,0.615343799100738,1.207425783654518e-06,0.8736148226932634,0.0002244764889694127,0.12616070081776715,0.7114005317763193,0.28301599958214274,0.005583468641537903,0.1287158114664314,0.33232779951859526,5.38485090544725,11.791890772839603,29.567474561040736,115.7773247669393,45.444420663277185,17.100881426413125,1.205838533678336
2,37,7877,-4410.716465713624,-0.5599487705615873,True,51,0.5807779799061193,0.3546420073451361,0.06458001274874463,0.1857825017834194,0.7967004167674929,0.017517081449087597,0.24711719353405437,0.11018399572018013,0.6426988107457655,0.3158345133472631,0.5977738083814265,0.0863916782713106,0.26494346655885626,0.19892660838606646,2.3324057519757915,5.10304437017147,12.945056885845505,70.51602168808829,34.94845675759811,15.573208455998387,19.36319658647575
3,44,9412,-4406.63828139036,-0.4681936125574118,True,73,0.9426455356190001,0.031222639495192432,0.026131824885807453,0.04870274585048312,0.9512967374222343,5.167272824957693e-07,0.9526589783144533,1.5376671193803058e-05,0.047325645014352886,0.5993342643156261,0.38422580896528613,0.0164399267190878,0.343311271303374,0.5670709284569482,2.596241520604221,9.236662227231555,26.446657310905074,28.65531287404877,16.115968190376336,10.315688368111898,24.359533684423898
4,23,4799,-3710.7911192362158,-0.7732425753774153,True,42,0.9002598234260405,0.03497339522505122,0.06476678134890827,0.03530964631422887,0.9646892815418732,1.0721438978323676e-06,0.8353321290774424,2.782560100290706e-05,0.1646400453215547,0.4835494177800211,0.47895961470234866,0.03749096751763019,0.4167104056460194,0.4857296668395245,1.6750271034634925,4.6828185283838595,10.179203180567155,20.608515950547673,12.074794331662812,6.137863958350514,2.31771778251042
5,27,5789,-7395.606883191126,-1.2775275320765462,True,176,0.9525344333217182,0.0341426791821401,0.013322887496141661,0.9658683756966524,0.03409939653865261,3.222776469508078e-05,0.18266253722430847,1.4953756013699872e-05,0.8173225090196778,0.9022936970864341,0.03189531949630991,0.06581098341725586,0.05024073623528402,0.0022040770423427045,1.1206965766845363,3.176458443654241,9.106003813006286,148.7061844801458,1e-08,0.3403118594677167,1e-08
6,35,7553,-6867.38976116305,-0.9092267656776182,True,56,0.9781492304071213,0.006202956571361133,0.01564781302151751,0.006099553442847866,0.9938998127773816,6.337797705362426e-07,0.34252671714191224,0.008879803859845874,0.6485934789982419,0.47032262922168094,0.5087334140019476,0.02094395677637156,0.5078266011854404,0.485166398775434,1.2693049816293467,3.2530366876291072,13.05816391038479,10.755383595023458,7.932633153992685,4.468095609046217,1e-08
7,27,5797,-3748.114545962509,-0.6465610739973278,True,47,0.9477547521965799,0.008441781798698879,0.04380346600472124,0.013949681819743268,0.9860457222419796,4.595938277118449e-06,0.900481724937246,1.9749853067428847e-05,0.09949852520968654,0.6047135642396038,0.3658692362245944,0.029417199535801863,0.34304118795697613,0.6201764860173853,1.9100900920497215,6.251164028113727,16.66068205162178,27.09475413299861,11.943747223611728,10.808908890370162,1.2017760323074491
8,27,5797,-7107.9554970527315,-1.2261437807577595,True,174,0.7790151201123925,0.016742602868613444,0.20424227701899397,0.015804511777257023,0.9841930807775788,2.4074451640523733e-06,0.6816249480765999,1.9609642680539763e-05,0.31835544228071966,0.42387220028839717,0.44912069079393485,0.12700710891766795,0.3551429198239953,0.535072389983644,0.8035701445355173,2.1481652441952552,9.034058647329681,7.707414435992216,4.066596327964259,3.366668036294756,2.140501667505913
9,40,8632,-7422.561570170577,-0.859888967814015,True,95,0.9043984366744255,0.04906504626030951,0.046536517065264876,0.10743292176957216,0.8910423915972482,0.0015246866331796126,0.8279425435833975,1.3859511820464766e-05,0.17204359690478202,0.6634132098758301,0.2987485199921854,0.03783827013198445,0.24098522679859546,0.5922938716050627,1.6773350796555064,5.365787396045127,16.284497582384947,13.922535784898777,11.719698823979556,9.849547340567007,7.355796334913156
10,28,6044,-6170.883876553897,-1.0209933614417432,True,296,0.8027372468296006,0.016372679598428214,0.18089007357197132,0.011095857831708739,0.966492079606175,0.022412062562116378,0.8018323827867088,0.09487132286877814,0.10329629434451316,0.42181374889078316,0.48107088263279957,0.09711536847641743,0.3809234979388174,0.48542119697337544,1.1204212793281823,2.6310866734756315,8.336151368028045,17.551456314444785,16.120342529831685,7.499756504936083,0.39748569456214156
11,30,6474,-5272.061898294763,-0.8143438211762067,True,43,0.9385298427414085,0.030570928033659513,0.03089922922493177,0.06697870011350796,0.9324199838471215,0.0006013160393705308,0.846367530799538,0.04388459874549819,0.10974787045496377,0.6621890423678053,0.3146149288578946,0.023196028774300017,0.2763408003736032,0.6178050549892269,1.4836972259138739,3.8105606948214135,15.773437787333359,21.070291054821443,15.235667998368596,14.135121505977992,29.316326364451026
12,30,6474,-6122.725939071995,-0.9457407999802278,True,50,0.8414090741180266,0.04430361255837492,0.1142873133235986,0.040825395655790186,0.9559658220153564,0.003208782328853485,0.5464729825557221,0.0060608864312573585,0.4474661310130206,0.44478613468394007,0.46053879826515076,0.0946750670509092,0.3966229394340865,0.49542702375020564,1.169821373140886,3.2759565043670777,8.057709468168772,16.76983901284317,10.941184108235639,7.212727026314156,6.745024670502163
