fold,model,n_train,n_test,train_ll,test_ll,test_ll_per_trial,converged,n_iter,seed,A_SS,A_PP,A_LL,alpha_stim,alpha_resp,avg_A_SS,avg_A_PP,avg_A_LL
1,HMM_static,62417,20793,-52983.99293472487,-17134.596285620522,-0.8240559941143906,True,32,1112,0.9407635366577678,0.9601058747176697,0.7186683618440958,,,,,
1,Independent_switching,62417,20793,-56790.450400553906,-18288.691585308316,-0.8795600243018475,True,26,2113,,,,,,,,
1,Serial_stim_independent_switching,62417,20793,-56789.93277533637,-18286.543223260458,-0.8794567028933035,True,41,3112,,,,-0.001893928028178672,0.0,,,
1,Serial_resp_independent_switching,62417,20793,-56784.48423389771,-18283.580879531095,-0.879314234575631,True,48,3113,,,,0.0,0.006635492388475237,,,
1,Serial_both_independent_switching,62417,20793,-56779.30678074676,-18282.47547017032,-0.8792610720035743,True,45,3101,,,,-0.007720082200091891,0.0104991360644116,,,
1,Covariate_HMM,62417,20793,-51177.19838276936,-16402.801635513733,-0.788861714784482,True,52,4102,,,,,,0.8465555223179851,0.7739657624317807,0.7739067083635973
2,HMM_static,62463,20747,-52805.376442102184,-17307.17861389768,-0.8342015045017438,True,29,1222,0.9339291008444031,0.9660096020604934,0.6555854453230769,,,,,
2,Independent_switching,62463,20747,-56806.16199142218,-18264.387247711184,-0.8803387115106369,True,24,2213,,,,,,,,
2,Serial_stim_independent_switching,62463,20747,-56805.87825962385,-18263.36606698904,-0.8802894908656211,True,35,3206,,,,0.0008697827518194663,0.0,,,
2,Serial_resp_independent_switching,62463,20747,-56796.86758764855,-18263.081878476878,-0.8802757930533031,True,35,3211,,,,0.0,0.008330685924606588,,,
2,Serial_both_independent_switching,62463,20747,-56794.68114812707,-18259.660295072048,-0.8801108736237552,True,49,3211,,,,-0.0050108446764272835,0.010806482726159493,,,
2,Covariate_HMM,62463,20747,-50934.80994523851,-16649.9226364623,-0.8025219374590206,True,50,4200,,,,,,0.8397309151731229,0.775944913229833,0.7648557315374648
3,HMM_static,62328,20882,-52471.93655358035,-17638.157076079457,-0.8446584175883276,True,33,1302,0.936764914311937,0.960264118108659,0.7008018641783519,,,,,
3,Independent_switching,62328,20882,-56016.25731957535,-19051.543107302197,-0.9123428362849438,True,46,2308,,,,,,,,
3,Serial_stim_independent_switching,62328,20882,-56015.815220187564,-19052.43987268075,-0.9123857807049491,True,29,3313,,,,0.0011916105018927748,0.0,,,
3,Serial_resp_independent_switching,62328,20882,-56006.728706574286,-19049.89013603262,-0.9122636785764112,True,37,3308,,,,0.0,0.008431815489820008,,,
3,Serial_both_independent_switching,62328,20882,-56004.70955967201,-19047.298892511477,-0.9121395887612047,True,57,3304,,,,-0.004883733529070407,0.010926115205475517,,,
3,Covariate_HMM,62328,20882,-50400.74182262854,-17167.06094691999,-0.8220985033483379,True,38,4302,,,,,,0.8407276992509795,0.7729469117693579,0.7817761679062865
4,HMM_static,62422,20788,-52028.87218345623,-18080.765408170966,-0.8697693577145933,True,30,1416,0.9369114757212168,0.9670869108663251,0.6577542237628208,,,,,
4,Independent_switching,62422,20788,-55383.87205190998,-19724.26258811963,-0.9488292566923047,True,56,2414,,,,,,,,
4,Serial_stim_independent_switching,62422,20788,-55383.32206108503,-19727.72874729853,-0.9489959951557885,True,38,3402,,,,-0.0012293263549830828,0.0,,,
4,Serial_resp_independent_switching,62422,20788,-55373.13023734414,-19726.717981842598,-0.9489473726112467,True,43,3410,,,,0.0,0.008868205317219043,,,
4,Serial_both_independent_switching,62422,20788,-55367.06445012127,-19728.05889321556,-0.9490118767180854,True,54,3407,,,,-0.00827278956925942,0.012995912650189134,,,
4,Covariate_HMM,62422,20788,-50119.30726862553,-17458.441231755532,-0.8398326549815053,True,48,4403,,,,,,0.8411727461449389,0.7818172036688077,0.7743666576744036
