iteration,log_likelihood
1,-3727.301361341587
2,-3151.9202477605504
3,-3052.685485700679
4,-2979.776301693641
5,-2939.276773468964
6,-2913.4395564295273
7,-2894.098460912795
8,-2879.252987104218
9,-2868.2191835488165
10,-2860.296897127109
11,-2854.715172870483
12,-2850.8437867002417
13,-2848.202141962688
14,-2846.406487975318
15,-2845.1715546677547
16,-2844.306775685591
17,-2843.6907931064416
18,-2843.245334622376
19,-2842.9179157564627
20,-2842.6724264116115
21,-2842.484032715338
22,-2842.3358498821767
23,-2842.2164730569802
24,-2842.118176816757
25,-2842.0356731086745
26,-2841.9652858946297
27,-2841.904411324185
28,-2841.8511657056197
29,-2841.80415520223
30,-2841.7623242119635
31,-2841.7248547067625
32,-2841.691098706469
33,-2841.660532411752
34,-2841.6327245907937
35,-2841.607314425756
36,-2841.5839957025937
37,-2841.5625053069402
38,-2841.5426146854593
39,-2841.524123383183
40,-2841.5068540612187
41,-2841.490648592351
42,-2841.475364960265
43,-2841.4608747742877
44,-2841.4470612708205
45,-2841.4338177140617
46,-2841.421046138213
47,-2841.408656394701
48,-2841.3965654832973
49,-2841.3846971556172
50,-2841.3729817838334
51,-2841.3613564855054
52,-2841.349765485965
53,-2841.338160681813
54,-2841.3265023423387
55,-2841.3147598510486
56,-2841.302912351111
57,-2841.290949122209
58,-2841.2788694927553
59,-2841.2666820895192
60,-2841.2544032556407
61,-2841.2420545290793
62,-2841.229659157037
63,-2841.217237710374
64,-2841.2048029260973
65,-2841.1923539222394
66,-2841.17986988031
67,-2841.16730318113
68,-2841.1545718405932
69,-2841.1415509888043
70,-2841.128063192691
71,-2841.113867858886
72,-2841.098651156976
73,-2841.082020460616
74,-2841.0635118238615
75,-2841.04262522089
76,-2841.0189067192114
77,-2840.9920896098943
78,-2840.9622734288196
79,-2840.9300611036792
80,-2840.8965376277365
81,-2840.863036797005
82,-2840.8307970412616
83,-2840.800698380971
84,-2840.773190580738
85,-2840.7483735432074
86,-2840.726128442271
87,-2840.7062293652716
88,-2840.688415059764
89,-2840.672427246632
90,-2840.658027847248
91,-2840.645004835136
92,-2840.6331726058033
93,-2840.62237000364
94,-2840.612457545251
95,-2840.603314543341
96,-2840.594836425578
97,-2840.586932351158
98,-2840.579523141392
99,-2840.572539505661
100,-2840.565920531086
101,-2840.559612402627
102,-2840.5535673223194
103,-2840.5477426005205
104,-2840.542099896451
105,-2840.5366045895053
106,-2840.5312252669855
107,-2840.5259333174945
108,-2840.5207026222743
109,-2840.515509339514
110,-2840.5103317786543
111,-2840.5051503627146
112,-2840.4999476769485
113,-2840.494708600771
114,-2840.489420517125
115,-2840.4840735887988
116,-2840.4786610847464
117,-2840.4731797314157
118,-2840.4676300553656
119,-2840.4620166754066
120,-2840.4563484965565
121,-2840.4506387574056
122,-2840.4449048876054
123,-2840.4391681457228
124,-2840.433453028334
125,-2840.4277864670485
126,-2840.422196857304
127,-2840.416712985894
128,-2840.411362938832
129,-2840.4061730739604
130,-2840.4011671333496
131,-2840.3963655512775
132,-2840.391784988481
133,-2840.3874380976217
134,-2840.3833335027953
135,-2840.3794759597895
136,-2840.3758666553194
137,-2840.3725036012133
138,-2840.369382082668
139,-2840.366495125769
140,-2840.363833957094
141,-2840.361388435891
142,-2840.359147446274
143,-2840.357099242545
144,-2840.3552317452186
145,-2840.3535327883656
146,-2840.3519903212473
147,-2840.3505925681525
148,-2840.3493281512565
149,-2840.3481861814057
150,-2840.347156321591
151,-2840.346228827714
152,-2840.345394570574
153,-2840.344645042917
154,-2840.3439723545143
155,-2840.343369218229
156,-2840.342828929097
157,-2840.3423453385426
158,-2840.3419128252685
159,-2840.341526264029
160,-2840.3411809933787
161,-2840.3408727831516
162,-2840.3405978023857
163,-2840.3403525880453
164,-2840.340134014934
165,-2840.339939267088
166,-2840.3397658107488
167,-2840.339611368969
168,-2840.339473897996
169,-2840.33935156537
170,-2840.339242729676
171,-2840.339145921937
172,-2840.3390598285914
173,-2840.338983275927
174,-2840.338915215914
175,-2840.3388547133172
176,-2840.3388009340542
177,-2840.3387531346093
178,-2840.338710652555
179,-2840.3386728979394
180,-2840.338639345534
181,-2840.338609527954
182,-2840.338583029362
183,-2840.338559479943
184,-2840.3385385508336
185,-2840.33851994971
186,-2840.338503416737
187,-2840.338488721032
188,-2840.338475657438
189,-2840.338464043699
190,-2840.3384537179277
191,-2840.338444536328
192,-2840.338436371181
193,-2840.3384291090792
194,-2840.3384226492904
195,-2840.3384169023693
196,-2840.3384117888995
197,-2840.3384072383365
198,-2840.3384031880505
199,-2840.338399582421
200,-2840.3383963720516
201,-2840.338393513078
202,-2840.3383909665313
203,-2840.3383886978118
204,-2840.3383866761847
205,-2840.3383848743365
206,-2840.3383832680092
207,-2840.3383818356515
208,-2840.338380558107
209,-2840.338379418362
210,-2840.338378401293
211,-2840.3383774934423
