data_version,subject_id,fold_id,n_train_trials,n_test_trials,n_train_blocks,n_test_blocks,train_converged,train_iterations,train_final_log_likelihood,test_total_log_likelihood,test_mean_log_likelihood_per_trial,test_negative_log_likelihood_per_trial,test_perplexity,likelihood_monotonic,maximum_likelihood_drop,sensory_weight,prior_weight,lapse_weight,parameter_json
original,1,1,6413,2149,30,10,True,140,-2870.331416376821,-1065.37550915369,-0.4957540759207492,0.4957540759207492,1.6417357658130711,True,0.0,0.7173874413687181,0.2766354135383966,0.005977145092885262,"{""initial_prob"": [0.44736347168611007, 0.46224210119792614, 0.09039442711596388], ""kappaP"": {""10"": 123.99995150017835, ""20"": 37.73509305511595, ""40"": 20.57693916846926, ""80"": 1.122075709282649}, ""kappaS"": {""0.06"": 5.468265462690704, ""0.12"": 11.688366635635669, ""0.24"": 29.863966535703458}, ""transition_matrix"": [[0.8329963490160931, 0.16057376807431623, 0.006429882909590646], [0.39610414567862623, 0.6038958523543918, 1.966981999759906e-09], [0.8569928727736549, 2.242201567874224e-07, 0.14300690300618835]]}"
original,1,2,6413,2149,30,10,True,248,-3037.6736049764077,-897.8613301714574,-0.41780424856745346,0.41780424856745346,1.518623372603877,True,0.0,0.7175197487373508,0.2761710866801474,0.006309164582501769,"{""initial_prob"": [0.2601880007597861, 0.5473743538172855, 0.19243764542292835], ""kappaP"": {""10"": 119.37695124339652, ""20"": 39.49155210043548, ""40"": 18.861215722229126, ""80"": 1.33871818333133}, ""kappaS"": {""0.06"": 5.211182656525921, ""0.12"": 11.617545767807947, ""0.24"": 29.941149373589557}, ""transition_matrix"": [[0.831606177918337, 0.16186372684291614, 0.006530095238746661], [0.3956306228210348, 0.6043693758025337, 1.376431465561373e-09], [0.8004641923404819, 6.086869884278485e-07, 0.19953519897252966]]}"
original,1,3,6418,2144,30,10,True,131,-2887.113041742031,-1057.162487139742,-0.49307951825547675,0.49307951825547675,1.637350715485197,True,0.0,0.6957230188080624,0.2961667709791961,0.008110210212741529,"{""initial_prob"": [0.3528863736159151, 0.5492831813312924, 0.0978304450527925], ""kappaP"": {""10"": 111.60522632648194, ""20"": 50.62659787623609, ""40"": 9.02159607292199, ""80"": 1.331462348278472}, ""kappaS"": {""0.06"": 5.78708768123621, ""0.12"": 12.614015970384653, ""0.24"": 30.37848459645796}, ""transition_matrix"": [[0.8385908977490387, 0.15115018565558025, 0.010258916595380993], [0.3828670045290244, 0.6171329937725861, 1.6983895815938051e-09], [0.9666099344793027, 8.201789207116909e-08, 0.033389983502805344]]}"
original,1,4,6442,2120,30,10,True,206,-2982.3182428570785,-958.2561033307247,-0.4520075959107192,0.4520075959107192,1.5714638852316847,True,0.0,0.7086339950323782,0.28807018251006866,0.003295822457553091,"{""initial_prob"": [0.4112475786574283, 0.34963062288446595, 0.23912179845810577], ""kappaP"": {""10"": 111.63552135629804, ""20"": 53.85968043306333, ""40"": 19.296100097834536, ""80"": 1.0584413955992478}, ""kappaS"": {""0.06"": 5.2778500925308105, ""0.12"": 11.440316267569179, ""0.24"": 28.175677928778516}, ""transition_matrix"": [[0.8495719073791024, 0.14976643195970377, 0.0006616606611939963], [0.3877732461162214, 0.6122267520464739, 1.8373047062873729e-09], [0.05595839219833915, 0.556423455879766, 0.3876181519218947]]}"
original,2,1,6175,1702,29,8,True,129,-3526.3786910883978,-1009.7565609214143,-0.5932764752769767,0.5932764752769767,1.809908832594699,True,0.0,0.28782609102103246,0.6878548601336322,0.024319048845335155,"{""initial_prob"": [0.07366685819636823, 0.9263331006693621, 4.113426963027772e-08], ""kappaP"": {""10"": 68.3291634354032, ""20"": 36.08124919028886, ""40"": 11.97066128641689, ""80"": 2.50308876056112}, ""kappaS"": {""0.06"": 2.8778740546353707, ""0.12"": 5.1964530071213595, ""0.24"": 16.542658363610286}, ""transition_matrix"": [[0.6439802448719968, 0.33190351007622, 0.0241162450517832], [0.14013693953593814, 0.8568317996721664, 0.0030312607918955006], [0.22824103130159387, 5.285701873157664e-07, 0.7717584401282188]]}"
original,2,2,5747,2130,27,10,True,200,-3118.2093346190554,-1419.7356450540815,-0.6665425563634185,0.6665425563634185,1.9474923221924048,True,0.0,0.30352766657767116,0.6500565846694909,0.046415748752837854,"{""initial_prob"": [0.08674898999322747, 0.9132509616833983, 4.83233742305782e-08], ""kappaP"": {""10"": 68.64444156887978, ""20"": 30.68061372584911, ""40"": 9.926908963382564, ""80"": 3.113095337996035}, ""kappaS"": {""0.06"": 2.6596703633371153, ""0.12"": 5.262717458523939, ""0.24"": 15.035111837999038}, ""transition_matrix"": [[0.6558895148554541, 0.30932139229727845, 0.03478909284726742], [0.1230179691600132, 0.876338284356733, 0.0006437464832538698], [0.2111577387724006, 0.006209764968180202, 0.7826324962594191]]}"
original,2,3,5747,2130,27,10,True,266,-3308.984165913314,-1223.5507291337199,-0.5744369620346103,0.5744369620346103,1.7761302165907031,True,0.0,0.2942001909153961,0.6656095707118809,0.040190238372722946,"{""initial_prob"": [0.053925436517939546, 0.946074520995711, 4.2486349481855626e-08], ""kappaP"": {""10"": 70.50496809344683, ""20"": 34.56469046113483, ""40"": 10.199068973071576, ""80"": 2.7554094097538853}, ""kappaS"": {""0.06"": 2.9797179457425735, ""0.12"": 5.557617675223587, ""0.24"": 13.650039294471451}, ""transition_matrix"": [[0.5839156076855947, 0.3853617009236802, 0.030722691390724997], [0.15353539813248163, 0.844024823428912, 0.002439778438606294], [0.25303449568313013, 4.419108471970639e-06, 0.7469610852083979]]}"
original,2,4,5962,1915,28,9,True,125,-3619.0495881349993,-932.5082437065911,-0.4869494745204131,0.4869494745204131,1.627344384945886,True,0.0,0.24791834620585673,0.7069729814276781,0.04510867236646524,"{""initial_prob"": [2.0068852450603622e-07, 0.9999997596871245, 3.962435096977223e-08], ""kappaP"": {""10"": 70.36547251845484, ""20"": 31.421356129181998, ""40"": 8.893215388922439, ""80"": 2.4764208810631674}, ""kappaS"": {""0.06"": 3.5165752955175096, ""0.12"": 6.571716348004869, ""0.24"": 15.024114707921736}, ""transition_matrix"": [[0.5330509981054774, 0.44845937606525144, 0.01848962582927118], [0.19512284437916144, 0.8036921143476287, 0.0011850412732099037], [0.2166471134927023, 6.066341677870074e-07, 0.7833522798731299]]}"
original,3,1,6842,2570,32,12,True,166,-3229.3266575657367,-1192.9120334270401,-0.4641681063918444,0.4641681063918444,1.5906903531808505,True,0.0,0.7051571227802986,0.26934862100688006,0.025494256212821406,"{""initial_prob"": [0.9999996127465011, 1.2268527499761572e-07, 2.6456822390037713e-07], ""kappaP"": {""10"": 63.80076097500297, ""20"": 46.743566049685334, ""40"": 40.71563747770674, ""80"": 39.23882576243782}, ""kappaS"": {""0.06"": 3.6258625337835726, ""0.12"": 11.346931568426733, ""0.24"": 29.230651407091145}, ""transition_matrix"": [[0.7941838253548728, 0.17117005565987178, 0.03464611898525551], [0.4288916920285352, 0.5711083052086111, 2.7628536919496245e-09], [0.8978685626881352, 2.9382797536386837e-08, 0.10213140792906719]]}"
original,3,2,7048,2364,33,11,True,65,-3329.200595778772,-1081.5377507349372,-0.4575032786526807,0.4575032786526807,1.5801239268096385,True,0.0,0.622380867644351,0.36271677487935144,0.014902357476297583,"{""initial_prob"": [0.6887380459317096, 0.25798543939934976, 0.0532765146689406], ""kappaP"": {""10"": 27.196458072901745, ""20"": 15.445601752415602, ""40"": 9.645197822969385, ""80"": 12.545516990940024}, ""kappaS"": {""0.06"": 2.4188646180893785, ""0.12"": 8.72179111140488, ""0.24"": 25.180881033791092}, ""transition_matrix"": [[0.9564640213820355, 0.020778725100590797, 0.02275725351737371], [0.030659143316527797, 0.9693408558800887, 8.033834582425933e-10], [0.9308344707372525, 1.9567035845415502e-08, 0.06916550969571185]]}"
