data_version,subject_id,n_test_trials_total,test_total_log_likelihood,mean_test_log_likelihood_per_trial,mean_sensory_weight,mean_prior_weight,mean_lapse_weight,number_of_completed_folds,weighted_test_log_likelihood_per_trial,test_perplexity,all_folds_completed,number_of_failed_folds
original,1,8562,-3978.6554297956145,-0.46466135966359967,0.7098160509866274,0.28426086342695217,0.005923085586420412,4,-0.46468762319500284,1.591516958246969,True,0
original,2,7877,-4585.551178815806,-0.5803013670488546,0.2833680736799891,0.6776234992356704,0.0390084270843403,4,-0.5821443669945165,1.7898724619276967,True,0
original,3,9412,-4501.87401851511,-0.4785622182205485,0.6357932012965928,0.3444527506046875,0.019754048098719702,4,-0.47831215666331384,1.6133490224356033,True,0
original,4,4799,-3742.2550664818614,-0.7703627236723701,0.4760248669911039,0.48587716118903884,0.038097971819857294,4,-0.7797989302941991,2.181033681606009,True,0
original,5,5789,-7446.801961913764,-1.2911011541531592,0.895802417889585,0.03147022794902696,0.07272735416138806,4,-1.286371041961265,3.6196272175629987,True,0
original,6,7553,-6901.624920676353,-0.9143875493388745,0.6191739375026889,0.3499401292683337,0.030885933228977484,4,-0.9137594228354764,2.4936797300562947,True,0
original,7,5797,-3776.570167417486,-0.6587292606951105,0.6206661375313868,0.347579040735255,0.03175482173335831,4,-0.6514697546002218,1.918358273928382,True,0
original,8,5797,-7161.341844273188,-1.2374180605983012,0.39687932638679563,0.4817468829085234,0.12137379070468099,4,-1.2353530868161442,3.4395927811867675,True,0
original,9,8632,-7465.8140204369,-0.8648996779931534,0.6704124404673664,0.29180129312168246,0.0377862664109512,4,-0.8648996779931534,2.3747678325515245,True,0
original,10,6044,-6255.943287089992,-1.0112673672917971,0.45505942674501854,0.4526928115173035,0.0922477617376779,4,-1.0350667251968881,2.8152940804088176,True,0
original,11,6474,-5444.457216747112,-0.838471696044171,0.6915265449532826,0.28265708822240493,0.02581636682431244,4,-0.8409726933498783,2.3186211876855305,True,0
original,12,6474,-6186.872721258162,-0.9631731436439483,0.4521920721375573,0.4459264533981954,0.10188147446424729,4,-0.9556491691779675,2.600358107450837,True,0
shuffled,1,8562,-4078.009721692931,-0.47624460166041216,0.732121959204567,0.26414462851916376,0.0037334122762692906,4,-0.47629172175810924,1.61009264651194,True,0
shuffled,2,7877,-4681.025414155844,-0.5923994467957192,0.2783573955059726,0.7163008089749542,0.0053417955190732044,4,-0.5942650011623517,1.8116988589238032,True,0
shuffled,3,9412,-4585.903102846435,-0.487820331718883,0.6460941150351199,0.33292781277435035,0.020978072190529724,4,-0.4872400236768418,1.627817277180044,True,0
shuffled,4,4799,-3865.0430587088217,-0.7948080896295265,0.4880977991093756,0.48104453417282095,0.03085766671780345,4,-0.8053850924586,2.237557999641948,True,0
shuffled,5,5789,-7456.209764022982,-1.2930849080512126,0.9009621534557932,0.014821138882464056,0.08421670766174265,4,-1.2879961589260636,3.6255143174778244,True,0
shuffled,6,7553,-7031.862665322682,-0.9319616634214054,0.617040800620554,0.34461142236513304,0.038347777014312884,4,-0.9310026036439404,2.5370515600429067,True,0
shuffled,7,5797,-3926.171719438779,-0.6843586186171692,0.6535692645677105,0.32298297365446005,0.02344776177782938,4,-0.6772764739414833,1.9685091388608653,True,0
shuffled,8,5797,-7305.217498221102,-1.262520961264253,0.4191454148022712,0.4597095249427282,0.12114506025500066,4,-1.2601720714543905,3.526028163962418,True,0
shuffled,9,8632,-7516.237465241073,-0.8707411336006803,0.7156176003977381,0.2789351725969965,0.0054472270052653305,4,-0.8707411336006803,2.3886805290616495,True,0
shuffled,10,6044,-6607.533191461231,-1.069281509335479,0.4640195216843901,0.4725479738095504,0.06343250450605953,4,-1.0932384499439496,2.9839217235523603,True,0
shuffled,11,6474,-5700.1644488319325,-0.8757728121223396,0.6755681139545414,0.297991108405359,0.026440777640099614,4,-0.8804702577744721,2.412033717365459,True,0
shuffled,12,6474,-6394.39750199225,-0.9943945879336779,0.4131973091868,0.49662655635040354,0.09017613446279647,4,-0.9877042789608047,2.6850632351795602,True,0
