subject_id,original_test_ll_per_trial,shuffled_test_ll_per_trial,original_test_perplexity,shuffled_test_perplexity,original_all_folds_completed,shuffled_all_folds_completed,delta_test_ll_per_trial,delta_test_perplexity
1,-0.46468762319500284,-0.47629172175810924,1.591516958246969,1.61009264651194,True,True,0.011604098563106402,-0.018575688264971024
2,-0.5821443669945165,-0.5942650011623517,1.7898724619276967,1.8116988589238032,True,True,0.012120634167835154,-0.021826396996106556
3,-0.47831215666331384,-0.4872400236768418,1.6133490224356033,1.627817277180044,True,True,0.00892786701352799,-0.0144682547444408
4,-0.7797989302941991,-0.8053850924586,2.181033681606009,2.237557999641948,True,True,0.025586162164400905,-0.056524318035938936
5,-1.286371041961265,-1.2879961589260636,3.6196272175629987,3.6255143174778244,True,True,0.0016251169647985009,-0.005887099914825722
6,-0.9137594228354764,-0.9310026036439404,2.4936797300562947,2.5370515600429067,True,True,0.017243180808463987,-0.04337182998661193
7,-0.6514697546002218,-0.6772764739414833,1.918358273928382,1.9685091388608653,True,True,0.02580671934126144,-0.05015086493248333
8,-1.2353530868161442,-1.2601720714543905,3.4395927811867675,3.526028163962418,True,True,0.024818984638246278,-0.08643538277565055
9,-0.8648996779931534,-0.8707411336006803,2.3747678325515245,2.3886805290616495,True,True,0.005841455607526913,-0.013912696510125055
10,-1.0350667251968881,-1.0932384499439496,2.8152940804088176,2.9839217235523603,True,True,0.05817172474706145,-0.16862764314354273
11,-0.8409726933498783,-0.8804702577744721,2.3186211876855305,2.412033717365459,True,True,0.039497564424593734,-0.09341252967992864
12,-0.9556491691779675,-0.9877042789608047,2.600358107450837,2.6850632351795602,True,True,0.03205510978283721,-0.08470512772872318
