iteration,log_likelihood
0,-6791.517892936023
1,-6519.410453870516
2,-6404.206440727366
3,-6326.77404317627
4,-6268.595067824904
5,-6230.447371275463
6,-6204.201953206241
7,-6183.846895545663
8,-6167.795497282636
9,-6155.663719597713
10,-6146.981916365827
11,-6141.013285243061
12,-6136.973192787721
13,-6134.267407597795
14,-6132.491981776825
15,-6131.34378750749
16,-6130.593478042803
17,-6130.0825884537235
18,-6129.709605787306
19,-6129.410819987011
20,-6129.143916339001
21,-6128.875828507864
22,-6128.573487792575
23,-6128.196705212992
24,-6127.6972197195455
25,-6127.037385363473
26,-6126.236230553254
27,-6125.394311566019
28,-6124.634468685984
29,-6124.026003798549
30,-6123.5769776811085
31,-6123.262808665107
32,-6123.049862061219
33,-6122.907703901871
34,-6122.813202772552
35,-6122.750267054844
36,-6122.708156056391
37,-6122.679810955236
38,-6122.660604005448
39,-6122.647492987241
40,-6122.638469074373
41,-6122.632199135759
42,-6122.627794951304
43,-6122.624662213881
44,-6122.622401784695
45,-6122.620744470364
46,-6122.619508037962
47,-6122.6185684086995
48,-6122.617840691135
49,-6122.617266386901
50,-6122.6168048222335
51,-6122.616427527291
52,-6122.61611429121
53,-6122.615850622378
54,-6122.615625979949
55,-6122.615432561097
56,-6122.615264531073
57,-6122.615117420524
58,-6122.614987763613
59,-6122.6148728310445
60,-6122.614770433416
61,-6122.614678796936
62,-6122.614596457756
63,-6122.614522198485
64,-6122.61445500335
65,-6122.614394005435
66,-6122.614338468202
67,-6122.614287759838
68,-6122.614241335084
69,-6122.61419872345
70,-6122.614159514937
71,-6122.614123351885
72,-6122.6140899233
73,-6122.614058954267
74,-6122.614030205731
75,-6122.614003465692
76,-6122.613978547936
77,-6122.613955287605
78,-6122.61393353715
79,-6122.613913167671
80,-6122.61389406289
81,-6122.613876119783
82,-6122.613859246389
83,-6122.613843360078
84,-6122.613828386541
85,-6122.6138142591735
86,-6122.613800917089
87,-6122.613788305993
88,-6122.61377637668
89,-6122.613765083629
90,-6122.613754385878
91,-6122.613744246147
92,-6122.613734629736
93,-6122.613725505412
94,-6122.613716843833
95,-6122.613708618222
96,-6122.613700803697
97,-6122.6136933774
98,-6122.613686317902
99,-6122.613679605242
100,-6122.613673220908
101,-6122.613667147512
102,-6122.61366136898
103,-6122.613655870037
104,-6122.613650636244
105,-6122.613645654449
106,-6122.6136409118635
107,-6122.613636396613
108,-6122.613632097371
109,-6122.613628003646
110,-6122.613624105346
111,-6122.613620392889
112,-6122.613616857377
113,-6122.613613490226
114,-6122.613610283384
115,-6122.613607229155
116,-6122.613604320226
117,-6122.613601549669
118,-6122.613598910936
119,-6122.613596397733
120,-6122.613594004162
121,-6122.613591724461
122,-6122.6135895533125
123,-6122.613587485565
124,-6122.613585516341
125,-6122.613583641025
126,-6122.613581855049
127,-6122.613580154294
128,-6122.613578534684
129,-6122.613576992467
130,-6122.613575523899
131,-6122.613574125518
132,-6122.613572794021
133,-6122.613571526249
134,-6122.613570319186
135,-6122.613569169948
136,-6122.613568075815
137,-6122.613567034196
138,-6122.6135660425125
