iteration,log_likelihood
1,-4821.08523090579
2,-4723.605755854413
3,-4671.20979083217
4,-4648.705556818502
5,-4638.033174232423
6,-4631.637227228147
7,-4620.857486532647
8,-4596.972922797507
9,-4573.536428292505
10,-4555.342618590553
11,-4543.650998100289
12,-4536.533971171084
13,-4532.590551270482
14,-4530.209722508264
15,-4528.480013079406
16,-4527.093492633714
17,-4525.849798606577
18,-4524.496229931572
19,-4522.985876756652
20,-4520.5078100541
21,-4513.742754482403
22,-4505.776995234443
23,-4500.718425342839
24,-4498.236661571068
25,-4496.73405072774
26,-4495.675819862279
27,-4494.8612141342255
28,-4494.203524793292
29,-4493.65857312955
30,-4493.199937926729
31,-4492.80978080568
32,-4492.475109952051
33,-4492.186049193262
34,-4491.934906987068
35,-4491.7156015594555
36,-4491.5232683670965
37,-4491.353975564889
38,-4491.204511545417
39,-4491.072224364436
40,-4490.954899977928
41,-4490.850669922513
42,-4490.757941356478
43,-4490.6753439986105
44,-4490.601689746592
45,-4490.5359417429445
46,-4490.477190440103
47,-4490.4246348326105
48,-4490.3775675019215
49,-4490.335362483483
50,-4490.297465238885
51,-4490.263384217751
52,-4490.232683641036
53,-4490.204977243065
54,-4490.179922784482
55,-4490.157217200803
56,-4490.136592287602
57,-4490.1178108483255
58,-4490.100663247786
59,-4490.084964325884
60,-4490.07055063415
61,-4490.0572779631475
62,-4490.045019132631
63,-4490.0336620194585
64,-4490.023107800425
65,-4490.013269389141
66,-4490.004070047857
67,-4489.995442156532
68,-4489.987326123007
69,-4489.979669419428
70,-4489.97242573139
71,-4489.965554207456
72,-4489.959018797952
73,-4489.952787672879
74,-4489.946832709928
75,-4489.941129044465
76,-4489.93565467419
77,-4489.930390112001
78,-4489.925318081324
79,-4489.92042324877
80,-4489.915691989596
81,-4489.911112182001
82,-4489.906673026673
83,-4489.902364888554
84,-4489.898179158016
85,-4489.894108129097
86,-4489.890144892652
87,-4489.886283242589
88,-4489.882517593581
89,-4489.878842908751
90,-4489.875254636233
91,-4489.871748653344
92,-4489.868321217565
93,-4489.864968923388
94,-4489.861688664355
95,-4489.858477599655
96,-4489.855333124655
97,-4489.852252844972
98,-4489.849234553575
99,-4489.846276210581
100,-4489.843375925428
101,-4489.840531941097
102,-4489.837742620183
103,-4489.835006432552
104,-4489.832321944407
105,-4489.829687808617
106,-4489.827102756119
107,-4489.824565588289
108,-4489.82207517018
109,-4489.819630424483
110,-4489.817230326175
111,-4489.814873897742
112,-4489.812560204921
113,-4489.810288352912
114,-4489.808057482968
115,-4489.805866769383
116,-4489.803715416773
117,-4489.801602657642
118,-4489.799527750216
119,-4489.797489976488
120,-4489.795488640456
121,-4489.793523066566
122,-4489.791592598279
123,-4489.789696596796
124,-4489.787834439917
125,-4489.786005520997
126,-4489.784209248011
127,-4489.782445042704
128,-4489.78071233982
129,-4489.779010586421
130,-4489.777339241243
131,-4489.775697774134
132,-4489.774085665516
133,-4489.772502405944
134,-4489.770947495642
135,-4489.769420444124
136,-4489.767920769844
137,-4489.766447999841
138,-4489.765001669466
139,-4489.763581322088
140,-4489.762186508848
141,-4489.760816788421
142,-4489.759471726806
143,-4489.758150897115
144,-4489.756853879411
145,-4489.75558026051
146,-4489.7543296338445
147,-4489.753101599311
148,-4489.7518957631155
149,-4489.750711737672
150,-4489.749549141463
151,-4489.748407598929
152,-4489.747286740373
153,-4489.746186201837
154,-4489.745105625031
155,-4489.744044657224
156,-4489.743002951168
157,-4489.7419801650185
158,-4489.740975962238
159,-4489.73999001154
160,-4489.739021986804
161,-4489.738071567012
162,-4489.737138436179
163,-4489.736222283283
164,-4489.735322802207
165,-4489.734439691665
166,-4489.733572655167
167,-4489.732721400932
168,-4489.731885641838
169,-4489.731065095372
170,-4489.730259483577
171,-4489.7294685329725
172,-4489.728691974531
173,-4489.727929543604
174,-4489.727180979878
175,-4489.726446027319
176,-4489.725724434114
177,-4489.725015952639
178,-4489.724320339386
179,-4489.723637354922
180,-4489.722966763839
181,-4489.722308334707
182,-4489.721661840016
183,-4489.721027056134
184,-4489.720403763253
185,-4489.719791745342
186,-4489.719190790101
187,-4489.718600688906
188,-4489.718021236768
189,-4489.717452232286
190,-4489.716893477581
191,-4489.7163447782805
192,-4489.7158059434405
193,-4489.715276785519
194,-4489.714757120316
195,-4489.714246766938
196,-4489.713745547742
197,-4489.713253288294
198,-4489.712769817326
199,-4489.712294966677
200,-4489.711828571275
201,-4489.711370469057
202,-4489.710920500955
203,-4489.710478510827
204,-4489.710044345435
205,-4489.7096178543825
206,-4489.709198890079
207,-4489.708787307698
208,-4489.708382965134
209,-4489.70798572296
210,-4489.707595444372
211,-4489.707211995168
212,-4489.706835243698
213,-4489.706465060811
214,-4489.706101319835
215,-4489.705743896527
216,-4489.705392669015
217,-4489.705047517799
218,-4489.70470832567
219,-4489.704374977695
220,-4489.704047361173
221,-4489.703725365597
222,-4489.703408882613
223,-4489.70309780598
224,-4489.702792031551
225,-4489.7024914572185
226,-4489.702195982875
227,-4489.701905510398
228,-4489.7016199435975
229,-4489.7013391881865
230,-4489.7010631517505
231,-4489.700791743704
232,-4489.700524875268
233,-4489.700262459431
234,-4489.70000441092
235,-4489.699750646161
236,-4489.699501083252
237,-4489.699255641941
238,-4489.699014243575
239,-4489.698776811089
240,-4489.698543268968
241,-4489.698313543211
242,-4489.6980875613135
243,-4489.697865252236
244,-4489.697646546373
245,-4489.697431375519
246,-4489.697219672862
247,-4489.69701137293
248,-4489.696806411587
249,-4489.696604725993
250,-4489.696406254587
251,-4489.696210937048
252,-4489.696018714293
253,-4489.695829528437
254,-4489.695643322768
255,-4489.695460041729
256,-4489.695279630892
257,-4489.695102036942
258,-4489.694927207645
259,-4489.694755091835
260,-4489.694585639374
261,-4489.694418801163
262,-4489.694254529096
263,-4489.694092776044
264,-4489.693933495838
265,-4489.693776643252
266,-4489.693622173978
267,-4489.693470044613
268,-4489.693320212629
269,-4489.693172636375
270,-4489.693027275033
271,-4489.692884088622
272,-4489.692743037982
273,-4489.692604084726
274,-4489.692467191263
275,-4489.692332320763
276,-4489.69219943713
277,-4489.692068505013
278,-4489.6919394897695
279,-4489.691812357456
280,-4489.691687074821
281,-4489.691563609275
282,-4489.691441928891
283,-4489.691322002389
284,-4489.691203799111
285,-4489.691087289012
286,-4489.690972442664
287,-4489.690859231217
288,-4489.690747626406
289,-4489.6906376005245
290,-4489.69052912643
291,-4489.690422177508
