subject_id,original_switch_rate,original_mean_state_dwell_time,original_mean_sensory_dwell_time,original_mean_prior_dwell_time,original_mean_lapse_dwell_time,shuffled_switch_rate,shuffled_mean_state_dwell_time,shuffled_mean_sensory_dwell_time,shuffled_mean_prior_dwell_time,shuffled_mean_lapse_dwell_time
1,0.1300164280685285,7.458188153310105,11.01733102253033,3.924731182795699,1.1538461538461537,0.25017601501994835,3.9419889502762433,6.194722474977252,1.6436672967863895,1.0
2,0.12512755102040815,7.737721021611002,3.4198782961460448,12.13552361396304,7.394736842105263,0.25790816326530613,3.825643516270034,1.3438423645320197,6.248794599807136,4.714285714285714
3,0.030102476515798463,28.87116564417178,33.94767441860465,43.18518518518518,1.0273972602739727,0.025405636208368915,33.3758865248227,40.5,61.017857142857146,1.025
4,0.03936348408710218,22.744075829383885,23.18,45.43396226415094,1.2586206896551724,0.035175879396984924,25.12565445026178,24.45263157894737,73.12121212121212,1.0
5,0.030544949670253386,28.517241379310345,47.243478260869566,1.0,13.761904761904763,0.047032280458174244,19.426174496644297,34.19135802469136,24.5,1.1515151515151516
6,0.009577015163607342,70.58878504672897,83.8103448275862,122.95238095238095,3.9285714285714284,0.022479382814578345,37.02450980392157,44.58878504672897,93.06896551724138,1.2205882352941178
7,0.024090121317157712,34.92168674698795,41.60919540229885,88.20833333333333,1.0909090909090908,0.02149046793760832,38.390728476821195,56.215384615384615,86.58333333333333,1.0483870967741935
8,0.0807625649913345,11.758620689655173,9.829166666666667,77.17073170731707,1.2924528301886793,0.04280762564991335,21.156934306569344,19.1021897810219,80.5,2.792079207920792
9,0.04993016759776536,18.405117270788914,24.351020408163265,20.885245901639344,1.1568627450980393,0.2003026070763501,4.90176036342987,8.29082774049217,1.4090382387022016,1.0
10,0.08028590425531915,11.827788649706457,12.676328502415458,44.83098591549296,1.0171673819742488,0.22124335106382978,4.447387785136129,3.6925329428989753,5.144444444444445,6.108695652173913
11,0.027001862197392923,31.735294117647058,46.68041237113402,37.01960784313726,1.0357142857142858,0.02063935443823712,39.717791411042946,187.5,29.649350649350648,1.03125
12,0.07262569832402235,13.0,12.818181818181818,30.245098039215687,1.8636363636363635,0.0633147113594041,14.780821917808218,12.204545454545455,79.5111111111111,1.2196531791907514
