subject_id,original_switch_rate,shuffled_switch_rate
1,0.1300164280685285,0.25017601501994835
2,0.12512755102040815,0.25790816326530613
3,0.030102476515798463,0.025405636208368915
4,0.03936348408710218,0.035175879396984924
5,0.030544949670253386,0.047032280458174244
6,0.009577015163607342,0.022479382814578345
7,0.024090121317157712,0.02149046793760832
8,0.0807625649913345,0.04280762564991335
9,0.04993016759776536,0.2003026070763501
10,0.08028590425531915,0.22124335106382978
11,0.027001862197392923,0.02063935443823712
12,0.07262569832402235,0.0633147113594041
