data_version,comparison,mean_subject_delta,subjects_hmm_better,subjects_baseline_better,min_delta,max_delta
original,hmm_minus_subject_iid,0.03988512395148662,11,1,-0.0018898662740500782,0.10871114761316059
original,hmm_minus_prior_conditioned_iid,0.01582654061687484,7,5,-0.06218331341577116,0.1272460849700272
original,hmm_minus_exchangeable_block_mixture,-0.014099028902453395,1,11,-0.05336834342253277,0.026041247687534907
shuffled,hmm_minus_subject_iid,0.017943572432848276,7,5,-0.010817733287578124,0.08389216297491453
shuffled,hmm_minus_prior_conditioned_iid,-0.006115010901763497,5,7,-0.0711111804292992,0.10242710033178115
shuffled,hmm_minus_exchangeable_block_mixture,-0.036040580421091664,0,12,-0.06229621043606082,-0.010091461408817892
