model_name,data_version,subject_id,n_test_trials,total_ll,ll_per_trial
prior_conditioned_iid,shuffled,6,7553,-7192.349570062351,-0.9522507043641402
prior_conditioned_iid,shuffled,7,5797,-3782.5860232484233,-0.6525075078917412
prior_conditioned_iid,shuffled,8,5797,-7898.987398844437,-1.3625991717861716
prior_conditioned_iid,shuffled,9,8632,-7262.806288027206,-0.8413816367038005
prior_conditioned_iid,shuffled,10,6044,-6669.601489220932,-1.1035078572503196
prior_conditioned_iid,shuffled,11,6474,-5428.845472860974,-0.8385612407879169
prior_conditioned_iid,shuffled,12,6474,-6594.376564979984,-1.0185938469230744
subject_iid,original,1,8562,-4074.1705110286107,-0.47584332060600454
subject_iid,original,2,7877,-4675.053183581596,-0.5935068152318899
subject_iid,original,3,9412,-4484.086597143751,-0.47642229038926376
subject_iid,original,4,4799,-3887.9898914034984,-0.8101666787671387
subject_iid,original,5,5789,-7460.283493991734,-1.2886998607689988
subject_iid,original,6,7553,-7300.246043008287,-0.9665359516759284
subject_iid,original,7,5797,-3983.5293180300314,-0.6871708328497553
subject_iid,original,8,5797,-7791.54036698668,-1.3440642344293048
subject_iid,original,9,8632,-7512.497698564003,-0.8703078890829475
subject_iid,original,10,6044,-6732.793512319583,-1.1139631886696861
subject_iid,original,11,6474,-5676.436795482928,-0.8768051892930071
subject_iid,original,12,6474,-6885.875133754589,-1.0636198847319416
subject_iid,shuffled,1,8562,-4074.1705110286107,-0.47584332060600454
subject_iid,shuffled,2,7877,-4675.053183581596,-0.5935068152318899
subject_iid,shuffled,3,9412,-4484.086597143751,-0.47642229038926376
subject_iid,shuffled,4,4799,-3887.9898914034984,-0.8101666787671387
subject_iid,shuffled,5,5789,-7460.283493991733,-1.2886998607689986
subject_iid,shuffled,6,7553,-7300.246043008287,-0.9665359516759284
subject_iid,shuffled,7,5797,-3983.529318030031,-0.6871708328497552
subject_iid,shuffled,8,5797,-7791.540366986681,-1.344064234429305
subject_iid,shuffled,9,8632,-7512.497698564003,-0.8703078890829475
subject_iid,shuffled,10,6044,-6732.793512319584,-1.1139631886696864
subject_iid,shuffled,11,6474,-5676.436795482928,-0.8768051892930071
subject_iid,shuffled,12,6474,-6885.875133754589,-1.0636198847319416
hmm,original,1,8562,-3978.6554297956145,-0.46468762319500284
hmm,original,2,7877,-4585.551178815807,-0.5821443669945167
hmm,original,3,9412,-4501.874018515109,-0.4783121566633138
hmm,original,4,4799,-3742.2550664818614,-0.7797989302941991
hmm,original,5,5789,-7446.801961913764,-1.286371041961265
hmm,original,6,7553,-6901.624920676354,-0.9137594228354765
hmm,original,7,5797,-3776.570167417486,-0.6514697546002218
hmm,original,8,5797,-7161.341844273188,-1.2353530868161442
hmm,original,9,8632,-7465.814020436899,-0.8648996779931533
hmm,original,10,6044,-6255.943287089991,-1.035066725196888
hmm,original,11,6474,-5444.457216747112,-0.8409726933498783
hmm,original,12,6474,-6186.872721258161,-0.9556491691779674
hmm,shuffled,1,8562,-4078.009721692931,-0.47629172175810924
hmm,shuffled,2,7877,-4681.025414155844,-0.5942650011623517
hmm,shuffled,3,9412,-4585.903102846435,-0.4872400236768418
hmm,shuffled,4,4799,-3865.0430587088217,-0.8053850924586
hmm,shuffled,5,5789,-7456.209764022982,-1.2879961589260636
hmm,shuffled,6,7553,-7031.862665322681,-0.9310026036439403
hmm,shuffled,7,5797,-3926.1717194387784,-0.6772764739414833
hmm,shuffled,8,5797,-7305.217498221102,-1.2601720714543905
hmm,shuffled,9,8632,-7516.237465241073,-0.8707411336006803
hmm,shuffled,10,6044,-6607.533191461231,-1.0932384499439496
hmm,shuffled,11,6474,-5700.1644488319325,-0.8804702577744721
hmm,shuffled,12,6474,-6394.39750199225,-0.9877042789608047
