model_name,subject_id,n_trials,converged,n_iterations,final_log_likelihood,ll_per_trial,monotonic,parameter_json
exchangeable_block_mixture,1,8562,True,92,-3832.455991808474,-0.4476122391740801,True,"{""class_weights"": [[0.8353468999856376, 0.15276450196988167, 0.011888598044480727], [0.3142729329031291, 0.6840814058320609, 0.0016456612648100457], [0.6597611664395677, 0.3402388324831421, 1.077290244377396e-09]], ""kappaP"": {""10"": 66.96371561382901, ""20"": 38.62998855093242, ""40"": 25.685851795895687, ""80"": 1.1918027069215196}, ""kappaS"": {""0.06"": 4.945158807668949, ""0.12"": 11.41220959568465, ""0.24"": 28.547479219288952}, ""rho"": [0.5837585689917116, 0.19938275709611186, 0.21685867391217656], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,2,7877,True,81,-4219.914059516079,-0.5357260453873403,True,"{""class_weights"": [[0.3697734290794105, 0.4230713666663282, 0.20715520425426132], [0.09319641524132008, 0.9068035841171521, 6.415277040640847e-10], [0.3562426009766085, 0.6345652556878695, 0.009192143335522077]], ""kappaP"": {""10"": 62.689195772642634, ""20"": 25.886178780800805, ""40"": 13.002585119585857, ""80"": 21.184345623236442}, ""kappaS"": {""0.06"": 2.503487740111115, ""0.12"": 5.294315859502669, ""0.24"": 14.365384389266872}, ""rho"": [0.3783146346767947, 0.29340278464999137, 0.3282825806732139], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,3,9412,True,89,-3938.791270505656,-0.4184861103384675,True,"{""class_weights"": [[0.8392398705762791, 0.09423037509600683, 0.0665297543277139], [0.1870954749295956, 0.8129045245157513, 5.546529820257108e-10], [0.6913490840619478, 0.3065206368986864, 0.0021302790393655747]], ""kappaP"": {""10"": 35.23565340430229, ""20"": 30.319624573172938, ""40"": 35.13792804800847, ""80"": 55.399862576898386}, ""kappaS"": {""0.06"": 3.31674175738639, ""0.12"": 10.887263464552394, ""0.24"": 28.68514786504288}, ""rho"": [0.39486657179267265, 0.27272750086707787, 0.3324059273402495], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,4,4799,True,109,-3600.426584506939,-0.7502451728499561,True,"{""class_weights"": [[0.7735316936220978, 0.144165302798906, 0.08230300357899616], [0.057654883319939954, 0.9423451154917459, 1.1883139641854089e-09], [0.5158144936551188, 0.4570394598163507, 0.02714604652853047]], ""kappaP"": {""10"": 19.90466170145183, ""20"": 11.944136297584345, ""40"": 10.407122506746772, ""80"": 9.905910374755335}, ""kappaS"": {""0.06"": 1.7459893903362615, ""0.12"": 5.121560224797261, ""0.24"": 11.000046135043794}, ""rho"": [0.4813221571215951, 0.34782608506390034, 0.17085175781450454], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,5,5789,True,135,-7329.188653199929,-1.2660543536361943,True,"{""class_weights"": [[0.9296199678371847, 0.07038000953304888, 2.262976638510938e-08], [0.333333346916032, 0.3333332829747767, 0.33333337010919123], [0.7285666593384009, 2.3993446954118744e-09, 0.27143333826225435]], ""kappaP"": {""10"": 115.41517508514636, ""20"": 2.5865019781663596, ""40"": 0.7405261762890386, ""80"": 0.13268227236025473}, ""kappaS"": {""0.06"": 1.2255128169066158, ""0.12"": 3.7242397908842966, ""0.24"": 9.581024723378201}, ""rho"": [0.6650340418565459, 3.703703322455335e-08, 0.3349659211064209], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,6,7553,True,229,-6829.797255985647,-0.9042496035993176,True,"{""class_weights"": [[0.9619948037242602, 1.1752500776710695e-07, 0.038005078750731995], [0.097495780092142, 0.8991162673860265, 0.003387952521831398], [0.7443081361380698, 0.2501860836811012, 0.005505780180829048]], ""kappaP"": {""10"": 10.956682854411952, ""20"": 8.467010554598817, ""40"": 6.478167130669749, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.3741152683704294, ""0.12"": 3.648733956999323, ""0.24"": 14.69078745840961}, ""rho"": [0.3068367738369265, 0.34285714202422357, 0.3503060841388499], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,7,5797,True,71,-3638.4985067593225,-0.6276519763255688,True,"{""class_weights"": [[0.8770663225058627, 0.10262580714386009, 0.020307870350277094], [0.1780802711164755, 0.8204955774004603, 0.0014241514830640397], [0.4406459641233283, 0.45568377782970987, 0.10367025804696194]], ""kappaP"": {""10"": 37.87525219523739, ""20"": 14.140943493005256, ""40"": 13.30527310001211, ""80"": 1.5677127135056599}, ""kappaS"": {""0.06"": 2.1843785870488204, ""0.12"": 6.998120517604356, ""0.24"": 17.579727414033695}, ""rho"": [0.5553515296273468, 0.37037032712085605, 0.07427814325179707], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,8,5797,True,158,-6974.766376865888,-1.203168255453836,True,"{""class_weights"": [[0.5444423280285687, 0.385002574292115, 0.07055509767931621], [0.23556396428689136, 0.7644360342131427, 1.4999658580336483e-09], [0.4850372303279571, 7.047665979876093e-08, 0.5149626991953831]], ""kappaP"": {""10"": 9.704173933207427, ""20"": 4.627553296955426, ""40"": 4.140582416244696, ""80"": 2.326813682519794}, ""kappaS"": {""0.06"": 1.4540837503142543, ""0.12"": 3.9804124459544634, ""0.24"": 12.179227175882932}, ""rho"": [0.295222201721084, 0.4084427800362318, 0.29633501824268416], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,9,8632,True,91,-7212.599824545944,-0.8355653179501789,True,"{""class_weights"": [[0.8962208169464718, 0.035715426035692006, 0.06806375701783612], [0.2696878827506041, 0.730312116073916, 1.1754798631443273e-09], [0.7469142705110721, 0.2072804180535505, 0.04580531143537737]], ""kappaP"": {""10"": 12.626483112241969, ""20"": 11.64633214235822, ""40"": 12.356681924370513, ""80"": 8.47251230317841}, ""kappaS"": {""0.06"": 1.6444165386699412, ""0.12"": 5.610669552446892, ""0.24"": 17.318449521833575}, ""rho"": [0.23684037457833065, 0.3499994414462898, 0.4131601839753794], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,10,6044,True,154,-6121.8687562028645,-1.0128836459634123,True,"{""class_weights"": [[0.6467969299886158, 0.27127156573798544, 0.08193150427339865], [0.16553806108429722, 0.8165713370251887, 0.017890601890514113], [0.3503132950296649, 6.507181678563094e-08, 0.6496866398985183]], ""kappaP"": {""10"": 22.6426300325371, ""20"": 23.47410615688104, ""40"": 8.187441881282886, ""80"": 0.3853337972850402}, ""kappaS"": {""0.06"": 1.4595846323936632, ""0.12"": 3.73348853558375, ""0.24"": 8.454573708505837}, ""rho"": [0.5356069947913726, 0.3928613489485432, 0.07153165626008422], ""weights"": [0.6, 0.35, 0.05]}"
exchangeable_block_mixture,11,6474,False,300,-5293.406119950288,-0.8176407352410082,True,"{""class_weights"": [[0.9531665790362304, 0.046823156163843, 1.026479992662676e-05], [0.10963641800190334, 0.8849123371582746, 0.005451244839822231], [0.45232575623483845, 0.5362783118138332, 0.011395931951328351]], ""kappaP"": {""10"": 18.384286258178935, ""20"": 14.512454127694813, ""40"": 0.6500804305405236, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.4867684265115968, ""0.12"": 3.9698308452935254, ""0.24"": 17.00018558357505}, ""rho"": [0.5668032557171123, 0.2343209076417541, 0.19887583664113362], ""weights"": [0.6, 0.35, 0.05]}"
