subject_id,sensory_to_sensory,sensory_to_prior,sensory_to_lapse,prior_to_sensory,prior_to_prior,prior_to_lapse,lapse_to_sensory,lapse_to_prior,lapse_to_lapse
1,0.8393959044650096,0.1539274523642464,0.006676643170744067,0.38660932373943774,0.6133906750532864,1.2072758316369642e-09,0.8527712988795565,2.721055563574193e-07,0.14722842901488709
2,0.6054390362420446,0.36836619051794206,0.026194773240013323,0.1506850484535637,0.8473830420716891,0.0019319094747471662,0.22477188051122535,7.404323145395858e-07,0.7752273790564601
3,0.9458717226756761,0.026707448564934656,0.027420828759389382,0.041049809537341594,0.9589501899265378,5.361206294027906e-10,0.957429043938421,1.3170585793410818e-08,0.04257094289099312
4,0.8986846272893476,0.03493233950092113,0.06638303320973135,0.03526802705883371,0.9647319718578262,1.083340158386631e-09,0.8367442173324332,3.2718170077877715e-08,0.16325574994939684
5,0.9502926459235802,0.036398243909200295,0.013309110167219427,0.9856385835933036,0.01436138526353558,3.114316079346785e-08,0.1790702513670756,1.502713877144819e-08,0.8209297336057856
6,0.9781264743967161,0.006225909624405866,0.01564761597887808,0.006156622278950299,0.9938433770907925,6.30257123022262e-10,0.3381129209617551,0.008654220773315374,0.6532328582649295
7,0.9468937608817691,0.008491801754997736,0.0446144373632331,0.014050734775789895,0.9859492503765216,1.484768846419052e-08,0.9021874935860934,1.9499157600213914e-08,0.097812486914749
8,0.7706274993579684,0.01703792285568727,0.2123345777863443,0.016012620714082357,0.9839873769921137,2.2938038913150346e-09,0.6840013330131733,1.9825561634436956e-08,0.31599864716126513
9,0.9040765258723491,0.04850160903292949,0.04742186509472135,0.10625816181966607,0.8921778713826343,0.0015639667976995867,0.8287897479151455,1.3619567115287246e-08,0.17121023846528735
10,0.8001563580732673,0.015451214172285605,0.18439242775444706,0.010222365316461883,0.9666097818666172,0.023167852816920947,0.8019504981621491,0.0972886958102124,0.10076080602763848
11,0.9577047534042906,0.015554717228784511,0.02674052936692489,0.03851936803864717,0.9575440585731274,0.003936573388225403,0.8105198280871782,0.13036145193621093,0.05911871997661096
12,0.8362124572796817,0.04490420166339662,0.11888334105692165,0.040990754205509114,0.9557600515576683,0.003249194236822576,0.549818335918762,0.004513401435867111,0.44566826264537096
