version,iteration,log_likelihood_before_m_step,log_likelihood_after_transition_update,log_likelihood_after_pi_update,log_likelihood_after_kappa_update,kappa_candidate_log_likelihood,final_iteration_log_likelihood,maximum_change_in_pi,maximum_change_in_transition,maximum_change_in_kappa,pi_step_delta,transition_step_delta,kappa_step_delta,first_decreasing_step,kappa_update_accepted,pi,transition_matrix,sensory_kappas,prior_kappas
fixed_kappa,11,-6107.917282178188,-6107.385846867892,-6107.3823836088695,-6107.3823836088695,-6107.3823836088695,-6107.3823836088695,0.002273882887290718,0.015002098812866071,0.0,0.0034632590222827275,0.5314353102958194,0.0,none,True,"[0.20924935808294523, 0.7902436916266414, 0.0005069502904134583]","[[0.8850649319477776, 0.11302016686278685, 0.00191490118943558], [0.05913120921646338, 0.9408340439742962, 3.474680924044856e-05], [0.9639653330044662, 0.02939743139106262, 0.00663723560447127]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,12,-6107.3823836088695,-6107.024951949215,-6107.022395193353,-6107.022395193353,-6107.022395193353,-6107.022395193353,0.0020502860288805214,0.010657863276400725,0.0,0.0025567558623151854,0.35743165965413937,0.0,none,True,"[0.21129964411182575, 0.788339659767586, 0.0003606961205881503]","[[0.8875434556767892, 0.110765942795674, 0.0016906015275369472], [0.057937241886850316, 0.9420417318906666, 2.1026222483078467e-05], [0.9746231962808669, 0.020098601103702533, 0.005278202615430693]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,13,-6107.022395193353,-6106.780376788283,-6106.778533046669,-6106.778533046669,-6106.778533046669,-6106.778533046669,0.0017800193473463122,0.007504833065967165,0.0,0.0018437416147207841,0.24201840506975714,0.0,none,True,"[0.21307966345917206, 0.7866634813518028, 0.00025685518902533174]","[[0.8895561169167064, 0.10893368899731806, 0.0015101940859754556], [0.056962196745025374, 0.9430249631848275, 1.2840070147035666e-05], [0.9821280293468341, 0.013650354040953156, 0.004221616612212841]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,14,-6106.778533046669,-6106.613482666366,-6106.612173700775,-6106.612173700775,-6106.612173700775,-6106.612173700775,0.0015097955602837443,0.005256264958299561,0.0,0.0013089655903968378,0.16505038030300057,0.0,none,True,"[0.2145894590194558, 0.7852274712717162, 0.00018306970882801116]","[[0.8911917651321274, 0.10744640494026901, 0.0013618299276036288], [0.056167677381530015, 0.9438244243153747, 7.898303095257376e-06], [0.9873842943051336, 0.009223652610322115, 0.003392053084544339]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,15,-6106.612173700775,-6106.4986452211315,-6106.497725115045,-6106.497725115045,-6106.497725115045,-6106.497725115045,0.0012615332707519855,0.0036722717731972887,0.0,0.0009201060865962063,0.11352847964371904,0.0,none,True,"[0.2158509922902078, 0.7840184112889771, 0.00013059642081520966]","[[0.8925215662269124, 0.10624102585439316, 0.0012374079186945226], [0.05552165373301316, 0.9444734594806883, 4.886786298568468e-06], [0.9910565660783309, 0.006207950745393752, 0.0027354831762753606]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,16,-6106.497725115045,-6106.4187879759165,-6106.418145110103,-6106.418145110103,-6106.418145110103,-6106.418145110103,0.0010436091613657272,0.002565494051931405,0.0,0.0006428658134609577,0.07893713912835665,0.0,none,True,"[0.21689460145157352, 0.7830121529604674, 9.324558795909984e-05]","[[0.8936028375155317, 0.10526589678882688, 0.0011312656956414071], [0.0549975309720758, 0.9449994314232684, 3.0376046558633222e-06], [0.9936220601302623, 0.004165499093194066, 0.002212440776543459]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,17,-6106.418145110103,-6106.362499799202,-6106.362052188202,-6106.362052188202,-6106.362052188202,-6106.362052188202,0.0008573859908246051,0.0017959390245867457,0.0,0.00044761099979950814,0.05564531090112723,0.0,none,True,"[0.21775198744239813, 0.7821813784905051, 6.66340670968534e-05]","[[0.8944819223583007, 0.104478713206802, 0.001039364434897347], [0.05457330629536842, 0.9454247984852371, 1.8952193946259598e-06], [0.9954179991548491, 0.002788418836873879, 0.001793582008276967]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,18,-6106.362052188202,-6106.322143536663,-6106.321832429937,-6106.321832429937,-6106.321832429937,-6106.321832429937,0.0007008791684387783,0.0012620730236011513,0.0,0.0003111067262580036,0.03990865153900813,0.0,none,True,"[0.2184528666108369, 0.781499476817815, 4.7656571348178234e-05]","[[0.895196393668708, 0.10384483723732531, 0.0009587690939666554], [0.05423082638216556, 0.9457679875855642, 1.1860322702984515e-06], [0.9966800721784502, 0.0018631843175528676, 0.0014567435039969435]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,19,-6106.321832429937,-6106.292602787964,-6106.292386710918,-6106.292386710918,-6106.292386710918,-6106.292386710918,0.0005707403900918617,0.0008917433448293322,0.0,0.00021607704547932371,0.029229641972960962,0.0,none,True,"[0.21902360700092877, 0.7809422815826748, 3.411141639656346e-05]","[[0.8957767725146768, 0.10333591784233508, 0.0008873096429879924], [0.05395514624748609, 0.946044109702933, 7.440495810665422e-07], [0.9975718155232796, 0.0012432296591114687, 0.0011849548176089875]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,20,-6106.292386710918,-6106.2704469814025,-6106.270296915201,-6106.270296915201,-6106.270296915201,-6106.270296915201,0.0004632814786825201,0.0006343923608524982,0.0,0.00015006620196800213,0.021939729515906947,0.0,none,True,"[0.2194868884796113, 0.7804886755374197, 2.443598296896188e-05]","[[0.8962478857838229, 0.10292875855166082, 0.0008233556645163611], [0.05373398326174045, 0.9462655490075218, 4.6773073785949544e-07], [0.9982062078841321, 0.0008287234601695144, 0.0009650686556983308]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,21,-6106.270296915201,-6106.253373570346,-6106.253269314435,-6106.253269314435,-6106.253269314435,-6106.253269314435,0.0003749675318382717,0.00045493243943928174,0.0,0.0001042559115376207,0.016923344854149036,0.0,none,True,"[0.21986185601144956, 0.7801206240609907, 1.7519927559576367e-05]","[[0.8966299486254611, 0.10260438788569146, 0.0007656634888474376], [0.05355725680260614, 0.9464424486507569, 2.945466369533437e-07], [0.9986611403235713, 0.0005520613573115, 0.0007867983191172183]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,22,-6106.253269314435,-6106.239834908946,-6106.23976243924,-6106.23976243924,-6106.23976243924,-6106.23976243924,0.00030262618385351603,0.00032916577112318546,0.0,7.24697065379587e-05,0.01343440548862418,0.0,none,True,"[0.22016448219530307, 0.7798229444792283, 1.2573325468627485e-05]","[[0.896939433113025, 0.10234729620372482, 0.0007132706832502044], [0.05341670290994984, 0.9465831113067339, 1.8578331633012317e-07], [0.9989903060946945, 0.0003676654231664681, 0.0006420284821391217]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,23,-6106.23976243924,-6106.228788570167,-6106.228738162224,-6106.228738162224,-6106.228738162224,-6106.228738162224,0.0002435109952862724,0.0002503354592365836,0.0,5.040794349042699e-05,0.01097386907258624,0.0,none,True,"[0.22040799319058935, 0.7795829732637237, 9.033545686846654e-06]","[[0.8971897685722616, 0.1021448093798621, 0.000665422047876343], [0.05330555345277886, 0.9466943291804032, 1.1736681798241255e-07], [0.9992307744701425, 0.0002449126621640515, 0.0005243128676933526]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,24,-6106.228738162224,-6106.219530279842,-6106.219495192551,-6106.219495192551,-6106.219495192551,-6106.219495192551,0.0001952941253337559,0.00020213947569391877,0.0,3.508729059831239e-05,0.00920788238181558,0.0,none,True,"[0.2206032873159231, 0.7793902132722452, 6.499411831571838e-06]","[[0.8973919080479555, 0.10198657500220687, 0.0006215169498376349], [0.05321827008530549, 0.9467816556406058, 7.427408882465014e-08], [0.9994082150479124, 0.00016328286648923502, 0.0004285020855982572]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,25,-6106.219495192551,-6106.21158216054,-6106.211557719664,-6106.211557719664,-6106.211557719664,-6106.211557719664,0.00015602809413381435,0.0001628795240995462,0.0,2.444087658659555e-05,0.007913032010947063,0.0,none,True,"[0.22075931541005692, 0.7792360000000397, 4.684589903409345e-06]","[[0.8975547875720551, 0.10186414107947175, 0.0005810713484731674], [0.05315032431196682, 0.9468496285845788, 4.710345436780403e-08], [0.9995404817270537, 0.00010905450393306841, 0.00035046376901321874]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,26,-6106.211557719664,-6106.2046179973195,-6106.204600959933,-6106.204600959933,-6106.204600959933,-6106.204600959933,0.0001240970214332615,0.00013091158385569734,0.0,1.703738689684542e-05,0.006939722344213806,0.0,none,True,"[0.22088341243149018, 0.7791132030311126, 3.384537397139744e-06]","[[0.8976856991559108, 0.10177061075467617, 0.0005436900894130358], [0.05309801609701169, 0.9469019539453312, 2.995765724429119e-08], [0.999640063135761, 7.306756171150626e-05, 0.00028686930252740995]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,27,-6106.204600959933,-6106.198413274092,-6106.198401388692,-6106.198401388692,-6106.198401388692,-6106.198401388692,9.816728491163218e-05,0.00010489494258791865,0.0,1.1885399544553366e-05,0.006187685840814083,0.0,none,True,"[0.2209815797164018, 0.7790159672518466, 2.4530317515644726e-06]","[[0.8977905940984987, 0.10170035942581966, 0.0005090464756817323], [0.05305832453411141, 0.9469416563351429, 1.9130745785330226e-08], [0.9997157552301552, 4.9215382218938e-05, 0.0002350293876258685]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,28,-6106.198401388692,-6106.192811775498,-6106.192803477695,-6106.192803477695,-6106.192803477695,-6106.192803477695,7.714205067665958e-05,8.373576922937609e-05,0.0,8.297803105961066e-06,0.005589613194388221,0.0,none,True,"[0.22105872176707847, 0.7789394927559997, 1.7854769217092348e-06]","[[0.8978743298677281, 0.10164880307215894, 0.00047686706011306054], [0.0530287850814499, 0.9469712026282022, 1.2290347853583701e-08], [0.9997738026754384, 3.343135156339011e-05, 0.00019276597299820898]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,29,-6106.192803477695,-6106.187703261973,-6106.187697463965,-6106.187697463965,-6106.187697463965,-6106.187697463965,6.012132039062701e-05,6.654133689076858e-05,0.0,5.798007805424277e-06,0.005100215721540735,0.0,none,True,"[0.2211188430874691, 0.7788798498980273, 1.3070145036010213e-06]","[[0.8979408712046189, 0.10161220856941447, 0.00044692022596663924], [0.05300738874578822, 0.9469926032874109, 7.966800829367414e-09], [0.9998186785050834, 2.300985452775116e-05, 0.0001583116403887132]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,30,-6106.187697463965,-6106.183008543748,-6106.1830044885855,-6106.1830044885855,-6106.1830044885855,-6106.1830044885855,4.636776061869852e-05,5.258283400977337e-05,0.0,4.055162207805552e-06,0.004688920217631676,0.0,none,True,"[0.2211652108480878, 0.7788338251055708, 9.64046341416036e-07]","[[0.8979934540386286, 0.1015875384180191, 0.0004190075433523711], [0.052992499361024695, 0.947007495405821, 5.233154439587051e-09], [0.9998536178502235, 1.6152170875217652e-05, 0.0001302299789012616]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,31,-6106.1830044885855,-6106.178669497242,-6106.178666657846,-6106.178666657846,-6106.178666657846,-6106.178666657846,3.527794903157577e-05,4.126512052604614e-05,0.0,2.8393951652105898e-06,0.004334991343966976,0.0,none,True,"[0.22120048879711937, 0.7787987930195521, 7.181833285491924e-07]","[[0.8980347191591547, 0.10157232366322998, 0.00039295717761539167], [0.05298278575816209, 0.9470172107375303, 3.5043076050518467e-09], [0.9998809845187738, 1.1663299873235015e-05, 0.00010735218135300747]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,32,-6106.178666657846,-6106.174642382183,-6106.174640391333,-6106.174640391333,-6106.174640391333,-6106.174640391333,2.6358423972028255e-05,3.210211161641663e-05,0.0,1.9908502508769743e-06,0.004024275663141452,0.0,none,True,"[0.2212268472210914, 0.7787726108567585, 5.419221502855249e-07]","[[0.8980668212707711, 0.10156455990272358, 0.00036861882650532997], [0.05297716617447046, 0.9470228314148194, 2.410710122711747e-09], [0.9999025238815753, 8.74981900396669e-06, 8.872629942075435e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,33,-6106.174640391333,-6106.170893362992,-6106.170891964699,-6106.170891964699,-6106.170891964699,-6106.170891964699,1.9205865213561824e-05,2.4696728340378726e-05,0.0,1.398292624799069e-06,0.003747028341422265,0.0,none,True,"[0.22124605308630496, 0.7787535313594819, 4.1555421305120364e-07]","[[0.8980915179991115, 0.10156262219656609, 0.0003458598043223359], [0.0529747627118365, 0.9470252355693242, 1.7188392294694454e-09], [0.9999195382884455, 6.885252754301712e-06, 7.35764588002431e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,34,-6106.170891964699,-6106.167395502139,-6106.167394517881,-6106.167394517881,-6106.167394517881,-6106.167394517881,1.3490763535822792e-05,2.1297812316093605e-05,0.0,9.842578947427683e-07,0.0034964625601787702,0.0,none,True,"[0.22125954384984078, 0.778740131195974, 3.249541851468658e-07]","[[0.8981102425577954, 0.10156519545019846, 0.0003245619920062423], [0.05297486403975505, 0.9470251346791729, 1.2810720399020345e-09], [0.9999330095493333, 5.720484530274086e-06, 6.126996613643682e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,35,-6106.167394517881,-6106.164126736742,-6106.164126041981,-6106.164126041981,-6106.164126041981,-6106.164126041981,8.944003231675657e-06,1.9942547261876447e-05,0.0,6.947611836949363e-07,0.0032677811386747635,0.0,none,True,"[0.22126848785307246, 0.7787312521498978, 2.5999702978009624e-07]","[[0.8981241630936426, 0.10157121746161299, 0.00030461944474436585], [0.05297689485849173, 0.9470231041374487, 1.0040593383248864e-09], [0.99994368510824, 5.024185731949487e-06, 5.129070602792028e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,36,-6106.164126041981,-6106.161068512073,-6106.1610680198955,-6106.1610680198955,-6106.1610680198955,-6106.1610680198955,5.3458589034938164e-06,1.8682943250622366e-05,0.0,4.92177605337929e-07,0.003057529907891876,0.0,none,True,"[0.22127383371197595, 0.7787259528635806, 2.1342444323967622e-07]","[[0.8981342311655583, 0.10157983233294794, 0.0002859365014937435], [0.05298039090275487, 0.9470196082684874, 8.287578070634686e-10], [0.9999521391946777, 4.643229035452741e-06, 4.321757628678244e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,37,-6106.1610680198955,-6106.158204854308,-6106.158204504047,-6106.158204504047,-6106.158204504047,-6106.158204504047,2.5169836101179843e-06,1.7510221925950422e-05,0.0,3.5026096156798303e-07,0.00286316558776889,0.0,none,True,"[0.22127635069558607, 0.778723469271572, 1.8003284201030253e-07]","[[0.898141221356441, 0.10159035236399128, 0.00026842627956779306], [0.052984978484787594, 0.9470150207973965, 7.178157810975973e-10], [0.9999588166290337, 4.476395667810229e-06, 3.670697529845765e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,38,-6106.158204504047,-6106.155521737067,-6106.155521486358,-6106.155521486358,-6106.155521486358,-6106.155521486358,3.110341870726785e-07,1.6416813481895073e-05,0.0,2.507085810066201e-07,0.002682766979887674,0.0,none,True,"[0.22127666172977314, 0.7787231821786921, 1.5609153476202824e-07]","[[0.8981457636470143, 0.10160222688689975, 0.000252009466085898], [0.05299035775573605, 0.9470096415966632, 6.476008107832862e-10], [0.9999640645203755, 4.4569202944051526e-06, 3.1478559330234966e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,39,-6106.155521486358,-6106.153006644903,-6106.153006464159,-6106.153006464159,-6106.153006464159,-6106.153006464159,1.408526146495781e-06,1.5396126683184003e-05,0.0,1.8074388208333403e-07,0.0025148414551949827,0.0,none,True,"[0.22127527036941885, 0.7787245907048386, 1.389257425238592e-07]","[[0.8981483698792825, 0.1016150167813149, 0.000236613339402714], [0.05299628901217716, 0.9470037103846638, 6.03159115092461e-10], [0.9999681554463816, 4.5409077401049945e-06, 2.7303645878169977e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,40,-6106.153006464159,-6106.15064826889,-6106.150648137436,-6106.150648137436,-6106.150648137436,-6106.150648137436,2.699838300590507e-06,1.4442369813530881e-05,0.0,1.3145381672075018e-07,0.0023581952691529295,0.0,none,True,"[0.22127258283914644, 0.7787272905431392, 1.2661771425595525e-07]","[[0.8981494553922703, 0.10162837363814055, 0.0002221709695891831], [0.05300258149619879, 0.9469974179287733, 5.750278100182764e-10], [0.9999713045877898, 4.699649231975085e-06, 2.3995762978167977e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,41,-6106.150648137436,-6106.148436291112,-6106.148436194497,-6106.148436194497,-6106.148436194497,-6106.148436194497,3.6656214880137483e-06,1.364908957411648e-05,0.0,9.661562216933817e-08,0.0022118463239166886,0.0,none,True,"[0.2212689260429067, 0.7787309561646272, 1.1779246629720164e-07]","[[0.8981493567132465, 0.10164202272771466, 0.00020862055903876357], [0.053009084237171024, 0.9469909152056105, 5.572184356711529e-10], [0.9999736825305967, 4.914527336562496e-06, 2.1402942066702076e-05]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
