version,iteration,log_likelihood_before_m_step,log_likelihood_after_transition_update,log_likelihood_after_pi_update,log_likelihood_after_kappa_update,kappa_candidate_log_likelihood,final_iteration_log_likelihood,maximum_change_in_pi,maximum_change_in_transition,maximum_change_in_kappa,pi_step_delta,transition_step_delta,kappa_step_delta,first_decreasing_step,kappa_update_accepted,pi,transition_matrix,sensory_kappas,prior_kappas
fixed_kappa,1,-6404.258574575673,-6235.6103640905285,-6230.413950735506,-6230.413950735506,-6230.413950735506,-6230.413950735506,0.20509976724531986,0.06775046956401654,0.0,5.196413355022742,168.64821048514477,0.0,none,True,"[0.41475553929717685, 0.5550997672453198, 0.030144693457503348]","[[0.8000617831488867, 0.16863959317994784, 0.03129862367116544], [0.11251657075284538, 0.8677504695640166, 0.019732959683138016], [0.4478792911615397, 0.41599742762743125, 0.13612328121102907]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,2,-6230.413950735506,-6170.041974296116,-6168.174348666886,-6168.174348666886,-6168.174348666886,-6168.174348666886,0.1254187857252047,0.07155368810144314,0.0,1.8676256292301332,60.37197643938998,0.0,none,True,"[0.3026806628694443, 0.6805185529705245, 0.01680078416003116]","[[0.811699791240465, 0.16861062312318537, 0.019689585636349552], [0.09492758294503478, 0.8965359532464232, 0.008536463808541938], [0.5194329792629828, 0.3878684252971664, 0.09269859543985069]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,3,-6168.174348666886,-6141.537335594273,-6140.9761571653125,-6140.9761571653125,-6140.9761571653125,-6140.9761571653125,0.0637720251770052,0.0811210009980341,0.0,0.5611784289603747,26.637013072612717,0.0,none,True,"[0.2458417336643275, 0.7442905781475297, 0.009867688188142909]","[[0.8264470306545267, 0.16068814176273216, 0.01286482758274125], [0.08530375618931078, 0.9107180430653381, 0.003978200745351124], [0.6005539802610169, 0.3353116166068444, 0.06413440313213872]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,4,-6140.9761571653125,-6127.254976715586,-6127.095430186199,-6127.095430186199,-6127.095430186199,-6127.095430186199,0.0309395677802502,0.07978948107626727,0.0,0.15954652938671643,13.72118044972649,0.0,none,True,"[0.2185354900222643, 0.77523014592778, 0.0062343640499555614]","[[0.8400535442364574, 0.15111112691534692, 0.008835328848195562], [0.07895346619198317, 0.9190842854042254, 0.0019622484037914584], [0.6803434613372842, 0.2743285465770013, 0.04532799208571445]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,5,-6127.095430186199,-6119.3560386967665,-6119.309618860265,-6119.309618860265,-6119.309618860265,-6119.309618860265,0.014347213248416257,0.07183443304238635,0.0,0.04641983650162729,7.739391489432819,0.0,none,True,"[0.20626459190864954, 0.7895773591761962, 0.004158048915154262]","[[0.851368082911852, 0.14225157908412778, 0.006380338004020301], [0.07416467585985224, 0.9248228394952737, 0.0010124846448741637], [0.7521778943796705, 0.2150660622699853, 0.03275604335034412]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,6,-6119.309618860265,-6114.683154413072,-6114.666522258714,-6114.666522258714,-6114.666522258714,-6114.666522258714,0.005834174051368768,0.06072956423982756,0.0,0.01663215435746679,4.62646444719303,0.0,none,True,"[0.2017244928926457, 0.795411533227565, 0.002863973879789399]","[[0.8604670678468701, 0.13471025499715447, 0.00482267715597545], [0.0703128628732278, 0.9291449070741824, 0.0005422300525897668], [0.8129074586194981, 0.16292187525430105, 0.024170666126200824]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,7,-6114.666522258714,-6111.786852500787,-6111.77765246849,-6111.77765246849,-6111.77765246849,-6111.77765246849,0.0014451198131106846,0.048902016133892445,0.0,0.00920003229748545,2.8796697579273314,0.0,none,True,"[0.2011371667778955, 0.7968566530406757, 0.0020061801814287928]","[[0.867735282507962, 0.12847250575191044, 0.0037922117401277293], [0.06714479622664413, 0.9325556046163045, 0.0002995991570513204], [0.8618094747533905, 0.12002080607839197, 0.01816971916821753]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,8,-6111.77765246849,-6109.933955005807,-6109.926959167467,-6109.926959167467,-6109.926959167467,-6109.926959167467,0.0013333647055902842,0.03787389088909199,0.0,0.006995838339207694,1.8436974626829397,0.0,none,True,"[0.2024705314834858, 0.7961127216067831, 0.0014167469097311266]","[[0.8735543135846384, 0.1233629615947727, 0.0030827248205889135], [0.06452722724327531, 0.9353028551262214, 0.0001699176305033817], [0.8996833656424825, 0.08643878452565165, 0.013877849831865716]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,9,-6109.926959167467,-6108.72350991522,-6108.717798999068,-6108.717798999068,-6108.717798999068,-6108.717798999068,0.002144528662268691,0.02843704480269771,0.0,0.005710916152565915,1.2034492522470828,0.0,none,True,"[0.20461506014575448, 0.7943806993382101, 0.0010042405160355435]","[[0.878232844012819, 0.1191914273191569, 0.002575728668024018], [0.062367305058856265, 0.9375342240951435, 9.847084600025866e-05], [0.9281204104451802, 0.06113765195409733, 0.010741937600722501]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
fixed_kappa,10,-6108.717798999068,-6107.92182050329,-6107.917282178188,-6107.917282178188,-6107.917282178188,-6107.917282178188,0.002360415049900033,0.02084282374641988,0.0,0.004538325102657836,0.79597849577749,0.0,none,True,"[0.2069754751956545, 0.792311396553709, 0.0007131282506365108]","[[0.8820087604089071, 0.11579039486772573, 0.002200844723367284], [0.060589852282611996, 0.9393520681631279, 5.807955426006754e-05], [0.9489632341916001, 0.0426305211163356, 0.008406244692064316]]","{""0.06"": 1.5, ""0.12"": 4.5, ""0.24"": 20.0}","{""80"": 0.5, ""40"": 1.0, ""20"": 6.0, ""10"": 30.0}"
