subject_id,original_n_trials,removed_missing_trials,valid_n_trials,original_n_blocks,n_segments,converged,n_iterations,initial_log_likelihood,final_log_likelihood,log_likelihood_improvement,likelihood_monotonic,maximum_likelihood_drop,sensory_weight,prior_weight,lapse_weight,min_transition_probability,max_transition_probability,kappa_s_6,kappa_s_12,kappa_s_24,kappa_p_10,kappa_p_20,kappa_p_40,kappa_p_80,has_nan,has_inf,reached_max_iter,state_collapse_flag,lapse_near_zero_flag,transition_near_smoothing_floor_flag
1,8562,0,8562,40,40,True,232,-5571.043506493347,-3932.0747634611284,1638.9687430322188,True,0.0,0.7089214925412279,0.28473069465337303,0.006347812805398531,1.2072758316369642e-09,0.8527712988795565,5.415525611993695,11.802146661304477,29.57178236553354,116.11488231855196,45.454706036512995,17.022476304532695,1.2232765939812746,False,False,False,False,False,True
2,7877,0,7877,37,37,True,159,-6404.258574575673,-4530.386690815907,1873.8718837597662,True,0.0,0.2797737764407606,0.6821227687360446,0.03810345482319304,7.404323145395858e-07,0.8473830420716891,3.0681220010327714,5.7141809579651435,15.189773053664913,69.49116172044178,33.07174361035289,9.924566805548633,2.650516720711805,False,False,False,False,False,True
3,9412,0,9412,44,44,True,120,-5978.304503939444,-4406.83063186166,1571.473872077784,True,0.0,0.6062666925625703,0.3762759643004177,0.01745734313701154,5.361206294027906e-10,0.9589501899265378,2.6023242910844537,9.17320547010918,26.373207422687692,28.26268509881286,15.73266675718135,10.084456403937102,14.775514580209729,False,False,False,False,False,True
4,4801,2,4799,23,23,True,67,-4195.2118809838075,-3710.7625609014285,484.449320082379,True,0.0,0.4711458908755688,0.4911107814241069,0.037743327700324444,1.083340158386631e-09,0.9647319718578262,1.6926279176385035,4.727222533993291,10.19760619471336,20.615246385962422,12.07646642966762,6.14756104348541,2.3309700198147296,False,False,False,False,False,True
5,5789,0,5789,27,27,True,592,-8050.280751643119,-7395.50798927475,654.7727623683695,True,0.0,0.9005829090771996,0.033298623908985206,0.06611846701381197,1.502713877144819e-08,0.9856385835933036,1.1322926144983665,3.227918978740778,9.120554242333238,137.7215328811554,1.0000551742334323e-06,0.33435800984400715,1.0000551742334323e-06,False,False,False,False,False,True
6,7553,0,7553,35,35,True,116,-7510.431916091319,-6867.3445713657575,643.0873447255617,True,0.0,0.6175475280219326,0.35112315359327917,0.03132931838478646,6.30257123022262e-10,0.9938433770907925,1.276648078247686,3.281107183932508,13.069047410380529,10.760165891564416,7.941498070098748,4.53184233103462,1.0000551742334323e-06,False,False,False,False,False,True
7,5797,0,5797,27,27,True,83,-4360.677745294189,-3748.0908968763247,612.5868484178641,True,0.0,0.6137485212469771,0.3551979464571355,0.0310535322958872,1.484768846419052e-08,0.9859492503765216,1.9253995734012044,6.274407736049817,16.673929753477395,27.12617829632177,11.960029402680648,10.811109049530534,1.2177403944117418,False,False,False,False,False,True
8,5797,0,5797,27,27,True,221,-7692.273050836699,-7107.878243254242,584.3948075824574,True,0.0,0.39565027611033005,0.47975865973332665,0.12459106415634298,2.2938038913150346e-09,0.9839873769921137,0.816656257070604,2.2271954794932873,9.102469757022146,7.714288646556739,4.102698974772962,3.39858275132421,2.153756246101903,False,False,False,False,False,True
9,8632,0,8632,40,40,True,199,-7998.004868970859,-7422.517678603038,575.4871903678213,True,0.0,0.6656825427739482,0.29590456063172976,0.0384128965943216,1.3619567115287246e-08,0.9040765258723491,1.6911256053986363,5.393704763162439,16.28446254216337,13.91374881294579,11.694573911125866,9.81686335097678,7.380685899084187,False,False,False,False,False,True
10,6045,1,6044,29,28,False,600,-6638.741459990229,-6170.839704458565,467.9017555316632,True,0.0,0.4497740085827535,0.44633501342775955,0.10389097798948778,0.010222365316461883,0.9666097818666172,1.1356637766992468,2.6624187073429737,8.370984175902155,17.545675165674083,16.122041923949766,7.500723754942819,0.3968898410925019,False,False,True,False,False,False
11,6474,0,6474,30,30,True,74,-5754.932195407156,-5327.506019705994,427.4261757011618,True,0.0,0.6773923193016489,0.3004245924259397,0.022183088272412332,0.003936573388225403,0.9577047534042906,1.485177891470457,3.8207945404374235,15.797119164370256,19.847961725559184,14.586218076297698,13.436219928325507,1.0000551742334323e-06,False,False,False,False,False,False
12,6474,0,6474,30,30,True,138,-6791.517892936023,-6122.6135660425125,668.9043268935102,True,0.0,0.4427360814473934,0.45805098535268757,0.09921293319991943,0.003249194236822576,0.9557600515576683,1.1993909005701358,3.377347360986025,8.11205435552175,16.80561958037576,10.985664439392885,7.213245103385111,6.792019890166765,False,False,False,False,False,False
