version,converged,n_iterations,final_log_likelihood,likelihood_monotonic,maximum_likelihood_drop,sensory_weight,prior_weight,lapse_weight,transition_matrix,decreasing_transition_steps,decreasing_pi_steps,decreasing_kappa_steps,rejected_kappa_updates
fixed_kappa,True,164,-6106.114533887722,True,0.0,0.339855642901849,0.6601443274389193,2.965923041487928e-08,"[[0.8980631231695587, 0.10193678581279851, 9.101764269045226e-08], [0.053154566118462324, 0.9468454333615446, 5.199929592282424e-10], [0.973170477351515, 0.010568382368051453, 0.016261140280433642]]",0,0,0,0
approximate_kappa,True,217,-4535.504634550074,False,0.009159543094938272,0.28575772005385247,0.6743786903375154,0.0398635896086304,"[[0.5872926910531635, 0.38626792324283377, 0.026439385704002703], [0.16301507488925912, 0.8347182200777923, 0.002266705032948683], [0.22571090679919084, 1.1140793640608997e-06, 0.7742879791214451]]",0,0,107,0
optimized_kappa,True,159,-4530.386690815907,True,0.0,0.2797737764407606,0.6821227687360446,0.03810345482319304,"[[0.6054390362420446, 0.36836619051794206, 0.026194773240013323], [0.1506850484535637, 0.8473830420716891, 0.0019319094747471662], [0.22477188051122535, 7.404323145395858e-07, 0.7752273790564601]]",0,0,0,0
