subject_id,sensory_to_sensory,sensory_to_prior,sensory_to_lapse,prior_to_sensory,prior_to_prior,prior_to_lapse,lapse_to_sensory,lapse_to_prior,lapse_to_lapse
1,0.7523897718278288,0.24351895640516452,0.004091271767006629,0.6681351863114249,0.32843528770078523,0.0034295259877899,0.9887309220836052,2.193222603477647e-06,0.011266884693791208
2,0.3266963862815365,0.6675295482826963,0.0057740654357673555,0.258286853523493,0.7404421182413228,0.0012710282351840753,0.40492691966170846,2.3591164689953545e-07,0.5950728444266447
3,0.9547143637159808,0.016629054225387907,0.028656582058631298,0.027974418464593524,0.971519777819049,0.0005058037163575795,0.9633385582485764,1.1119349400618259e-08,0.0366614306320742
4,0.8989984950041141,0.018907290360792667,0.08209421463509313,0.01985626102444455,0.9801437373510982,1.6244573127395242e-09,0.9739772649387698,2.7941401936301165e-08,0.02602270711982826
5,0.9285447006840837,0.0013238630078465346,0.07013143630806984,0.07050353184185895,0.9294964143923903,5.3765750762256926e-08,0.7512886512292479,1.4428645087139397e-08,0.24871133434210704
6,0.9464161674511345,0.0057819727310826335,0.04780185981778292,0.010989780070424955,0.9890101914197833,2.850979171410928e-08,0.7619215247915402,0.007013004330600168,0.23106547087785975
7,0.9604312386180044,5.391447427500712e-09,0.03956875599054821,0.0006390268473880262,0.9909216314294993,0.008439341723112729,0.8092570551685967,0.11677676130622944,0.07396618352517384
8,0.8606268887457159,0.019476335924556512,0.11989677532972758,0.01771604622765253,0.9822839523861893,1.3861581710190214e-09,0.4453695481175667,5.134713588985e-09,0.5546304467477199
9,0.732840152959725,0.2640496563663053,0.0031101906739697143,0.663511295499057,0.3364886952287378,9.27220513831887e-09,0.1056683708716721,0.8943312674467546,3.616815732241963e-07
10,0.6193491224058292,0.32678691673737076,0.053863960856800085,0.30578949218803375,0.6942105013953431,6.416623061176e-09,0.30356654959003143,1.7068526171614765e-08,0.6964334333414424
11,0.9984388356003929,0.0015611639170825353,4.825245266239085e-10,0.0009980419066122248,0.9610354221294125,0.03796653596397541,2.639613745851484e-08,0.9453290984364157,0.05467087516744683
12,0.8119667597514169,0.02089796569296972,0.1671352745556134,0.016619836493305142,0.9833801611754049,2.33128991502457e-09,0.767084831959126,1.0752687780359647e-08,0.2329151572881862
