subject_id,session_id,run_id,block_id,trial_index,x_rad,y_rad,coherence,prior_std,p_sensory,p_prior,p_lapse,most_likely_state,viterbi_state
3,1,1,1_1,1,0.0,-0.16949995945377694,0.06,40,0.19640674880785222,0.801508761931456,0.0020844892606917366,prior,prior
3,1,1,1_1,2,0.3490658503988664,0.2305000405462252,0.06,40,0.15859470240595436,0.8403786083773667,0.001026689216679006,prior,prior
3,1,1,1_1,3,0.0,0.2305000405462252,0.24,40,0.13750050846049544,0.8620142113497945,0.00048528018971001223,prior,prior
3,1,1,1_1,4,-0.34906585039886595,-0.009499959453776796,0.06,40,0.11199878027506578,0.8871326161933479,0.0008686035315862107,prior,prior
3,1,1,1_1,5,0.0,-0.009499959453776796,0.12,40,0.108883843832095,0.8907655331090052,0.00035062305889992307,prior,prior
3,1,1,1_1,6,0.3490658503988664,0.15050004054622335,0.12,40,0.10453933008935264,0.8950567192398646,0.00040395067078282147,prior,prior
3,1,1,1_1,7,0.0,0.6305000405462238,0.06,40,0.10052041390608196,0.8985987049408365,0.0008808811530816408,prior,prior
3,1,1,1_1,8,-1.0471975511965979,-0.48949995945377545,0.12,40,0.07768037348707343,0.9214517492380427,0.0008678772748838139,prior,prior
3,1,1,1_1,9,0.17453292519943275,0.15050004054622335,0.06,40,0.060375624343802406,0.939262586791638,0.0003617888645596664,prior,prior
3,1,1,1_1,10,0.17453292519943275,-0.08949995945377687,0.06,40,0.053182821812713096,0.9464492119337777,0.00036796625350915584,prior,prior
3,1,1,1_1,11,0.3490658503988664,0.4705000405462245,0.24,40,0.056818508957749723,0.9431132088359331,6.82822063171621e-05,prior,prior
3,1,1,1_1,12,0.5235987755982991,0.07050004054622416,0.06,40,0.03011984442176609,0.9696929530793118,0.00018720249892202487,prior,prior
3,1,1,1_1,13,0.3490658503988664,0.07050004054622416,0.06,40,0.02139711544366759,0.9784776504533977,0.00012523410293456425,prior,prior
3,1,1,1_1,14,0.17453292519943275,0.3105000405462235,0.06,40,0.019622562160383286,0.9802812516274434,9.618621217332031e-05,prior,prior
3,1,1,1_1,15,0.5235987755982991,0.3105000405462235,0.12,40,0.018286583227305295,0.9816709320705104,4.248470218427767e-05,prior,prior
3,1,1,1_1,16,-0.6981317007977319,0.39050004054622356,0.06,40,0.012134341321300042,0.9875955741999285,0.00027008447877131103,prior,prior
3,1,1,1_1,17,0.5235987755982991,0.15050004054622335,0.12,40,0.015470519429736648,0.9844629423543135,6.653821594973328e-05,prior,prior
3,1,1,1_1,18,0.0,-0.009499959453776796,0.12,40,0.021907447544636686,0.9780459437172689,4.660873809436826e-05,prior,prior
3,1,1,1_1,19,-0.6981317007977319,-0.16949995945377694,0.06,40,0.026496539555070593,0.9733062062474183,0.0001972541975112162,prior,prior
3,1,1,1_1,20,0.0,0.15050004054622335,0.06,40,0.04351443741282156,0.956290069022593,0.00019549356458543378,prior,prior
3,1,1,1_1,21,-0.5235987755982987,0.07050004054622416,0.12,40,0.07569332121531881,0.9235185967764891,0.0007880820081921503,prior,prior
3,1,1,1_1,22,-0.17453292519943275,0.4705000405462245,0.06,40,0.24281467099818707,0.7561990788378768,0.0009862501639360554,prior,prior
3,1,1,1_1,23,-0.6981317007977319,-0.3294999594537753,0.12,40,0.43792786840126696,0.5603144556552596,0.0017576759434734315,prior,prior
3,1,1,1_1,24,0.3490658503988664,0.07050004054622416,0.12,40,0.6605412489249767,0.33701297443129374,0.0024457766437295516,sensory,prior
3,1,1,1_1,25,-0.8726646259971647,-0.8894999594537762,0.24,40,0.9927750127231828,0.005698367550224799,0.0015266197265923675,sensory,sensory
3,1,1,1_1,26,1.0471975511965974,1.0305000405462241,0.12,40,0.9952315318288815,0.0009456930275656477,0.003822775143552931,sensory,sensory
3,1,1,1_1,27,0.5235987755982991,0.2305000405462252,0.06,40,0.9684229780702992,0.02303919118224837,0.008537830747452435,sensory,sensory
3,1,1,1_1,28,-0.8726646259971647,0.4705000405462245,0.06,40,0.9145495852554398,0.03227050486602196,0.053179909878538226,sensory,sensory
3,1,1,1_1,29,1.0471975511965974,1.1905000405462243,0.24,40,0.9825411905981911,0.01686160173913565,0.0005972076626732007,sensory,sensory
3,1,1,1_1,30,-0.8726646259971647,-0.009499959453776796,0.12,40,0.17545954031257643,0.8103529651125101,0.01418749457491345,prior,prior
3,1,1,1_1,31,-1.0471975511965979,-0.6494999594537756,0.06,40,0.16375440966954222,0.8356544687773699,0.0005911215530878857,prior,prior
3,1,1,1_1,32,0.6981317007977319,0.2305000405462252,0.06,40,0.062215606802879374,0.9376204093032935,0.00016398389382708958,prior,prior
3,1,1,1_1,33,-0.5235987755982987,0.6305000405462238,0.12,40,0.007686516683860986,0.9865813603430018,0.005732122973137206,prior,prior
3,1,1,1_1,34,-0.8726646259971647,-0.249499959453777,0.06,40,0.017101986377817315,0.9827270946214187,0.00017091900076393986,prior,prior
3,1,1,1_1,35,0.6981317007977319,0.7905000405462248,0.06,40,0.027750365021296106,0.9722334789749744,1.615600372948314e-05,prior,prior
3,1,1,1_1,36,-1.0471975511965979,0.5505000405462237,0.12,40,5.825861623637439e-05,0.997602317810727,0.002339423573036678,prior,prior
3,1,1,1_1,37,-0.17453292519943275,0.3105000405462235,0.24,40,0.008531875274584226,0.9913087542134218,0.0001593705119939696,prior,prior
3,1,1,1_1,38,-0.34906585039886595,-0.4094999594537754,0.24,40,0.057907323580479717,0.942073685963078,1.8990456442238843e-05,prior,prior
3,1,1,1_1,39,1.0471975511965974,0.7105000405462247,0.06,40,0.06582430502466254,0.9338953871045901,0.00028030787074746923,prior,prior
3,1,1,1_1,40,-0.5235987755982987,0.07050004054622416,0.06,40,0.04016152601462206,0.9594723634287291,0.0003661105566488044,prior,prior
3,1,1,1_1,41,0.0,-0.08949995945377687,0.06,40,0.03549874920206465,0.9642863017182002,0.00021494907973519816,prior,prior
3,1,1,1_1,42,0.6981317007977319,-0.08949995945377687,0.06,40,0.03735485708248063,0.9621510763381058,0.0004940665794134844,prior,prior
3,1,1,1_1,43,-0.17453292519943275,0.9505000405462241,0.06,40,0.06460084469453994,0.9345253167662703,0.000873838539189775,prior,prior
3,1,1,1_1,44,-0.17453292519943275,0.2305000405462252,0.06,40,0.04938355584297046,0.9502543975602495,0.000362046596779949,prior,prior
3,1,1,1_1,45,0.8726646259971647,-0.009499959453776796,0.06,40,0.04338849269638173,0.955861269472839,0.0007502378307793297,prior,prior
3,1,1,1_1,46,0.6981317007977319,0.2305000405462252,0.06,40,0.06449296156881619,0.9350827100517131,0.0004243283794707469,prior,prior
3,1,1,1_1,47,0.5235987755982991,-0.009499959453776796,0.12,40,0.10951174069197175,0.8896085030982107,0.0008797562098174904,prior,prior
3,1,1,1_1,48,0.17453292519943275,0.4705000405462245,0.06,40,0.28501086823847377,0.7140414151854538,0.000947716576072334,prior,prior
3,1,1,1_1,49,0.8726646259971647,0.5505000405462237,0.06,40,0.41869067417037653,0.5787924782305244,0.0025168475990990503,prior,prior
3,1,1,1_1,50,-0.5235987755982987,0.15050004054622335,0.12,40,0.4773408140157751,0.5107652732101708,0.011893912774054187,prior,prior
3,1,1,1_1,51,0.8726646259971647,1.0305000405462241,0.24,40,0.9944346241470753,0.003992202944354273,0.0015731729085704102,sensory,sensory
3,1,1,1_1,52,1.0471975511965974,1.1905000405462243,0.12,40,0.9952614638197801,0.0010059525980362562,0.0037325835821836358,sensory,sensory
3,1,1,1_1,53,-0.17453292519943275,0.2305000405462252,0.06,40,0.8605448563076207,0.13180645899237828,0.007648684700000966,sensory,sensory
3,1,1,1_1,54,0.17453292519943275,-0.009499959453776796,0.06,40,0.798508188094898,0.1950910595741256,0.006400752330976518,sensory,sensory
3,1,1,1_1,55,-1.2217304763960306,0.07050004054622416,0.06,40,0.7436417554088257,0.21852568623707833,0.037832558354095956,sensory,sensory
3,1,1,1_1,56,-0.34906585039886595,-0.249499959453777,0.24,40,0.8672836360986113,0.13062833228513498,0.00208803161625373,sensory,sensory
3,1,1,1_1,57,-0.17453292519943275,0.2305000405462252,0.12,40,0.9065765417390617,0.08629632618693507,0.007127132074003293,sensory,sensory
3,1,1,1_1,58,-1.2217304763960306,-0.969499959453775,0.06,40,0.9862320356392006,0.006119839343144589,0.007648125017654729,sensory,sensory
3,1,1,1_1,59,0.17453292519943275,0.3105000405462235,0.12,40,0.9900064298031609,0.005761341162740398,0.004232229034098744,sensory,sensory
3,1,1,1_1,60,-0.5235987755982987,-0.4094999594537754,0.24,40,0.9924655584351086,0.004837574763718752,0.002696866801172666,sensory,sensory
3,1,1,1_1,61,-0.17453292519943275,0.15050004054622335,0.12,40,0.9863414870150827,0.007398572713265141,0.006259940271652097,sensory,sensory
3,1,1,1_1,62,0.0,0.07050004054622416,0.12,40,0.9909561491515814,0.005052928444571317,0.003990922403847399,sensory,sensory
3,1,1,1_1,63,1.221730476396031,1.2705000405462235,0.06,40,0.9922814153071763,1.3888510864666806e-05,0.0077046961819590655,sensory,sensory
3,1,1,1_1,64,0.6981317007977319,1.0305000405462241,0.12,40,0.9933249809005066,0.00035148611518034207,0.006323532984313183,sensory,sensory
3,1,1,1_1,65,-0.17453292519943275,0.07050004054622416,0.06,40,0.9659139922930752,0.025905794693946785,0.008180213012978074,sensory,sensory
3,1,1,1_1,66,0.8726646259971647,0.15050004054622335,0.12,40,0.9299290799481684,0.033936651386708885,0.036134268665122725,sensory,sensory
3,1,1,1_1,67,-1.2217304763960306,-1.049499959453776,0.24,40,0.9962665733099385,0.00039935475536742793,0.0033340719346939473,sensory,sensory
3,1,1,1_1,68,0.17453292519943275,0.4705000405462245,0.06,40,0.9898819148122052,0.0013928932180792529,0.00872519196971559,sensory,sensory
3,1,1,1_1,69,0.17453292519943275,1.2705000405462235,0.06,40,0.9697944206859086,0.000692440128609502,0.02951313918548191,sensory,sensory
3,1,1,1_1,70,-0.34906585039886595,0.15050004054622335,0.12,40,0.9377722058309915,0.0509447324183031,0.011283061750705307,sensory,sensory
3,1,1,1_1,71,-0.17453292519943275,-0.3294999594537753,0.24,40,0.9326871173289826,0.06445887802788897,0.002854004643128476,sensory,sensory
3,1,1,1_1,72,-0.5235987755982987,-0.009499959453776796,0.12,40,0.8930713169585593,0.09555633424185869,0.011372348799581886,sensory,sensory
3,1,1,1_1,73,0.17453292519943275,0.07050004054622416,0.12,40,0.9029036781942064,0.09341277154366728,0.003683550262126263,sensory,sensory
3,1,1,1_1,74,-0.17453292519943275,0.07050004054622416,0.12,40,0.9076718593793252,0.08771113138925703,0.004617009231417886,sensory,sensory
3,1,1,1_1,75,0.6981317007977319,0.4705000405462245,0.24,40,0.9226105835841255,0.07325700479240564,0.004132411623468776,sensory,sensory
3,1,1,1_1,76,-0.34906585039886595,0.7905000405462248,0.06,40,0.8945363325426778,0.07464426407358592,0.03081940338373631,sensory,sensory
3,1,1,1_1,77,0.5235987755982991,0.07050004054622416,0.06,40,0.9021072948164319,0.08867413701452635,0.009218568169041645,sensory,sensory
3,1,1,1_1,78,-0.17453292519943275,0.39050004054622356,0.12,40,0.9040530250037523,0.08130863617858339,0.014638338817664215,sensory,sensory
3,1,1,1_1,79,-0.6981317007977319,-0.3294999594537753,0.12,40,0.9397632666102801,0.05354866126669068,0.006688072123029135,sensory,sensory
3,1,1,1_1,80,0.17453292519943275,0.5505000405462237,0.12,40,0.9737190553295072,0.01922021870011665,0.007060725970376165,sensory,sensory
3,1,1,1_1,81,-1.5707963267948966,-1.049499959453776,0.12,40,0.9838590991509534,0.0032369928826418374,0.012903907966404731,sensory,sensory
3,1,1,1_1,82,0.8726646259971647,-0.009499959453776796,0.06,40,0.9690434153281159,0.01142593285226068,0.019530651819623414,sensory,sensory
3,1,1,1_1,83,0.6981317007977319,0.870500040546224,0.12,40,0.9920172760142714,0.0035518433721146644,0.00443088061361397,sensory,sensory
3,1,1,1_1,84,-0.17453292519943275,0.07050004054622416,0.06,40,0.9764403548862742,0.015358039488900205,0.008201605624825518,sensory,sensory
3,1,1,1_1,85,-0.5235987755982987,0.07050004054622416,0.06,40,0.9717379081832779,0.016453895569174787,0.011808196247547427,sensory,sensory
3,1,1,1_1,86,1.221730476396031,1.0305000405462241,0.06,40,0.9894235961092785,0.002684044183360619,0.007892359707360741,sensory,sensory
3,1,1,1_1,87,0.17453292519943275,-0.009499959453776796,0.12,40,0.9813662786636685,0.014147430762824967,0.004486290573506452,sensory,sensory
3,1,1,1_1,88,0.3490658503988664,0.07050004054622416,0.12,40,0.973797717976409,0.020740356049902375,0.005461925973688655,sensory,sensory
3,1,1,1_1,89,-0.5235987755982987,0.2305000405462252,0.06,40,0.9637876196442847,0.021042808130093023,0.015169572225622178,sensory,sensory
3,1,1,1_1,90,-0.34906585039886595,-0.8894999594537762,0.06,40,0.9850774841414246,0.003991715779072051,0.01093080007950324,sensory,sensory
3,1,1,1_1,91,0.17453292519943275,0.15050004054622335,0.24,40,0.9926953618359778,0.005007357581892182,0.0022972805821300755,sensory,sensory
3,1,1,1_1,92,-0.17453292519943275,-0.16949995945377694,0.24,40,0.9910543009310714,0.0066727926653066824,0.0022729064036218264,sensory,sensory
3,1,1,1_1,93,-0.34906585039886595,0.15050004054622335,0.06,40,0.9796170382401246,0.009837690017909599,0.010545271741965855,sensory,sensory
3,1,1,1_1,94,0.5235987755982991,0.9505000405462241,0.24,40,0.9723115598002917,0.004026999517054092,0.02366144068265421,sensory,sensory
3,1,1,1_1,95,0.0,0.2305000405462252,0.12,40,0.9864560076695673,0.0085578960502464,0.00498609628018623,sensory,sensory
3,1,1,1_1,96,0.3490658503988664,0.07050004054622416,0.24,40,0.9831168523402938,0.010621472034195976,0.006261675625510334,sensory,sensory
3,1,1,1_1,97,0.17453292519943275,0.7905000405462248,0.06,40,0.9811030410576901,0.006690473006602696,0.012206485935707046,sensory,sensory
3,1,1,1_1,98,0.5235987755982991,0.2305000405462252,0.06,40,0.9796645134394822,0.011800286916839606,0.0085351996436782,sensory,sensory
3,1,1,1_1,99,0.0,0.15050004054622335,0.06,40,0.9820213323511687,0.010135371839974303,0.007843295808857093,sensory,sensory
3,1,1,1_1,100,1.221730476396031,1.1105000405462233,0.24,40,0.9970716460502842,0.00025571130534568883,0.0026726426443701057,sensory,sensory
3,1,1,1_1,101,-0.34906585039886595,0.2305000405462252,0.12,40,0.9734734548238593,0.00937040602097641,0.0171561391551644,sensory,sensory
3,1,1,1_1,102,-0.8726646259971647,-0.5694999594537764,0.06,40,0.9846847646914418,0.006380684602432445,0.008934550706125722,sensory,sensory
3,1,1,1_1,103,-0.34906585039886595,1.1105000405462233,0.06,40,0.9234340508929265,0.0056836257064849195,0.07088232340058855,sensory,sensory
3,1,1,1_1,104,0.0,0.2305000405462252,0.12,40,0.9679648733608139,0.027115273915129325,0.004919852724056656,sensory,sensory
3,1,1,1_1,105,0.6981317007977319,0.7905000405462248,0.12,40,0.9505606539527454,0.0471291658303035,0.0023101802169510828,sensory,sensory
3,1,1,1_1,106,0.5235987755982991,0.15050004054622335,0.12,40,0.564228708131067,0.43320245391077755,0.0025688379581553836,sensory,prior
3,1,1,1_1,107,0.17453292519943275,0.4705000405462245,0.06,40,0.3501571063679316,0.6491623171531614,0.0006805764789070025,prior,prior
3,1,1,1_1,108,-1.5707963267948966,0.3105000405462235,0.06,40,0.060340398321938424,0.927274457954353,0.01238514372370861,prior,prior
3,1,1,1_1,109,-0.17453292519943275,0.39050004054622356,0.06,40,0.07288868865578314,0.926353855370473,0.000757455973743845,prior,prior
3,1,1,1_1,110,0.8726646259971647,0.07050004054622416,0.06,40,0.07661223079871456,0.922276092560412,0.0011116766408734438,prior,prior
3,1,1,1_1,111,-0.34906585039886595,-0.5694999594537764,0.24,40,0.12360289031085048,0.8760575387448472,0.00033957094430246676,prior,prior
3,1,1,1_1,112,-0.8726646259971647,0.15050004054622335,0.12,40,0.09329005346668055,0.879427276671193,0.027282669862126376,prior,prior
3,1,1,1_1,113,-0.6981317007977319,-0.48949995945377545,0.12,40,0.7351335076329802,0.26422049773759504,0.0006459946294246745,sensory,sensory
3,1,1,1_1,114,0.5235987755982991,0.9505000405462241,0.06,40,0.9707073236848149,0.022158558521825873,0.007134117793359101,sensory,sensory
3,1,1,1_1,115,-0.17453292519943275,0.07050004054622416,0.12,40,0.9806075855920067,0.01435204884478358,0.00504036556320965,sensory,sensory
3,1,1,1_1,116,-1.3962634015954634,-1.5294999594537773,0.12,40,0.9957250013775545,1.2034298427656327e-06,0.004273795192602658,sensory,sensory
3,1,1,1_1,117,-0.17453292519943275,1.0305000405462241,0.06,40,0.9601964184605642,0.0001209687347307309,0.03968261280470485,sensory,sensory
3,1,1,1_1,118,-0.8726646259971647,-0.7294999594537757,0.24,40,0.9966244236171691,0.00032170788447986767,0.0030538684983510704,sensory,sensory
3,1,1,1_1,119,0.0,-0.009499959453776796,0.06,40,0.9883341034896421,0.003997999885193173,0.007667896625164691,sensory,sensory
3,1,1,1_1,120,0.17453292519943275,0.2305000405462252,0.24,40,0.9956652472038813,0.0019439349438418073,0.0023908178522768675,sensory,sensory
3,1,1,1_1,121,0.6981317007977319,1.1105000405462233,0.12,40,0.9915211235782861,8.296545445710272e-05,0.008395910967256674,sensory,sensory
3,1,1,1_1,122,0.0,-0.009499959453776796,0.06,40,0.989583279515435,0.002682837681330058,0.007733882803234992,sensory,sensory
3,1,1,1_1,123,-1.3962634015954634,-0.969499959453775,0.06,40,0.9900551984610965,0.00023873943197003498,0.009706062106933552,sensory,sensory
3,1,1,1_1,124,0.0,0.2305000405462252,0.24,40,0.9940813826126492,0.001245793582436273,0.004672823804914569,sensory,sensory
3,1,1,1_1,125,0.17453292519943275,1.2705000405462235,0.06,40,0.96900241299679,5.7533567110133254e-05,0.030940053436099763,sensory,sensory
3,1,1,1_1,126,-0.34906585039886595,0.2305000405462252,0.06,40,0.9852382436858814,0.0028683261129326364,0.011893430201185924,sensory,sensory
3,1,1,1_1,127,1.5707963267948966,1.2705000405462235,0.12,40,0.9940685050930524,5.306092994597517e-06,0.005926188813952856,sensory,sensory
3,1,1,1_1,128,1.3962634015954638,1.7505000405462265,0.06,40,0.9907826716763176,5.63069997046885e-07,0.009216765253685292,sensory,sensory
3,1,1,1_1,129,0.8726646259971647,-0.009499959453776796,0.12,40,0.870422870248362,0.03214963337790512,0.09742749637373287,sensory,sensory
3,1,1,1_1,130,-1.2217304763960306,-0.969499959453775,0.12,40,0.9936977355073625,0.0009241594509654155,0.00537810504167207,sensory,sensory
3,1,1,1_1,131,0.0,-0.969499959453775,0.06,40,0.9754355776939442,0.0011172187159052109,0.023447203590150678,sensory,sensory
3,1,1,1_1,132,-0.34906585039886595,0.2305000405462252,0.12,40,0.9735373436914375,0.009148930746677747,0.01731372556188472,sensory,sensory
3,1,1,1_1,133,0.6981317007977319,0.9505000405462241,0.24,40,0.9893145354422385,0.005611526666121927,0.005073937891639629,sensory,sensory
3,1,1,1_1,134,-0.34906585039886595,0.39050004054622356,0.12,40,0.9017836140972628,0.05915986765360994,0.03905651824912713,sensory,sensory
3,1,1,1_1,135,0.8726646259971647,0.2305000405462252,0.12,40,0.9156867630384737,0.06164258705145423,0.02267064991007201,sensory,sensory
3,1,1,1_1,136,0.17453292519943275,0.15050004054622335,0.24,40,0.9727107265824196,0.02509354853173056,0.002195724885849737,sensory,sensory
3,1,1,1_1,137,-0.8726646259971647,-0.7294999594537757,0.06,40,0.9882327947276148,0.004025777427720427,0.007741427844664701,sensory,sensory
3,1,1,1_1,138,0.6981317007977319,1.1905000405462243,0.12,40,0.9881903093026175,0.0004608124916316617,0.011348878205750765,sensory,sensory
3,1,1,1_1,139,0.3490658503988664,0.3105000405462235,0.06,40,0.9728874769163428,0.019587193532579435,0.007525329551077814,sensory,sensory
3,1,1,1_1,140,-0.17453292519943275,-0.6494999594537756,0.12,40,0.9580898406625915,0.031841196028576435,0.01006896330883191,sensory,sensory
3,1,1,1_1,141,0.5235987755982991,-0.009499959453776796,0.06,40,0.9230636210672688,0.06662869868478401,0.010307680247947199,sensory,sensory
