iteration,log_likelihood
1,-7575.079491433855
2,-7349.85892147028
3,-7190.28844702867
4,-7106.463475684248
5,-7067.9967270885745
6,-7033.940685362376
7,-7014.7409548469805
8,-7004.590260282116
9,-6998.417544160959
10,-6994.044052911982
11,-6990.570036224979
12,-6987.568279252807
13,-6984.832791673049
14,-6982.349184896874
15,-6980.201838433819
16,-6978.394253021255
17,-6976.860714531993
18,-6975.5395869200365
19,-6974.387876527462
20,-6973.375927883955
21,-6972.482271312849
22,-6971.690493455485
23,-6970.98743260097
24,-6970.362135247645
25,-6969.805249053852
26,-6969.308665658777
27,-6968.865302488721
28,-6968.4689567478035
29,-6968.114193102223
30,-6967.7962459777855
31,-6967.510930130766
32,-6967.254559876552
33,-6967.0238791707425
34,-6966.816003639891
35,-6966.628373783795
36,-6966.458717277207
37,-6966.30501794844
38,-6966.1654893435825
39,-6966.038551386026
40,-6965.922809218555
41,-6965.817033743107
42,-6965.720143638383
43,-6965.6311887743495
44,-6965.5493349990675
45,-6965.473850283831
46,-6965.404092201224
47,-6965.339496691923
48,-6965.279568057679
49,-6965.223870102919
50,-6965.172018337648
51,-6965.123673148782
52,-6965.078533845819
53,-6965.036333488688
54,-6964.99683440943
55,-6964.959824345252
56,-6964.925113106921
57,-6964.892529713392
58,-6964.861919930714
59,-6964.833144159961
60,-6964.8060756255845
61,-6964.780598821433
62,-6964.756608177333
63,-6964.734006913965
64,-6964.712706058334
65,-6964.6926235958645
66,-6964.673683738741
67,-6964.655816293031
68,-6964.638956109712
69,-6964.623042607005
70,-6964.608019353326
71,-6964.593833701731
72,-6964.580436468324
73,-6964.567781648032
74,-6964.555826162434
75,-6964.544529634922
76,-6964.5338541894425
77,-6964.523764269486
78,-6964.514226474595
79,-6964.50520941211
80,-6964.496683562145
81,-6964.488621154187
82,-6964.480996053879
83,-6964.473783658882
84,-6964.466960802685
85,-6964.460505665624
86,-6964.4543976923005
87,-6964.448617514807
88,-6964.443146881186
89,-6964.437968588665
90,-6964.4330664212575
91,-6964.428425091384
92,-6964.42403018515
93,-6964.4198681110465
94,-6964.415926051808
95,-6964.412191919185
96,-6964.408654311475
97,-6964.405302473564
98,-6964.4021262593715
99,-6964.399116096517
100,-6964.3962629530715
101,-6964.393558306256
102,-6964.390994113016
103,-6964.388562782269
104,-6964.386257148823
105,-6964.384070448786
106,-6964.381996296456
107,-6964.380028662516
108,-6964.378161853534
109,-6964.37639049265
110,-6964.374709501397
111,-6964.373114082582
112,-6964.371599704165
113,-6964.370162084088
114,-6964.368797175988
115,-6964.3675011557325
116,-6964.366270408771
117,-6964.365101518192
118,-6964.363991253506
119,-6964.362936560068
120,-6964.361934549115
121,-6964.360982488407
122,-6964.360077793382
123,-6964.359218018842
124,-6964.35840085113
125,-6964.357624100757
126,-6964.3568856954535
127,-6964.3561836736035
128,-6964.355516178118
129,-6964.354881450596
130,-6964.354277825865
131,-6964.353703726813
132,-6964.3531576595515
133,-6964.352638208794
134,-6964.352144033581
135,-6964.351673863179
136,-6964.3512264932515
137,-6964.350800782241
138,-6964.350395647949
139,-6964.350010064322
140,-6964.3496430584055
141,-6964.349293707488
142,-6964.348961136391
143,-6964.348644514907
144,-6964.3483430554115
145,-6964.3480560105645
146,-6964.347782671182
147,-6964.347522364204
148,-6964.347274450757
149,-6964.347038324388
150,-6964.346813409314
151,-6964.346599158823
152,-6964.346395053755
153,-6964.346200601052
154,-6964.346015332394
155,-6964.345838802903
156,-6964.345670589943
157,-6964.345510291943
158,-6964.345357527328
159,-6964.345211933476
160,-6964.345073165737
161,-6964.344940896525
162,-6964.344814814428
163,-6964.344694623391
164,-6964.344580041919
165,-6964.344470802358
166,-6964.344366650171
167,-6964.3442673432755
168,-6964.344172651426
169,-6964.344082355607
170,-6964.34399624747
171,-6964.343914128789
172,-6964.343835810972
173,-6964.343761114551
174,-6964.3436898687505
175,-6964.343621911052
176,-6964.343557086759
177,-6964.343495248635
178,-6964.343436256526
179,-6964.3433799770055
