iteration,log_likelihood
1,-4709.264795509849
2,-3740.9101860805313
3,-3580.572938098576
4,-3535.8343167676253
5,-3511.761398449533
6,-3493.4176317997867
7,-3475.2678563630257
8,-3459.52772797796
9,-3443.5682381887214
10,-3422.4156542374785
11,-3393.930197929765
12,-3354.1304001988965
13,-3305.5349861730083
14,-3262.990654561324
15,-3237.0869773088593
16,-3225.0080219164097
17,-3219.7431923609806
18,-3217.222683708256
19,-3215.9911324242094
20,-3215.37016622936
21,-3215.0179608900667
22,-3214.7941636002997
23,-3214.6408116291336
24,-3214.5307832568
25,-3214.449484837813
26,-3214.3881309990456
27,-3214.3410226337464
28,-3214.3042945207544
29,-3214.275257761187
30,-3214.252013191788
31,-3214.233204726317
32,-3214.217853666529
33,-3214.2052442934023
34,-3214.1948440693036
35,-3214.1862481200837
36,-3214.179141033108
37,-3214.173270977012
38,-3214.1684324410153
39,-3214.164454837837
40,-3214.161194958155
41,-3214.1585318611687
42,-3214.156363252908
43,-3214.1546027516088
44,-3214.153177681304
45,-3214.1520271934783
46,-3214.1511006147634
47,-3214.150355973836
48,-3214.149758688094
49,-3214.149280401365
50,-3214.148897965715
51,-3214.1485925601246
52,-3214.148348935684
53,-3214.148154776082
54,-3214.148000160746
55,-3214.147877117786
56,-3214.1477792544083
57,-3214.1477014532184
58,-3214.1476396240887
59,-3214.1475905021816
60,-3214.14755148441
61,-3214.147520497247
62,-3214.1474958903354
63,-3214.147476351022
64,-3214.147460835834
65,-3214.1474485156386
66,-3214.1474387318995
67,-3214.1474309617156
68,-3214.1474247899273
69,-3214.147419887054
70,-3214.1474159915765
71,-3214.147412895928
72,-3214.1474104354293
73,-3214.147408479335
74,-3214.1474069239016
75,-3214.147405686781
76,-3214.1474047025986
