iteration,log_likelihood
1,-3969.140816976723
2,-3737.3414937929824
3,-3666.6722836810354
4,-3644.9820524727897
5,-3632.340846914636
6,-3624.6979419455615
7,-3620.6104428112294
8,-3618.500140845453
9,-3617.366482278067
10,-3616.7026628773906
11,-3616.2679267936232
12,-3615.950066708308
13,-3615.6963412323844
14,-3615.4811709388873
15,-3615.291496368929
16,-3615.12017977897
17,-3614.962994887399
18,-3614.817217711635
19,-3614.6809428706893
20,-3614.552737257344
21,-3614.431455925718
22,-3614.3161389688607
23,-3614.2059504281547
24,-3614.100139817986
25,-3613.9980161739527
26,-3613.8989291329667
27,-3613.802253894823
28,-3613.7073781342433
29,-3613.61368956806
30,-3613.520563195687
31,-3613.427347349303
32,-3613.33334767266
33,-3613.237808016136
34,-3613.1398869873165
35,-3613.0386285098507
36,-3612.932924175675
37,-3612.821464363687
38,-3612.702673951504
39,-3612.574626846495
40,-3612.434931374636
41,-3612.2805756820594
42,-3612.1077187820474
43,-3611.91140930167
44,-3611.6852123336307
45,-3611.420730485731
46,-3611.1070313370283
47,-3610.7300686947137
48,-3610.272363771828
49,-3609.7135725673775
50,-3609.0331339752797
51,-3608.21666457497
52,-3607.266983219293
53,-3606.216735052121
54,-3605.133143437246
55,-3604.1044627688925
56,-3603.2108075827928
57,-3602.4981388339074
58,-3601.9713698315545
59,-3601.605255375861
60,-3601.361579709877
61,-3601.2029468877518
62,-3601.099642077218
63,-3601.0308439204045
64,-3600.983038217343
65,-3600.947795031381
66,-3600.9198950254154
67,-3600.8960220172544
68,-3600.8739283977293
69,-3600.8519220458447
70,-3600.8285588243116
71,-3600.8024839071613
72,-3600.7724292877974
73,-3600.737430429541
74,-3600.697314231922
75,-3600.6533148627595
76,-3600.608298542437
77,-3600.5660156898125
78,-3600.529616820069
79,-3600.500571493234
80,-3600.4786941412663
81,-3600.4628554879455
82,-3600.4516723612555
83,-3600.4438915865385
84,-3600.438520133747
85,-3600.434824520424
86,-3600.432283606561
87,-3600.43053496546
88,-3600.4293293557153
89,-3600.4284962431843
90,-3600.4279191137475
91,-3600.4275183073805
92,-3600.4272392608973
93,-3600.4270445112925
94,-3600.4269082689584
95,-3600.426812733223
96,-3600.4267455859103
97,-3600.4266982817066
98,-3600.4266648786456
99,-3600.426641235673
100,-3600.4266244605024
101,-3600.4266125287472
102,-3600.4266040204884
103,-3600.4265979376846
104,-3600.42659357733
105,-3600.4265904431713
106,-3600.426588184113
107,-3600.4265865512057
108,-3600.426585367503
109,-3600.426584506939
