iteration,log_likelihood
1,-4775.274636531702
2,-3826.7414609124853
3,-3668.813106408464
4,-3624.5511876137534
5,-3599.2643773853843
6,-3579.1824047678197
7,-3560.9529274536044
8,-3538.766890747959
9,-3509.6435766022473
10,-3467.967081686166
11,-3410.8118728812765
12,-3354.0537348323523
13,-3318.2407530869114
14,-3302.173300771784
15,-3295.899723756194
16,-3293.3297414001704
17,-3292.0756057431145
18,-3291.3216790448764
19,-3290.788908863092
20,-3290.3751071374045
21,-3290.0378690988596
22,-3289.7562294435584
23,-3289.5177163757157
24,-3289.313750753372
25,-3289.137871155426
26,-3288.9849589173
27,-3288.8508410112436
28,-3288.732049872722
29,-3288.625656592415
30,-3288.529142398543
31,-3288.4402910700414
32,-3288.357091518227
33,-3288.2776422141997
34,-3288.200050343858
35,-3288.1223208205947
36,-3288.04223735752
37,-3287.9572570701175
38,-3287.8644826880864
39,-3287.7608456900202
40,-3287.64368128116
41,-3287.5117417643824
42,-3287.3662217357637
43,-3287.2109146764647
44,-3287.0511004179775
45,-3286.8919843963836
46,-3286.737765169879
47,-3286.591487010013
48,-3286.455232833016
49,-3286.3303239522775
50,-3286.2174438001616
51,-3286.1167181829633
52,-3286.0277968618266
53,-3285.949955238205
54,-3285.882209133621
55,-3285.8234253090386
56,-3285.772413471601
57,-3285.72799365513
58,-3285.6890398536093
59,-3285.654504661377
60,-3285.6234309336724
61,-3285.594956247208
62,-3285.5683150721015
63,-3285.542842487171
64,-3285.517982045957
65,-3285.4932988821597
66,-3285.468497127801
67,-3285.4434381658784
68,-3285.418153541389
69,-3285.3928445251872
70,-3285.367860851842
71,-3285.3436552450403
72,-3285.3207177145337
73,-3285.2995016847226
74,-3285.280358725418
75,-3285.2634969303012
76,-3285.2489702029043
77,-3285.236695750136
78,-3285.2264897114364
79,-3285.218108653326
80,-3285.2112870415785
81,-3285.2057652993635
82,-3285.2013072707186
83,-3285.19770860048
84,-3285.194798621265
85,-3285.1924383076216
86,-3285.1905162996272
87,-3285.1889443301798
88,-3285.187652823172
89,-3285.186587027851
90,-3285.1857038061553
91,-3285.1849690547333
92,-3285.1843556825092
93,-3285.1838420458503
94,-3285.183410747236
95,-3285.1830477156004
96,-3285.182741502022
97,-3285.1824827385904
98,-3285.182263720396
99,-3285.182078080773
100,-3285.1819205369206
101,-3285.181786689297
102,-3285.1816728621184
103,-3285.1815759756387
104,-3285.1814934431773
105,-3285.1814230874766
106,-3285.1813630725055
107,-3285.1813118473847
108,-3285.1812681002416
109,-3285.1812307199216
110,-3285.1811987642322
111,-3285.1811714333926
112,-3285.1811480479155
113,-3285.18112803003
114,-3285.1811108880806
115,-3285.181096203386
116,-3285.181083619189
117,-3285.1810728313167
118,-3285.1810635802904
119,-3285.181055644619
120,-3285.1810488351903
121,-3285.1810429904044
122,-3285.1810379721614
123,-3285.181033662363
124,-3285.1810299599783
125,-3285.1810267785722
126,-3285.181024044128
127,-3285.1810216932645
128,-3285.1810196716924
129,-3285.181017932877
130,-3285.1810164369344
131,-3285.181015149661
132,-3285.1810140417106
133,-3285.1810130879185
