subject_id,fold,n_train_trials,n_test_trials,n_train_runs,n_test_runs,converged,n_iterations,train_log_likelihood,train_ll_per_trial,test_log_likelihood,test_ll_per_trial,likelihood_monotonic,maximum_likelihood_drop,runtime_seconds,parameter_json
11,1,4744,1730,22,8,True,190,-3993.3366793401847,-0.8417657418507978,-1341.5848297395012,-0.7754825605430643,True,0.0,5.30741089998628,"{""initial_prob"": [0.5179400075721244, 0.056924282274524604, 0.425135710153351], ""kappaP"": {""10"": 18.76749973550645, ""20"": 13.821436221613734, ""40"": 11.321539805694488, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.3389624518000813, ""0.12"": 3.6274422436643454, ""0.24"": 15.169091238492776}, ""transition_matrix"": [[0.9665099316388229, 0.011348022227210612, 0.02214204613396644], [0.026330652504750716, 0.9692332006461715, 0.004436146849077704], [0.7643202967763589, 0.1340747037174743, 0.10160499950616679]]}"
12,1,4746,1728,22,8,True,104,-4697.313662669181,-0.9897416061249856,-1436.513155374378,-0.8313154834342465,True,0.0,2.915073100011796,"{""initial_prob"": [0.3046401348222502, 0.4326055272445, 0.26275433793324976], ""kappaP"": {""10"": 15.889630996595173, ""20"": 9.62652943346007, ""40"": 8.076859293866265, ""80"": 4.511120478176486}, ""kappaS"": {""0.06"": 1.1961318005810175, ""0.12"": 3.357201802703733, ""0.24"": 8.821318234094887}, ""transition_matrix"": [[0.8586424306517385, 0.0331584783571234, 0.10819909099113822], [0.03841579142160137, 0.9604652550606236, 0.001118953517774984], [0.5416952283533588, 9.995898664529337e-09, 0.4583047616507426]]}"
1,2,6413,2149,30,10,True,248,-3037.673604976408,-0.4736743497546246,-897.8613301714574,-0.4178042485674534,True,0.0,9.360245799995027,"{""initial_prob"": [0.2601880007597861, 0.5473743538172855, 0.19243764542292835], ""kappaP"": {""10"": 119.37695124339652, ""20"": 39.49155210043548, ""40"": 18.861215722229126, ""80"": 1.33871818333133}, ""kappaS"": {""0.06"": 5.211182656525921, ""0.12"": 11.617545767807947, ""0.24"": 29.941149373589557}, ""transition_matrix"": [[0.831606177918337, 0.16186372684291614, 0.006530095238746661], [0.3956306228210348, 0.6043693758025337, 1.376431465561373e-09], [0.8004641923404819, 6.086869884278485e-07, 0.19953519897252966]]}"
2,2,5747,2130,27,10,True,200,-3118.2093346190554,-0.5425803609916574,-1419.7356450540815,-0.6665425563634185,True,0.0,6.798513000016101,"{""initial_prob"": [0.08674898999322747, 0.9132509616833983, 4.83233742305782e-08], ""kappaP"": {""10"": 68.64444156887978, ""20"": 30.68061372584911, ""40"": 9.926908963382564, ""80"": 3.113095337996035}, ""kappaS"": {""0.06"": 2.6596703633371153, ""0.12"": 5.262717458523939, ""0.24"": 15.035111837999038}, ""transition_matrix"": [[0.6558895148554541, 0.30932139229727845, 0.03478909284726742], [0.1230179691600132, 0.876338284356733, 0.0006437464832538698], [0.2111577387724006, 0.006209764968180202, 0.7826324962594191]]}"
3,2,7048,2364,33,11,True,65,-3329.200595778772,-0.4723610379935828,-1081.5377507349372,-0.4575032786526807,True,0.0,2.6695921999926213,"{""initial_prob"": [0.6887380459317096, 0.25798543939934976, 0.0532765146689406], ""kappaP"": {""10"": 27.196458072901745, ""20"": 15.445601752415602, ""40"": 9.645197822969385, ""80"": 12.545516990940024}, ""kappaS"": {""0.06"": 2.4188646180893785, ""0.12"": 8.72179111140488, ""0.24"": 25.180881033791092}, ""transition_matrix"": [[0.9564640213820355, 0.020778725100590797, 0.02275725351737371], [0.030659143316527797, 0.9693408558800887, 8.033834582425933e-10], [0.9308344707372525, 1.9567035845415502e-08, 0.06916550969571185]]}"
4,2,3734,1065,18,5,True,76,-2902.39477346694,-0.7772883699697214,-809.3107586237053,-0.7599162052804744,True,0.0,1.6688007999910042,"{""initial_prob"": [0.1619986147892053, 0.7597929187172487, 0.07820846649354585], ""kappaP"": {""10"": 19.609498381371406, ""20"": 11.58590768303459, ""40"": 6.010190534532062, ""80"": 2.340801969780092}, ""kappaS"": {""0.06"": 1.719594067091653, ""0.12"": 4.729056283961215, ""0.24"": 9.863145006161874}, ""transition_matrix"": [[0.8944117670552122, 0.03525878725714343, 0.07032944568764438], [0.033128976588681934, 0.9668710220375624, 1.3737556137470054e-09], [0.8205359359401522, 3.5694319726454175e-08, 0.17946402836552816]]}"
5,2,4533,1256,21,6,True,446,-5797.767004186702,-1.2790132371909777,-1604.5261794765229,-1.2774889963985054,True,0.0,11.919899700005772,"{""initial_prob"": [0.999999230626333, 2.5138910363081043e-07, 5.179845635004753e-07], ""kappaP"": {""10"": 500.0, ""20"": 0.47163172009991133, ""40"": 0.8164525890691485, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.1029783230846653, ""0.12"": 3.2694792885180477, ""0.24"": 9.394062934971556}, ""transition_matrix"": [[0.9454244356450909, 0.008807004389765507, 0.04576855996514362], [0.9997900638529247, 0.00020978824551787128, 1.4790155758959145e-07], [0.5035457280409853, 1.7773819318260837e-08, 0.4964542541851954]]}"
6,2,5801,1752,27,8,True,168,-5223.857591236971,-0.900509841619888,-1646.2766608847692,-0.9396556283588864,True,0.0,5.711947100004181,"{""initial_prob"": [0.7434086248327774, 7.552894202578641e-08, 0.2565912996382806], ""kappaP"": {""10"": 11.555237245921331, ""20"": 8.043784957432766, ""40"": 4.245713085578844, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.3259951301011128, ""0.12"": 3.264873687480566, ""0.24"": 13.286978393942267}, ""transition_matrix"": [[0.9789879816948273, 0.00612458882323461, 0.014887429481938176], [0.006308638438243612, 0.9936913607563297, 8.054267052257325e-10], [0.3613445693287793, 0.009768265766064415, 0.6288871649051564]]}"
7,2,4487,1310,21,6,True,71,-2824.770448646508,-0.6295454532307796,-925.8788341221652,-0.7067777359711185,True,0.0,1.8839040999882848,"{""initial_prob"": [0.5609347564312714, 0.2887720341834457, 0.150293209385283], ""kappaP"": {""10"": 28.107947907305068, ""20"": 12.641391381392761, ""40"": 10.569745479541384, ""80"": 1.2111015926594888}, ""kappaS"": {""0.06"": 1.9822886820907317, ""0.12"": 6.496828336862679, ""0.24"": 17.171370503742125}, ""transition_matrix"": [[0.9475662216843198, 0.012748995077202998, 0.039684783238477274], [0.020786403614530206, 0.9792135902630771, 6.1223927513854635e-09], [0.8222356985818824, 2.270660417203285e-08, 0.17776427871151335]]}"
8,2,4298,1499,20,7,True,328,-5446.262388579458,-1.2671620261934524,-1674.087383177487,-1.1168027906454217,True,0.0,8.350397700007306,"{""initial_prob"": [2.773801930584074e-07, 0.684196502595687, 0.3158032200241199], ""kappaP"": {""10"": 6.81452525521681, ""20"": 3.989856667777657, ""40"": 3.5593469655481327, ""80"": 2.203029477674654}, ""kappaS"": {""0.06"": 0.8292187430883109, ""0.12"": 2.7860216161315527, ""0.24"": 9.594475586400193}, ""transition_matrix"": [[0.7928330722489617, 0.03175107217413925, 0.17541585557689907], [0.02827602030520987, 0.9717239778146771, 1.880112845029973e-09], [0.5130491601168357, 1.2562852289251057e-08, 0.4869508273203121]]}"
9,2,6474,2158,30,10,True,130,-5621.5329215649845,-0.8683245167693828,-1807.2756170417967,-0.8374771163307679,True,0.0,4.961840399977518,"{""initial_prob"": [0.8453143850784511, 0.1546854926603991, 1.2226114976790424e-07], ""kappaP"": {""10"": 11.60954104797093, ""20"": 9.588185223265274, ""40"": 4.97592172838004, ""80"": 7.399043298536708}, ""kappaS"": {""0.06"": 1.6350684730360214, ""0.12"": 5.085345102805864, ""0.24"": 15.906645646672215}, ""transition_matrix"": [[0.9258953437425942, 0.025971527678277026, 0.048133128579128805], [0.05199038504172938, 0.9468590356659315, 0.0011505792923390747], [0.7885332401921202, 9.339733675336597e-09, 0.21146675046814617]]}"
10,2,4333,1711,20,8,True,576,-3999.723970288589,-0.9230842303920124,-2189.0972894674,-1.2794256513544124,True,0.0,14.67781809999724,"{""initial_prob"": [0.7853977762503831, 0.21460207541835455, 1.4833126229346198e-07], ""kappaP"": {""10"": 19.27739708825914, ""20"": 18.620746331780904, ""40"": 7.879402711237186, ""80"": 0.5912137923158086}, ""kappaS"": {""0.06"": 0.8840642917224675, ""0.12"": 1.7305986879124642, ""0.24"": 7.838701712927374}, ""transition_matrix"": [[0.9524123561938257, 0.0025753696262197073, 0.04501227417995455], [0.003347404289303596, 0.9602980879573442, 0.036354507753352194], [0.461685334599809, 0.5383146159302328, 4.946995834935507e-08]]}"
11,2,4763,1711,22,8,True,75,-3906.7873410043326,-0.8202366871728601,-1448.1406897388297,-0.8463709466620862,True,0.0,2.093438800016884,"{""initial_prob"": [0.5282217358600737, 0.06935137277343967, 0.4024268913664867], ""kappaP"": {""10"": 19.081804967284242, ""20"": 14.788912440649426, ""40"": 0.30682965242985494, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.542295122926265, ""0.12"": 4.016557146601499, ""0.24"": 15.865368696841323}, ""transition_matrix"": [[0.9580453770912573, 0.009605850637573137, 0.03234877227116944], [0.02666815131632867, 0.9692493980551531, 0.004082450628518356], [0.8313010184394688, 0.11984656215638789, 0.048852419404143255]]}"
12,2,4965,1509,23,7,True,89,-4467.690217496268,-0.8998369018119371,-1660.767687098045,-1.1005750080172598,True,0.0,2.593074999982491,"{""initial_prob"": [0.1183392055898414, 0.49582090485902025, 0.3858398895511383], ""kappaP"": {""10"": 17.813273774559583, ""20"": 11.676031492851264, ""40"": 8.729734628619951, ""80"": 7.158448774465048}, ""kappaS"": {""0.06"": 1.2117862513429045, ""0.12"": 3.332550942209252, ""0.24"": 7.569529626740499}, ""transition_matrix"": [[0.8468150090024107, 0.05210241920707114, 0.10108257179051809], [0.047556629623040435, 0.9495617564227764, 0.0028816139541831165], [0.5452871105982938, 0.01867177200643062, 0.43604111739527557]]}"
1,3,6418,2144,30,10,True,131,-2887.113041742031,-0.4498462202776614,-1057.162487139742,-0.4930795182554767,True,0.0,5.011660799995298,"{""initial_prob"": [0.3528863736159151, 0.5492831813312924, 0.0978304450527925], ""kappaP"": {""10"": 111.60522632648194, ""20"": 50.62659787623609, ""40"": 9.02159607292199, ""80"": 1.331462348278472}, ""kappaS"": {""0.06"": 5.78708768123621, ""0.12"": 12.614015970384653, ""0.24"": 30.37848459645796}, ""transition_matrix"": [[0.8385908977490387, 0.15115018565558025, 0.010258916595380993], [0.3828670045290244, 0.6171329937725861, 1.6983895815938051e-09], [0.9666099344793027, 8.201789207116909e-08, 0.033389983502805344]]}"
2,3,5747,2130,27,10,True,266,-3308.984165913314,-0.5757759119389793,-1223.55072913372,-0.5744369620346103,True,0.0,9.089319999999134,"{""initial_prob"": [0.053925436517939546, 0.946074520995711, 4.2486349481855626e-08], ""kappaP"": {""10"": 70.50496809344683, ""20"": 34.56469046113483, ""40"": 10.199068973071576, ""80"": 2.7554094097538853}, ""kappaS"": {""0.06"": 2.9797179457425735, ""0.12"": 5.557617675223587, ""0.24"": 13.650039294471451}, ""transition_matrix"": [[0.5839156076855947, 0.3853617009236802, 0.030722691390724997], [0.15353539813248163, 0.844024823428912, 0.002439778438606294], [0.25303449568313013, 4.419108471970639e-06, 0.7469610852083979]]}"
3,3,7075,2337,33,11,True,107,-3190.56291624122,-0.450962956359183,-1219.9597013785756,-0.5220195555749146,True,0.0,4.491056300001219,"{""initial_prob"": [0.7824731398398166, 0.15432036027145535, 0.06320649988872797], ""kappaP"": {""10"": 28.692563711408795, ""20"": 15.439570209986048, ""40"": 10.686680452198061, ""80"": 10.088516971099297}, ""kappaS"": {""0.06"": 2.663809582020902, ""0.12"": 8.81783865485677, ""0.24"": 26.652663295891763}, ""transition_matrix"": [[0.9523608715374616, 0.023890699872512636, 0.02374842859002584], [0.034743225660562795, 0.9652567735608841, 7.785529839674734e-10], [0.9709302613036921, 2.2212445378704755e-08, 0.029069716483862543]]}"
4,3,3597,1202,17,6,True,117,-2878.8483725846804,-0.80034705937856,-837.0230374435187,-0.6963586002025945,True,0.0,2.531944400019711,"{""initial_prob"": [0.2770523366518846, 0.7229470655902555, 5.977578599450937e-07], ""kappaP"": {""10"": 19.959074982785783, ""20"": 11.761168934559446, ""40"": 6.6198721124545425, ""80"": 2.2531189852560822}, ""kappaS"": {""0.06"": 1.671080798840442, ""0.12"": 4.667221821342744, ""0.24"": 10.173486985470191}, ""transition_matrix"": [[0.9022789380391044, 0.03200906839858887, 0.06571199356230663], [0.03691643235308571, 0.9630835660136112, 1.6333031062321784e-09], [0.8784178735812195, 2.4538087206924967e-08, 0.12158210188069327]]}"
5,3,4506,1283,21,6,True,159,-5653.96758030607,-1.2547642211065402,-1749.250388024332,-1.3634063819363462,True,0.0,4.359657099994365,"{""initial_prob"": [0.9999926344000046, 7.290965160540462e-06, 7.463483478718652e-08], ""kappaP"": {""10"": 149.1582003130928, ""20"": 1.321805167708383, ""40"": 0.5236633728695214, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.1954118726714935, ""0.12"": 3.4462469964215647, ""0.24"": 8.969087983080666}, ""transition_matrix"": [[0.9484856913267716, 0.041265540871474785, 0.010248767801753596], [0.8591689379836486, 0.14083103815009235, 2.3866259059081266e-08], [0.13596874426003883, 1.3715662012415936e-08, 0.8640312420242992]]}"
6,3,5621,1932,26,9,True,108,-5292.171053009825,-0.9414999204785316,-1581.1029254494545,-0.8183762554086204,True,0.0,3.641369599994505,"{""initial_prob"": [0.633339030303858, 4.8127498564987114e-08, 0.3666609215686434], ""kappaP"": {""10"": 9.819974839031682, ""20"": 7.593155505659008, ""40"": 4.882846474455663, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.3236035178697474, ""0.12"": 3.4054588114131628, ""0.24"": 13.35270426341481}, ""transition_matrix"": [[0.9786081957917602, 0.007111678831363382, 0.01428012537687638], [0.010302301492252162, 0.9896976975321014, 9.756464644814991e-10], [0.3234221725018806, 0.007682822034859323, 0.6688950054632602]]}"
7,3,4304,1493,20,7,True,121,-2610.482612795741,-0.6065247706309806,-1142.2134371253712,-0.7650458386640129,True,0.0,3.14288190001389,"{""initial_prob"": [0.6041018049729061, 0.26430281704042496, 0.13159537798666895], ""kappaP"": {""10"": 30.894534235964194, ""20"": 12.370043577673568, ""40"": 12.44060193568791, ""80"": 1.7144354502889863}, ""kappaS"": {""0.06"": 1.9557943112387308, ""0.12"": 6.47697559454913, ""0.24"": 16.859979980967523}, ""transition_matrix"": [[0.9384347597015258, 0.010276527613152491, 0.051288712685321806], [0.01502813522356982, 0.9849718614496841, 3.3267460325932925e-09], [0.9400802563481014, 2.6212001470072912e-08, 0.059919717439897206]]}"
8,3,4283,1514,20,7,True,291,-5257.423356051037,-1.227509539120018,-1858.563686831595,-1.2275849979072622,True,0.0,7.464923199993791,"{""initial_prob"": [1.4970178622464573e-07, 0.6061732010816003, 0.3938266492166135], ""kappaP"": {""10"": 8.14313390003998, ""20"": 3.846417672822653, ""40"": 3.3608726181240205, ""80"": 2.178640882774156}, ""kappaS"": {""0.06"": 0.6930039944345663, ""0.12"": 1.5071280740602533, ""0.24"": 8.904285883042183}, ""transition_matrix"": [[0.8465969908946765, 0.014269011416674826, 0.1391339976886487], [0.015610535494845834, 0.9843894627142792, 1.7908749453954935e-09], [0.8631061209414818, 3.749845026787436e-08, 0.13689384156006795]]}"
9,3,6474,2158,30,10,True,420,-5540.461359219695,-0.8558018781618312,-1885.649221489996,-0.8737948199675605,True,0.0,16.014083599991864,"{""initial_prob"": [0.7839531927497484, 0.21604446274543765, 2.3445048139761413e-06], ""kappaP"": {""10"": 13.929090952938848, ""20"": 12.975500672149753, ""40"": 9.847719869970192, ""80"": 5.445550080111295}, ""kappaS"": {""0.06"": 1.704725397941909, ""0.12"": 5.594914361824786, ""0.24"": 15.800895841743463}, ""transition_matrix"": [[0.8934441214963063, 0.053671768103936715, 0.0528841103997571], [0.11217446819081632, 0.8878255172701965, 1.4538987104937136e-08], [0.8343122483932107, 1.4077699491475443e-08, 0.16568773752908977]]}"
10,3,4316,1728,20,8,True,328,-4592.533371048566,-1.064071680039056,-1594.1805526732755,-0.922558190204442,True,0.0,8.439565799984848,"{""initial_prob"": [0.7609409035978999, 2.6084502110975355e-07, 0.2390588355570789], ""kappaP"": {""10"": 24.40433314339745, ""20"": 16.41958141620792, ""40"": 7.184228828830115, ""80"": 0.2600728576331248}, ""kappaS"": {""0.06"": 1.2409239784934716, ""0.12"": 2.724144799372325, ""0.24"": 7.926752166825174}, ""transition_matrix"": [[0.7829621613406704, 0.017677308376466066, 0.19936053028286338], [0.014020500594916793, 0.9612314735058949, 0.024748025899188314], [0.7842125512096932, 0.07075096007019556, 0.14503648872011118]]}"
11,3,5169,1305,24,6,True,113,-4232.562112701575,-0.8188357733994147,-1043.4502505109383,-0.7995787360237077,True,0.0,3.457126400026027,"{""initial_prob"": [0.5187525966664954, 0.17086736914769068, 0.3103800341858139], ""kappaP"": {""10"": 21.709600141491936, ""20"": 16.03413990767287, ""40"": 12.606988239026457, ""80"": 29.061360930826908}, ""kappaS"": {""0.06"": 1.467613866102315, ""0.12"": 3.7099824975919216, ""0.24"": 15.749507906595396}, ""transition_matrix"": [[0.9275981881734099, 0.04011251941982915, 0.03228929240676086], [0.08341621609312604, 0.9165837468627055, 3.7044168402807145e-08], [0.8454704516305437, 0.03923357440641343, 0.1152959739630429]]}"
12,3,4542,1932,21,9,True,84,-4342.186787342093,-0.956007659036128,-1796.2520729124485,-0.9297370977807704,True,0.0,2.2734235000098124,"{""initial_prob"": [0.16911260924125898, 0.4857243151835906, 0.3451630755751504], ""kappaP"": {""10"": 18.471303542110906, ""20"": 10.839789746683262, ""40"": 6.381095196610783, ""80"": 13.008878089917463}, ""kappaS"": {""0.06"": 1.1675480437759904, ""0.12"": 3.313836871293977, ""0.24"": 7.6772972731421385}, ""transition_matrix"": [[0.8273941372438491, 0.03141836464320797, 0.14118749811294287], [0.033016149096296854, 0.9617243454816449, 0.005259505422058284], [0.5708184934941509, 0.030977481950649956, 0.3982040245551991]]}"
1,4,6442,2120,30,10,True,206,-2982.3182428570785,-0.4629491218343804,-958.2561033307248,-0.4520075959107192,True,0.0,7.8552507999993395,"{""initial_prob"": [0.4112475786574283, 0.34963062288446595, 0.23912179845810577], ""kappaP"": {""10"": 111.63552135629804, ""20"": 53.85968043306333, ""40"": 19.296100097834536, ""80"": 1.0584413955992478}, ""kappaS"": {""0.06"": 5.2778500925308105, ""0.12"": 11.440316267569179, ""0.24"": 28.175677928778516}, ""transition_matrix"": [[0.8495719073791024, 0.14976643195970377, 0.0006616606611939963], [0.3877732461162214, 0.6122267520464739, 1.8373047062873729e-09], [0.05595839219833915, 0.556423455879766, 0.3876181519218947]]}"
2,4,5962,1915,28,9,True,125,-3619.0495881349993,-0.6070193874765178,-932.5082437065912,-0.4869494745204131,True,0.0,4.403671100008069,"{""initial_prob"": [2.0068852450603622e-07, 0.9999997596871245, 3.962435096977223e-08], ""kappaP"": {""10"": 70.36547251845484, ""20"": 31.421356129181998, ""40"": 8.893215388922439, ""80"": 2.4764208810631674}, ""kappaS"": {""0.06"": 3.5165752955175096, ""0.12"": 6.571716348004869, ""0.24"": 15.024114707921736}, ""transition_matrix"": [[0.5330509981054774, 0.44845937606525144, 0.01848962582927118], [0.19512284437916144, 0.8036921143476287, 0.0011850412732099037], [0.2166471134927023, 6.066341677870074e-07, 0.7833522798731299]]}"
3,4,7271,2141,34,10,True,86,-3404.048056998396,-0.4681677976892306,-1007.464532974557,-0.4705579322627543,True,0.0,3.687170399993192,"{""initial_prob"": [0.7373788170696366, 0.2066606723120786, 0.055960510618284914], ""kappaP"": {""10"": 27.53085279779209, ""20"": 14.550285902482232, ""40"": 11.430111730218089, ""80"": 10.204354278872449}, ""kappaS"": {""0.06"": 2.6784057144293163, ""0.12"": 9.509700564200456, ""0.24"": 26.141170192514256}, ""transition_matrix"": [[0.9446813407231884, 0.019718726945436017, 0.03559993233137561], [0.029791317752813302, 0.9702086816486031, 5.985834674652475e-10], [0.9611343539166287, 1.0781737219515453e-08, 0.038865635301633894]]}"
4,4,3762,1037,18,5,True,73,-2961.390625610595,-0.7871851742718222,-755.5993696900853,-0.7286397007618951,True,0.0,1.6404427000088615,"{""initial_prob"": [0.1875780160224294, 0.6821564293720026, 0.13026555460556813], ""kappaP"": {""10"": 24.043096934649768, ""20"": 12.531142460966402, ""40"": 8.161488125595962, ""80"": 2.353968790746164}, ""kappaS"": {""0.06"": 1.7839183550908722, ""0.12"": 4.802357924950453, ""0.24"": 10.302205775704122}, ""transition_matrix"": [[0.8732747062851642, 0.058678560321930556, 0.0680467333929052], [0.05921008544848515, 0.9407899132607112, 1.2908037150514449e-09], [0.8466762684326987, 7.234247227782591e-08, 0.15332365922482893]]}"
