subject_id,fold,n_train_trials,n_test_trials,n_train_runs,n_test_runs,converged,n_iterations,train_log_likelihood,train_ll_per_trial,test_log_likelihood,test_ll_per_trial,likelihood_monotonic,maximum_likelihood_drop,runtime_seconds,parameter_json
1,1,6413,2149,30,10,True,140,-2870.331416376821,-0.4475801366562951,-1065.37550915369,-0.4957540759207492,True,0.0,5.292279599991161,"{""initial_prob"": [0.44736347168611007, 0.46224210119792614, 0.09039442711596388], ""kappaP"": {""10"": 123.99995150017835, ""20"": 37.73509305511595, ""40"": 20.57693916846926, ""80"": 1.122075709282649}, ""kappaS"": {""0.06"": 5.468265462690704, ""0.12"": 11.688366635635669, ""0.24"": 29.863966535703458}, ""transition_matrix"": [[0.8329963490160931, 0.16057376807431623, 0.006429882909590646], [0.39610414567862623, 0.6038958523543918, 1.966981999759906e-09], [0.8569928727736549, 2.242201567874224e-07, 0.14300690300618835]]}"
2,1,6175,1702,29,8,True,129,-3526.3786910883978,-0.5710734722410361,-1009.7565609214143,-0.5932764752769767,True,0.0,4.715596299996832,"{""initial_prob"": [0.07366685819636823, 0.9263331006693621, 4.113426963027772e-08], ""kappaP"": {""10"": 68.3291634354032, ""20"": 36.08124919028886, ""40"": 11.97066128641689, ""80"": 2.50308876056112}, ""kappaS"": {""0.06"": 2.8778740546353707, ""0.12"": 5.1964530071213595, ""0.24"": 16.542658363610286}, ""transition_matrix"": [[0.6439802448719968, 0.33190351007622, 0.0241162450517832], [0.14013693953593814, 0.8568317996721664, 0.0030312607918955006], [0.22824103130159387, 5.285701873157664e-07, 0.7717584401282188]]}"
3,1,6842,2570,32,12,True,166,-3229.3266575657367,-0.4719857728099585,-1192.91203342704,-0.4641681063918444,True,0.0,6.770847600011621,"{""initial_prob"": [0.9999996127465011, 1.2268527499761572e-07, 2.6456822390037713e-07], ""kappaP"": {""10"": 63.80076097500297, ""20"": 46.743566049685334, ""40"": 40.71563747770674, ""80"": 39.23882576243782}, ""kappaS"": {""0.06"": 3.6258625337835726, ""0.12"": 11.346931568426733, ""0.24"": 29.230651407091145}, ""transition_matrix"": [[0.7941838253548728, 0.17117005565987178, 0.03464611898525551], [0.4288916920285352, 0.5711083052086111, 2.7628536919496245e-09], [0.8978685626881352, 2.9382797536386837e-08, 0.10213140792906719]]}"
4,1,3304,1495,16,7,True,90,-2379.163089556125,-0.7200856808583914,-1340.321900724552,-0.8965363884445164,True,0.0,1.765530900011072,"{""initial_prob"": [0.15582302239252616, 0.6963566550862355, 0.14782032252123842], ""kappaP"": {""10"": 20.402559231776983, ""20"": 12.869978024165027, ""40"": 5.568685568726135, ""80"": 2.9853526550165217}, ""kappaS"": {""0.06"": 1.6263970053954664, ""0.12"": 4.752262445790766, ""0.24"": 10.61527673165249}, ""transition_matrix"": [[0.9132876760722358, 0.022061553479860767, 0.0646507704479035], [0.021921319252638304, 0.9780786791956462, 1.551715641999663e-09], [0.8044529190947826, 7.893184964448872e-07, 0.19554629158672096]]}"
5,1,4062,1727,19,8,True,316,-5293.359704715818,-1.3031412370053712,-2114.0979626629623,-1.2241447380793065,True,0.0,7.580426900007296,"{""initial_prob"": [0.8785732693795281, 0.12140129381777097, 2.5436802701127947e-05], ""kappaP"": {""10"": 94.83365629240875, ""20"": 1e-06, ""40"": 0.5984242372729714, ""80"": 0.1924225844619443}, ""kappaS"": {""0.06"": 1.0744662254443882, ""0.12"": 3.2281182740499057, ""0.24"": 9.085164872336232}, ""transition_matrix"": [[0.9188509032546515, 0.07393605945938005, 0.0072130372859684115], [0.9545531921653436, 0.04544679066120191, 1.717345461186078e-08], [0.09954045284453007, 1.8707410852819266e-08, 0.900459528448059]]}"
6,1,5621,1932,26,9,True,107,-4893.341403806704,-0.8705464159058359,-1979.001339664996,-1.024327815561592,True,0.0,3.5766852000087965,"{""initial_prob"": [0.7296672200133776, 9.629340619726151e-08, 0.2703326836932163], ""kappaP"": {""10"": 10.990445503754492, ""20"": 8.069903621457026, ""40"": 4.561655879466375, ""80"": 1e-06}, ""kappaS"": {""0.06"": 1.200961930623042, ""0.12"": 3.528617128668051, ""0.24"": 13.099465613515623}, ""transition_matrix"": [[0.9681527202842882, 0.009185107359707173, 0.02266217235600468], [0.00709027760893351, 0.99290972161448, 7.765865220877912e-10], [0.4853596506689939, 3.717531223956187e-08, 0.5146403121556938]]}"
7,1,4078,1719,19,8,True,434,-2877.380543541768,-0.7055862048900853,-874.7883772319162,-0.508893762205885,True,0.0,10.43051770000602,"{""initial_prob"": [0.5548094845756435, 0.29965553346519536, 0.14553498195916115], ""kappaP"": {""10"": 27.092657424256195, ""20"": 11.162625573181408, ""40"": 9.308828209527379, ""80"": 1.2201251482735913}, ""kappaS"": {""0.06"": 1.876632264451918, ""0.12"": 5.952747182650765, ""0.24"": 16.34038816161332}, ""transition_matrix"": [[0.9483264056128746, 0.003881525785548553, 0.0477920686015768], [0.00628784843175258, 0.989686591243416, 0.004025560324831398], [0.8806856494599309, 0.016664244361220992, 0.1026501061788482]]}"
8,1,4296,1501,20,7,True,240,-5144.527010255738,-1.1975155982904415,-1969.9508026966284,-1.312425584741258,True,0.0,6.068687699997099,"{""initial_prob"": [2.1591936897675202e-07, 0.5413925054509167, 0.45860727862971434], ""kappaP"": {""10"": 7.691063250799092, ""20"": 4.549200205957063, ""40"": 3.3717002605044577, ""80"": 2.0569645962842387}, ""kappaS"": {""0.06"": 0.8982513435546517, ""0.12"": 2.5496248878059573, ""0.24"": 9.051208337841542}, ""transition_matrix"": [[0.7716010068203897, 0.007536425397426106, 0.22086256778218413], [0.011842718520432756, 0.9881269628604512, 3.0318619116064456e-05], [0.6787182895267805, 0.010549870352779784, 0.3107318401204398]]}"
9,1,6474,2158,30,10,True,173,-5533.670604791286,-0.85475295100267,-1894.2784011485232,-0.8777935130438013,True,0.0,6.661051399976714,"{""initial_prob"": [0.7958980326413871, 0.20410185549774015, 1.1186087261386084e-07], ""kappaP"": {""10"": 16.838100942520338, ""20"": 14.854398988318438, ""40"": 9.924045453844863, ""80"": 8.731128034305724}, ""kappaS"": {""0.06"": 1.7912012874363963, ""0.12"": 5.733041519228165, ""0.24"": 16.97147293546843}, ""transition_matrix"": [[0.8878743139296819, 0.06782171820042293, 0.044303967869895156], [0.17176996807120445, 0.8264487038905413, 0.001781328038254153], [0.7858570739836912, 2.4348710341647654e-08, 0.21414290166759853]]}"
10,1,4965,1079,23,5,True,408,-5361.930474025757,-1.079945714808813,-820.2099592325038,-0.7601575155074178,True,0.0,12.057689299981575,"{""initial_prob"": [0.7392049060744604, 0.09371739006043979, 0.16707770386509974], ""kappaP"": {""10"": 14.051003366605796, ""20"": 14.03736872463789, ""40"": 7.090774697639616, ""80"": 0.34978204945966607}, ""kappaS"": {""0.06"": 1.1597944280446626, ""0.12"": 3.0211368861003662, ""0.24"": 8.493456626991097}, ""transition_matrix"": [[0.798960597338761, 0.020654798156416215, 0.18038460450482288], [0.01412978891694613, 0.9646087513065451, 0.02126145977650885], [0.733453386381096, 0.06200856183962588, 0.20453805177927795]]}"
