cv_fold,n_trials,n_runs,log_likelihood,ll_per_trial
1,21490,100,-17038.790831978105,-0.7928706762204796
2,20614,96,-17164.495825591195,-0.8326620658577275
3,21158,99,-16988.358490112965,-0.8029283717796089
4,19948,93,-16255.686790427886,-0.8149030875490217
